"Time"	G1	G3	G8	G5	G22	G4	G83	G7	G6	G87

0	0.7455350	0.3901383	0.2003870	0.1297148	0.7979119	0.8516930	0.3445595	0.0840810	0.0224182	0.0378605
50	0.3223673	0.5305822	0.1583673	0.0777184	0.8082804	0.7097900	0.0596537	0.0186328	0.0033139	0.0293596
100	0.1360743	0.5818964	0.2048463	0.2119184	0.8005507	0.5610644	0.0254314	0.0330072	0.0005581	0.0259552
150	0.1713643	0.4775884	0.1875428	0.2831321	0.6990633	0.3072748	0.0168341	0.0318638	0.0065391	0.0239124
200	0.1503807	0.5228912	0.2026601	0.5181183	0.7945990	0.1464161	0.0922542	0.0455593	0.0085935	0.0259008
250	0.1103472	0.5932721	0.2258461	0.3409930	0.8417815	0.0786560	0.1570202	0.0390258	0.0054850	0.0214762
300	0.0921982	0.6832320	0.2722174	0.3551061	0.6671872	0.0454226	0.2185652	0.0856882	0.0061933	0.0425873
350	0.1359963	0.7556670	0.2442110	0.4196652	0.6761240	0.0388035	0.3638227	0.0641947	0.0203734	0.0184344
400	0.1163606	0.6039530	0.1883623	0.4667471	0.6843595	0.0297859	0.2140948	0.1402464	0.0062592	0.0411433
450	0.0914645	0.5519909	0.2271918	0.4422234	0.7744972	0.0298686	0.3067551	0.0995462	0.0000453	0.0351101
500	0.1253019	0.5955007	0.2075492	0.4714992	0.7770006	0.0410819	0.2409750	0.1411746	0.0142976	0.0314580
550	0.5472870	0.3025907	0.1911120	0.4540936	0.7729605	0.1082196	0.7142963	0.1071136	0.0260458	0.0166122
600	0.6935737	0.2818729	0.1753055	0.2757530	0.8588097	0.2342476	0.7163908	0.0879119	0.0342636	0.0503408
650	0.7746219	0.3111692	0.1775594	0.1914333	0.7071466	0.4330938	0.5338041	0.1129054	0.0303729	0.0540688
700	0.6058256	0.3354754	0.1491660	0.1555981	0.6951905	0.5880628	0.3797977	0.0588930	0.0237441	0.0348374
750	0.9208071	0.4170027	0.2204417	0.1050064	0.6663723	0.6517197	0.3413770	0.0697928	0.0127325	0.0147319
800	0.6713794	0.5364183	0.1543666	0.0704482	0.7261337	0.7721099	0.3376839	0.0705300	0.0214398	0.0313081
850	0.7364145	0.4276036	0.1797429	0.1217282	0.6973874	0.7556453	0.3323216	0.0820679	0.0532483	0.0366357
900	0.8180863	0.4893572	0.1546034	0.1651659	0.8231536	0.7555599	0.4246278	0.0521272	0.0154235	0.0550632
950	0.9708539	0.3921861	0.1645082	0.1270199	0.7978929	0.7828559	0.3189801	0.0713656	0.0119699	0.0434225
1000	0.7289276	0.4638097	0.2537159	0.1216664	0.6517936	0.7504941	0.2831525	0.0688166	0.0084248	0.0350906

0	0.8607172	0.4354158	0.1826217	0.0715154	0.9857781	0.7223325	0.3225292	0.1235774	0.0234391	0.0516162
50	0.7552125	0.4833511	0.2256242	0.1186391	0.3065123	0.6487091	0.3433431	0.0435155	0.0206704	0.0739052
100	0.7464441	0.4884110	0.1614376	0.0885447	0.3018214	0.7987032	0.3913383	0.0781182	0.0199493	0.0993002
150	0.6981915	0.4575157	0.1947324	0.1698872	0.1395478	0.7217572	0.2783860	0.0292118	0.0151471	0.0915447
200	0.8821759	0.6086624	0.1434619	0.1544621	0.2179509	0.7462099	0.2376311	0.0850716	0.0164922	0.0490467
250	0.7340824	0.5379671	0.1446963	0.1598709	0.2050986	0.6821378	0.3528542	0.1006923	0.0126027	0.0774383
300	0.5805202	0.5084564	0.2460541	0.1829297	0.2254892	0.5838999	0.3796582	0.0797317	0.0159415	0.0591872
350	0.6659907	0.3349364	0.1204068	0.1864600	0.1405345	0.7388630	0.4297760	0.0427311	0.0142649	0.0786366
400	0.6355446	0.4870376	0.2249762	0.2274776	0.2115988	0.7404218	0.2933264	0.0726557	0.0059529	0.1156479
450	0.6616853	0.4518354	0.1764898	0.2118335	0.1711310	0.7153472	0.2962144	0.0941953	0.0260833	0.1016728
500	0.8047922	0.4376274	0.1736832	0.1920186	0.1168257	0.6140122	0.3008592	0.0373158	0.0573622	0.1243180
550	0.6843072	0.4659833	0.1529569	0.1566792	0.6630367	0.5775162	0.3515894	0.0675116	0.0584210	0.0480344
600	0.6773882	0.5223436	0.1922315	0.1506306	0.6710813	0.6706672	0.3676968	0.0812151	0.0399786	0.0184357
650	0.7135757	0.5393899	0.2802323	0.1558795	0.6423287	0.7410089	0.3215143	0.0691705	0.0219555	0.0192907
700	0.6991964	0.4768172	0.1614307	0.1093761	0.7247557	0.7769925	0.3176728	0.0466249	0.0267299	0.0264818
750	1.0000000	0.4375745	0.1704543	0.0830966	0.7832425	0.8254865	0.4062006	0.0420553	0.0076906	0.0430914
800	0.6803641	0.4133046	0.1548037	0.1306071	0.7975038	0.6379100	0.2905734	0.0684391	0.0153272	0.0215481
850	0.8513074	0.4012982	0.1514084	0.0920357	0.7765267	0.5385136	0.3123310	0.0720058	0.0131005	0.0180166
900	0.6144068	0.3835865	0.2227727	0.0904942	0.7410882	0.7199868	0.4185803	0.0998775	0.0153615	0.0157527
950	0.7273733	0.5406560	0.1643980	0.1217327	0.6659752	0.7223801	0.2947644	0.0662219	0.0147089	0.0155775
1000	0.7536544	0.3594162	0.1390702	0.1712653	0.7119249	0.6730613	0.3046831	0.0661291	0.0039035	0.0280343

0	0.8296804	0.4532157	0.2126337	0.0772423	0.7971261	0.8137400	0.3667330	0.0566067	0.0215084	0.0466664
50	0.7680246	0.4891588	0.1255276	0.0263990	0.7120574	0.6548506	0.3668023	0.0079602	0.0136411	0.0222390
100	0.7322033	0.4140601	0.1781654	0.0687724	0.6441500	0.7336256	0.3913927	0.0103994	0.0504382	0.0448642
150	0.6748622	0.3895472	0.0995412	0.0420419	0.6769829	0.7486452	0.3128004	0.0063940	0.0165678	0.0338867
200	0.7311295	0.3812778	0.2368639	0.1210041	0.6983952	0.6015092	0.4845296	0.0007202	0.0190669	0.0157457
250	0.6432472	0.4680302	0.1935566	0.0623549	0.6166398	0.6468802	0.3803154	0.0047841	0.0303439	0.0223571
300	0.7024810	0.3899915	0.1321632	0.0816485	0.7677321	0.6424455	0.4244140	0.0003315	0.0149366	0.0124900
350	0.7094107	0.3926109	0.1847087	0.0822262	0.6301856	0.5035919	0.3800894	0.0000117	0.0480148	0.0336844
400	0.7683373	0.3839426	0.1312698	0.0286916	0.7428975	0.6234172	0.3427878	0.0002726	0.0284593	0.0265809
450	0.6241111	0.4765373	0.1712630	0.0453585	0.6721862	0.7710740	0.3733308	0.0003268	0.0174735	0.0368324
500	0.7171908	0.4516885	0.1525826	0.0409924	0.6295995	0.7216411	0.3444350	0.0001505	0.0253589	0.0620272
550	0.7853688	0.4281233	0.2189106	0.0610394	0.8081645	0.7664093	0.2824028	0.0202603	0.0171149	0.0195675
600	0.7145723	0.4169389	0.1933923	0.1279080	0.6457261	0.5688241	0.3259793	0.0571271	0.0272928	0.0201465
650	0.7496281	0.4688592	0.2279533	0.1020986	0.7629787	0.7487102	0.3129927	0.0328632	0.0277730	0.0337700
700	0.7148166	0.4861335	0.1246968	0.1544738	0.7514147	0.6598456	0.3500971	0.0457486	0.0153831	0.0268186
750	0.7622072	0.4725974	0.2341071	0.1256362	0.7577118	0.7011598	0.2710376	0.0908112	0.0362516	0.0421749
800	0.8324276	0.5191718	0.2023367	0.1354017	0.7293859	0.6570064	0.3061243	0.0770781	0.0197650	0.0241338
850	0.7099975	0.3938116	0.1733377	0.1036110	0.8101471	0.7237739	0.3246861	0.0440241	0.0107462	0.0511944
900	0.8173776	0.5076650	0.1484141	0.0724666	0.7877616	0.5990996	0.3428972	0.0463939	0.0229128	0.0221754
950	0.7864093	0.6423538	0.2217130	0.1223062	0.6677431	0.7457035	0.3307321	0.0783715	0.0331935	0.0462720
1000	0.7699785	0.5631821	0.1669607	0.0927336	0.7850550	0.6564551	0.3414549	0.0434579	0.0295627	0.0245209

0	0.7245537	0.4878120	0.1901958	0.1022618	0.8586674	0.7863367	0.4391401	0.0770339	0.0112938	0.0391966
50	0.7872388	0.4792681	0.0633468	0.1382793	0.7167503	0.6757332	0.2679868	0.0361517	0.0159413	0.0411385
100	0.7591115	0.3559982	0.0096285	0.1582567	0.7510055	0.6445061	0.3256830	0.0304405	0.0234211	0.0080734
150	0.6950968	0.3975944	0.0006056	0.1553318	0.7518081	0.6518308	0.3896259	0.0147123	0.0161072	0.0035231
200	0.7250742	0.3980822	0.0000391	0.1074084	0.8617395	0.7222230	0.2738438	0.0047217	0.0229511	0.0021073
250	0.8468992	0.3919965	0.0001479	0.1710099	0.6830580	0.6982599	0.3156044	0.0017057	0.0377445	0.0075703
300	0.7369372	0.3441238	0.0012460	0.1405495	0.7276324	0.5859892	0.3637833	0.0003297	0.0307268	0.0038729
350	0.8740537	0.4593055	0.0000000	0.0979995	0.7356061	0.6873008	0.3269496	0.0021923	0.0134388	0.0022434
400	0.6789673	0.5380294	0.0001244	0.0637363	0.7314884	0.7655044	0.3968309	0.0001173	0.0157553	0.0030690
450	0.7414312	0.3565356	0.0000947	0.0811734	0.7715697	0.6409988	0.3452312	0.0000000	0.0178588	0.0024323
500	0.7616536	0.4698370	0.0000291	0.0637744	0.8800780	0.7320199	0.3406763	0.0012465	0.0164923	0.0078809
550	0.9998603	0.3600220	0.2710816	0.1141164	0.6854376	0.6493336	0.3630772	0.0286886	0.0130566	0.0268979
600	0.6897233	0.4258621	0.2134857	0.1216649	0.7782428	0.7970215	0.3948521	0.0518863	0.0324216	0.0407286
650	0.6314319	0.5193025	0.1721378	0.1191304	0.7014248	0.7831178	0.2973481	0.0917708	0.0154574	0.0197511
700	0.6482317	0.4343884	0.2089098	0.1741127	0.6940942	0.7671976	0.4428328	0.0444310	0.0116260	0.0209647
750	0.8716574	0.4645754	0.2257184	0.1465698	0.7504154	0.6997968	0.3120393	0.0891273	0.0204645	0.0567797
