"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.6410084	0.0532965	0.4060639	0.5812757	0.3610292	0.5234188	0.3450614	0.1018263	0.5759323	0.2745957	0.6124955	0.5762980	0.5178567	0.4252389	0.7058837	0.1609995	0.4515279	0.4490364	0.1851114	0.6791113	0.3450860	0.0230412	0.5945750	0.3126026	0.0172410	0.0583938	0.1620448	0.8041698	0.4138812	0.7446683	0.5047721	0.7142378	0.0821007	0.5760899	0.5043391	0.3636709	0.3968355	0.4003228	0.5460032	0.3586900	0.0141231	0.3362442	0.2057529	0.5736463	0.6266808	0.0157486	0.1919872	0.4663700	0.3759261	0.5065771	0.2360738	0.7063913	0.1029078	0.4775971	0.5576961	0.1210075	0.4557343	0.4847903	0.6271646	0.5303347	0.6742580	0.7385973	0.3719117	0.1936673	0.2869271	0.6100880	0.3228910	0.2746405	0.6588008	0.1940198	0.1515981	0.1779832	0.1364937	0.5403671	0.3421671	0.1860567	0.0032738	0.4401816	0.5313728	0.2433468	0.4443515	0.2649759	0.6085668	0.1551714	0.3367821	0.6635664	0.2014472	0.6682090	0.5158438	0.7287929	0.5109187	0.3796269	0.5455429	0.6105912	0.7537924	0.7166479	0.2704177	0.6944320	0.5903468	0.6246883
50	0.6869693	0.0638110	0.5492686	0.4861930	0.2945030	0.4375913	0.4835994	0.2831283	0.6527192	0.2002160	0.5120725	0.5829049	0.5200795	0.3613717	0.7061864	0.0739559	0.4330270	0.6140758	0.3160546	0.7054707	0.1061699	0.0375503	0.6522188	0.3327877	0.0214306	0.0245285	0.0435752	0.6811238	0.5914052	0.3312423	0.4631508	0.7038771	0.0438301	0.7458231	0.4621998	0.5577396	0.4510414	0.4515445	0.5572858	0.3531911	0.0241206	0.3769096	0.4541950	0.8475597	0.7248816	0.0037577	0.0813930	0.1280552	0.4091577	0.4859719	0.2428919	0.6619502	0.1207184	0.5078406	0.6027424	0.1459597	0.3940877	0.6647977	0.6520672	0.7555160	0.4752965	0.6812126	0.3620219	0.3080359	0.3584939	0.5809310	0.4954844	0.2046169	0.5105273	0.1377745	0.1915063	0.1268392	0.0764715	0.4258503	0.3371303	0.1119030	0.0011127	0.5713629	0.5594832	0.2040972	0.5331435	0.3053692	0.4888562	0.4347141	0.3072616	0.7296438	0.3023581	0.5709324	0.6120320	0.6975364	0.4869217	0.5956399	0.5763727	0.6660417	0.7979693	0.4769320	0.2549291	0.6803566	0.6944816	0.6440427
100	0.6202045	0.0648333	0.5374128	0.5917265	0.3094729	0.3945080	0.5103154	0.3509348	0.5612206	0.1514336	0.4742084	0.5916853	0.5079414	0.4049537	0.5517791	0.0188034	0.5268881	0.6388261	0.1810654	0.6798709	0.0299986	0.0145971	0.6543622	0.3174851	0.0193817	0.0241500	0.0329444	0.5554412	0.4364772	0.1467678	0.5920893	0.5897912	0.0095951	0.6658361	0.5722632	0.6996050	0.4155679	0.5105328	0.4520565	0.3461745	0.0171325	0.2039479	0.5265705	0.6177135	0.8319788	0.0033167	0.0687929	0.0691460	0.4040209	0.5242272	0.2667772	0.6164633	0.0844730	0.4675835	0.5894855	0.1123507	0.4411840	0.6253446	0.6785757	0.7331151	0.5975652	0.8172598	0.3979722	0.3258029	0.2765421	0.5150153	0.5376631	0.2174306	0.6590139	0.2015509	0.1732740	0.1416587	0.0922048	0.4038765	0.3878749	0.1674953	0.0075469	0.7101591	0.4640257	0.2086988	0.4266967	0.3521409	0.5784032	0.4228444	0.3558841	0.6845882	0.2154419	0.6453134	0.4619507	0.5092426	0.4972857	0.6406967	0.5951944	0.6049085	0.5984351	0.4219711	0.2615277	0.6196698	0.6333622	0.8260008
150	0.6808729	0.0684415	0.5550250	0.4878374	0.3587171	0.4734294	0.4691545	0.2110680	0.6332651	0.1125175	0.6389522	0.5767509	0.5718432	0.3315887	0.5190607	0.0029202	0.5517475	0.7002964	0.2109788	0.7608707	0.0154308	0.0107959	0.7523283	0.5022352	0.0304833	0.0893791	0.0097718	0.5810786	0.6129475	0.1064758	0.6161036	0.6569828	0.0082230	0.7532024	0.5094309	0.6097658	0.4210438	0.4504966	0.4879488	0.4378779	0.0296003	0.2154353	0.4599136	0.6296763	0.6569953	0.0103540	0.0940726	0.0409163	0.4927461	0.4727478	0.2879960	0.6542674	0.0809112	0.4783707	0.5678510	0.1163477	0.4963379	0.6020617	0.7802998	0.7605558	0.6739024	0.7854886	0.3735945	0.2963884	0.2833369	0.4740629	0.7142000	0.1961444	0.6513134	0.2079340	0.1994972	0.1216045	0.0826877	0.3705852	0.3892145	0.1151146	0.0074342	0.7420154	0.5007271	0.1754323	0.4296517	0.3634436	0.6143693	0.5965193	0.2415773	0.7244425	0.2573857	0.6082417	0.4978124	0.6164952	0.4277750	0.6663066	0.5133032	0.5895617	0.6309320	0.4162757	0.1862823	0.6330910	0.6737624	0.7884562
200	0.7150160	0.0176572	0.4538701	0.4896781	0.3061051	0.5052339	0.4866538	0.1953928	0.7425267	0.1497903	0.4780484	0.6111138	0.4499785	0.4198629	0.6870162	0.0027659	0.4455773	0.5712775	0.1992612	0.8783514	0.0135461	0.0331393	0.7268094	0.3749554	0.0183424	0.1047172	0.0214222	0.4496240	0.4470799	0.0956614	0.6321355	0.5666488	0.0072358	0.7040544	0.5735001	0.6066137	0.4641120	0.6401254	0.4038752	0.3476539	0.0113447	0.2687571	0.5351870	0.5551065	0.5813998	0.0173298	0.1149506	0.0440125	0.5196787	0.4782232	0.2025695	0.7284029	0.0779921	0.4605655	0.7074621	0.0605508	0.5759244	0.4978885	0.6012317	0.6068387	0.5769251	0.6716889	0.3332071	0.4011067	0.2151826	0.4473826	0.7207250	0.2072435	0.6723375	0.1876171	0.2148482	0.1029124	0.0589528	0.4318445	0.4567045	0.1385334	0.0035172	0.7113239	0.6203518	0.2588486	0.3722069	0.3044293	0.6144910	0.4624677	0.4288803	0.6355096	0.2303954	0.5843101	0.4448998	0.5857467	0.4809103	0.7594094	0.5553118	0.6304175	0.6254400	0.4224799	0.3513578	0.6540348	0.6488779	0.7814191
250	0.7062770	0.0178046	0.4446188	0.3746846	0.2947525	0.4684351	0.4442577	0.2780071	0.6361552	0.0454281	0.5724145	0.6123817	0.4542761	0.3014213	0.5866348	0.0000000	0.3338416	0.6318427	0.2104214	0.6658894	0.0160957	0.0311530	0.7390191	0.3959869	0.0230671	0.0590589	0.0110132	0.5212368	0.5091925	0.0638374	0.6786540	0.5451478	0.0072878	0.6550916	0.5686498	0.5963315	0.3980321	0.5662496	0.3877920	0.3048930	0.0202430	0.2573425	0.5427586	0.5837634	0.8534034	0.0039147	0.0849037	0.0448598	0.4530674	0.4059343	0.2162673	0.5952273	0.0910418	0.5328928	0.6759709	0.1231429	0.4372406	0.5319840	0.6018964	0.6681364	0.6078093	0.6426161	0.2916144	0.2576182	0.2767777	0.5133683	0.5308597	0.1681011	0.6682584	0.1881869	0.1527761	0.1736721	0.1126603	0.4674018	0.4640118	0.1438872	0.0015660	0.7658248	0.5803815	0.1830387	0.5174072	0.4339502	0.4940694	0.6140652	0.3081097	0.7339596	0.2289986	0.5112966	0.5420948	0.6439030	0.4502966	0.6537652	0.4738937	0.7131717	0.4881373	0.3750786	0.2672355	0.7693873	0.7201957	0.7036506
300	0.6703131	0.0335586	0.4349265	0.4545590	0.1904058	0.5475248	0.5675669	0.2401272	0.7521653	0.0867372	0.5180617	0.6209547	0.5972398	0.2822079	0.6680827	0.0012716	0.4887028	0.7731668	0.2783376	0.6777060	0.0308378	0.0225025	0.7251500	0.3632160	0.0186192	0.0537798	0.0222490	0.5164415	0.4938475	0.0654383	0.6156783	0.6183188	0.0172208	0.6994545	0.6347040	0.6571355	0.4281486	0.4857972	0.4624788	0.3978145	0.0095458	0.2467138	0.6737446	0.6183674	0.7587497	0.0113811	0.0890944	0.0402121	0.4948325	0.4516061	0.2533693	0.5277710	0.1179025	0.4375222	0.6491236	0.0831450	0.4371823	0.5330111	0.6733032	0.7895488	0.6019782	0.7048362	0.2881840	0.2329631	0.3116922	0.5872461	0.6702362	0.2640005	0.7596149	0.1612144	0.1454674	0.1381996	0.1047733	0.3828292	0.4425474	0.1541075	0.0002668	0.7262165	0.5576255	0.1950373	0.4535663	0.3161282	0.5396000	0.5632620	0.3693158	0.5821950	0.2879449	0.7186066	0.5334594	0.6917283	0.4811245	0.6274338	0.4243248	0.6428161	0.7027878	0.4823180	0.1649082	0.7855102	0.6705262	0.6814637
350	0.6799260	0.0408301	0.5686534	0.4865000	0.2562873	0.5969333	0.4613418	0.2380181	0.6230087	0.1423791	0.5867988	0.5498945	0.4667405	0.3222149	0.7084449	0.0001744	0.3136482	0.6117014	0.2051220	0.8195732	0.0179196	0.0181229	0.7571673	0.3761235	0.0072845	0.0772031	0.0362577	0.5151493	0.4898776	0.1393315	0.7118343	0.6423524	0.0120333	0.6643098	0.5185158	0.6506856	0.4645603	0.4009064	0.4043152	0.3738956	0.0118488	0.2474950	0.5572052	0.6610972	0.6404897	0.0049047	0.0843293	0.0804659	0.4345910	0.4883729	0.2290853	0.5606686	0.1018008	0.4642003	0.7036657	0.1099276	0.4490573	0.5843823	0.7177849	0.5973279	0.5603731	0.6912397	0.3081041	0.2631031	0.3134111	0.6234892	0.5854130	0.2107958	0.7166184	0.2613949	0.2347174	0.1296603	0.1292874	0.4358085	0.4169998	0.1427225	0.0047113	0.6799419	0.5893136	0.1551735	0.4835196	0.3487514	0.6930104	0.4622046	0.3583604	0.6821570	0.3082770	0.5425967	0.5816743	0.5154103	0.3014614	0.5890129	0.3921602	0.7010507	0.7473384	0.4911314	0.2876307	0.7150690	0.6053288	0.8014286
400	0.6756265	0.0174621	0.5101991	0.4157575	0.2590016	0.5448631	0.4617768	0.2285510	0.7330229	0.1267683	0.5537432	0.4987167	0.5064974	0.4394722	0.6010610	0.0008814	0.3374538	0.8433147	0.2506414	0.6384849	0.0153135	0.0228711	0.7611156	0.3636292	0.0175548	0.0517600	0.0153745	0.5457063	0.5212474	0.0941231	0.7601348	0.6363848	0.0050341	0.7292842	0.6744719	0.6541769	0.4557674	0.4332353	0.5107772	0.3054453	0.0263620	0.1903667	0.5706620	0.6008244	0.6478121	0.0046621	0.1085237	0.0307149	0.5005632	0.4953086	0.2828636	0.5730045	0.1202204	0.5070322	0.6216171	0.1199497	0.5761371	0.7355758	0.6274222	0.6308722	0.6470679	0.7397960	0.2841433	0.3080094	0.2137528	0.5379208	0.6916979	0.2492807	0.6264171	0.1951786	0.1711796	0.1102027	0.0578693	0.3687099	0.4616540	0.1009542	0.0009871	0.8952875	0.4732911	0.1394259	0.4326383	0.3664249	0.6531283	0.4827294	0.2991980	0.6533023	0.3024911	0.6179261	0.6133333	0.6967557	0.4434979	0.7176379	0.4621813	0.7893710	0.7261671	0.4397438	0.2489691	0.7978514	0.6450451	0.6125170
