"Time"	G1	G3	G5	G22	G7	G8	G4	G83	G6	G87	G86	G88	G54	G85	G89

0	0.6960548	0.3813136	0.2253423	0.7486315	0.1060544	0.3868095	0.5061816	0.6919262	0.1079554	0.2980775	0.0712501	0.3528908	0.6932018	0.0983461	0.0485341
50	0.6698587	0.4102016	0.1194101	0.7949467	0.1440604	0.4052095	0.3745776	0.9119641	0.0508689	0.3601229	0.2060673	0.3685826	0.2237487	0.0802542	0.4956553
100	0.5361368	0.5585024	0.1612589	0.6715169	0.1591561	0.2295730	0.4236051	0.7179997	0.0137946	0.3491626	0.2964945	0.5127902	0.1667879	0.1377923	0.5782376
150	0.4899238	0.6258811	0.2372467	0.9394074	0.2314332	0.2680994	0.3698083	0.8477067	0.0061890	0.4137572	0.3552845	0.6239838	0.1108748	0.2000470	0.4879507
200	0.4031309	0.4728111	0.2263506	0.6777836	0.2650385	0.2861560	0.3395692	0.7690977	0.0052408	0.4327936	0.3998859	0.7298929	0.1347684	0.2703381	0.5068007
250	0.5670881	0.4540291	0.2027498	0.7109248	0.4530157	0.3010537	0.5197562	0.7077781	0.0047811	0.4385509	0.3405706	0.7262231	0.1386981	0.2784038	0.6754306
300	0.4502795	0.4349726	0.2541041	0.8587604	0.3989398	0.2892761	0.3762511	0.7832026	0.0051550	0.4988160	0.2767874	0.6662592	0.1127047	0.2895027	0.6377310
350	0.4575021	0.4370779	0.2743431	0.8623759	0.3430449	0.4035286	0.3254202	0.6823257	0.0027394	0.4435995	0.3355935	0.7254641	0.1602240	0.2597957	0.7180123
400	0.5380134	0.5302319	0.2488619	0.8286646	0.4242127	0.3139910	0.3360850	0.7878489	0.0000000	0.4419119	0.3800229	0.6489686	0.0978538	0.2656271	0.6863668
450	0.6217984	0.4704593	0.2606044	0.8490790	0.2835071	0.3263386	0.3208528	0.6763015	0.0034618	0.4575903	0.3966688	0.6499787	0.1702683	0.2374078	0.5076845
500	0.5096772	0.6055361	0.2563542	0.8015580	0.2964824	0.3393930	0.3474823	0.7512603	0.0000000	0.4062662	0.2600632	0.6957858	0.0970602	0.2448146	0.5239210
550	0.7112148	0.4395300	0.2862967	0.7642020	0.2096423	0.2902161	0.2758034	0.7092525	0.0624650	0.5097080	0.2796282	0.5517655	0.5051305	0.2351224	0.1829312
600	0.7574384	0.4488538	0.1792405	0.7497085	0.1604287	0.3130268	0.6408339	0.8000758	0.1003227	0.3554566	0.2054106	0.5463867	0.6859576	0.1143126	0.0480249
650	0.9338407	0.5400645	0.1789735	0.6444651	0.1190245	0.3230877	0.4507210	0.6395635	0.1165225	0.2953348	0.1094001	0.4529587	0.7097138	0.1060320	0.0705626
700	0.6800885	0.4257536	0.1552793	0.6323876	0.0428164	0.3069941	0.3919267	0.7443546	0.0612108	0.2893658	0.1069500	0.3808156	0.6863108	0.0732143	0.0804709
750	0.6713230	0.4636244	0.2302803	1.0000000	0.0702973	0.3270276	0.4251051	0.6084751	0.0505388	0.2579843	0.0946424	0.3952165	0.6564353	0.0328424	0.0964686
800	0.7777150	0.4680738	0.1897372	0.7267867	0.2234173	0.2828327	0.3893986	0.7475463	0.0903120	0.2746451	0.0791585	0.5052554	0.7502071	0.0734502	0.0892458
850	0.9009446	0.4142107	0.1955283	0.8058718	0.1026870	0.3340156	0.3817432	0.6481166	0.1303992	0.2291201	0.0720551	0.4947628	0.7224919	0.0659225	0.0503202
900	0.7017753	0.4647272	0.1809666	0.6052761	0.1540095	0.2635780	0.3466785	0.7459266	0.0814146	0.2198220	0.0672100	0.4638687	0.7109565	0.0468058	0.0669492
950	0.6882955	0.5153538	0.1847597	0.7683067	0.1019561	0.2595842	0.4419453	0.7661331	0.1003549	0.2674281	0.1962743	0.5141024	0.6969100	0.0471403	0.0470981
1000	0.7212923	0.5916304	0.1779181	0.7769996	0.1717704	0.1925877	0.3901733	0.6404873	0.0669962	0.3298235	0.1319983	0.5356470	0.7605592	0.0701786	0.0453442

