"Time"	G1	G3	G7	G8	G4	G83	G6	G87	G86	G89	G54	G85	G88	G30	G29	G35	G99	G100	G32	G81

0	0.7644430	0.6420372	0.3550869	0.1734344	0.6881464	0.7130071	0.1918832	0.5138006	0.4944512	0.0150161	0.2545679	0.2471677	0.6773985	0.4867826	0.0495377	0.5650922	0.4399614	0.1008126	0.6418834	0.2010242
50	0.8502831	0.6830044	0.3911540	0.1760597	0.7223536	0.8064469	0.1547528	0.2775229	0.3428604	0.0203928	0.1641236	0.2442888	0.4715352	0.4446761	0.0646041	0.7743319	0.4126785	0.0563747	0.6506259	0.4258899
100	0.7364516	0.6619975	0.3541095	0.1742826	0.6156911	0.6393672	0.1789726	0.2381692	0.4631139	0.0321613	0.1514399	0.2506915	0.3795669	0.4537763	0.0256692	0.6126878	0.4709109	0.0418057	0.6199003	0.4628715
150	0.6449398	0.6340697	0.3300937	0.1583206	0.6320688	0.7617702	0.2029217	0.2356865	0.4822983	0.0234236	0.2414729	0.3242445	0.3296073	0.4285682	0.0326154	0.7376866	0.4532236	0.0233314	0.5429595	0.5816385
200	0.7076107	0.7198737	0.3189541	0.1350342	0.7106700	0.7025596	0.1347139	0.2176975	0.4017014	0.0072248	0.1867312	0.1762870	0.2784306	0.3964411	0.0353356	0.5785818	0.4588333	0.0357037	0.7122628	0.4814493
250	0.7343838	0.6621287	0.3742827	0.1855638	0.6297226	0.6114611	0.1551799	0.1941517	0.4481634	0.0253211	0.2521695	0.3882134	0.3318022	0.5658630	0.0317830	0.7635013	0.5358514	0.0260806	0.6508452	0.4503276
300	0.6918038	0.7351899	0.3442677	0.2308200	0.8537153	0.7928628	0.2462721	0.1856115	0.5196343	0.0295077	0.2031039	0.2735751	0.3716504	0.4934106	0.0366257	0.7310645	0.5203883	0.0222953	0.5834898	0.4266807
350	0.6937436	0.6546832	0.2685693	0.1991117	0.6595409	0.6995473	0.1612356	0.2669451	0.6003314	0.0086117	0.1940019	0.3249058	0.3747572	0.4653599	0.0296607	0.6766947	0.5173709	0.0305531	0.6314173	0.5310833
400	0.5813783	0.7574401	0.4180337	0.2332622	0.6777991	0.6588332	0.1486885	0.2149856	0.5003945	0.0328897	0.1543851	0.3351063	0.2985026	0.5709859	0.0421045	0.7444254	0.4685997	0.0210725	0.6487059	0.4908893
450	0.6666010	0.7182750	0.3611723	0.2534528	0.7311229	0.6290365	0.2667192	0.2058094	0.4173114	0.0130717	0.1709194	0.3689181	0.3660905	0.4016599	0.0359753	0.7583370	0.5052937	0.0093104	0.6299559	0.4213829
500	0.7030142	0.6412707	0.3356695	0.1779722	0.6859206	0.6353832	0.1525558	0.2440288	0.5212395	0.0284912	0.1688963	0.3953130	0.3856906	0.4248551	0.0526922	0.6449240	0.4958697	0.0220129	0.8261554	0.3958718
550	0.7914090	0.8253684	0.5515278	0.1355787	0.6903053	0.8669910	0.1531442	0.4303896	0.5742758	0.0139846	0.1770005	0.5107638	0.8807310	0.4191791	0.0875772	0.6837545	0.3732129	0.0828255	0.6648816	0.2770532
600	0.6887421	0.5385158	0.3813034	0.2100536	0.7457581	0.6873571	0.1062288	0.4011006	0.4486827	0.0085343	0.1851306	0.6004150	0.8610656	0.4662165	0.1057670	0.5915544	0.3526541	0.1416481	0.6330713	0.1131006
650	0.5897954	0.6555058	0.3623431	0.1738963	0.8266827	0.6927913	0.2287435	0.4498606	0.4665440	0.0197119	0.1828757	0.3822222	0.6782619	0.4137192	0.0370652	0.9255823	0.4272665	0.0995123	0.6353623	0.1116387
700	0.7984114	0.8607971	0.2630685	0.2036994	0.6614588	0.6226799	0.1202436	0.4198782	0.4744755	0.0263403	0.1817990	0.3647904	0.8967817	0.4139133	0.0553151	0.8010146	0.5955283	0.0862356	0.7436179	0.1514163
750	0.6926208	0.8331882	0.3769211	0.1261472	0.7536133	0.5848228	0.1364592	0.4548115	0.3780809	0.0133548	0.1816667	0.2856410	0.5787647	0.4075438	0.0393534	0.8688919	0.4856077	0.0540541	0.6197763	0.1719665
800	0.7386762	0.7516773	0.2506893	0.1619266	0.7994551	0.8703266	0.1212983	0.3684161	0.3479156	0.0255114	0.1797458	0.2539298	0.8452520	0.5318568	0.0212550	0.6247240	0.5551843	0.0852003	0.6715550	0.2403130
850	0.7073548	0.6484067	0.2674117	0.1569479	0.5953107	0.7591128	0.1367161	0.4093447	0.3650108	0.0106274	0.2135891	0.2761509	0.7878283	0.4574201	0.0244026	0.8628554	0.5188436	0.0991548	0.6682357	0.1297277
900	0.6783792	0.6739189	0.1653059	0.1639232	0.6482484	0.7156686	0.1364553	0.4557335	0.3977320	0.0095688	0.2056884	0.2802468	0.7265919	0.5454259	0.0275598	0.6675885	0.5865636	0.0918395	0.8166023	0.2219809
950	0.6444599	0.7335487	0.4502879	0.2070804	0.7227145	0.7448026	0.1182097	0.5736914	0.4313179	0.0073458	0.2415630	0.3503456	0.6676057	0.5271650	0.0324873	0.7114807	0.5492133	0.0379025	0.6455237	0.1513961
1000	0.7759597	0.8106558	0.3054284	0.1648183	0.5961961	0.6446945	0.1175637	0.4275806	0.5027110	0.0173020	0.1785852	0.3672043	0.7208466	0.5897358	0.0424558	0.7380716	0.4439959	0.0974468	0.8545932	0.1576869

0	0.6561244	0.7865038	0.3488935	0.2100065	0.7235127	0.7419094	0.1545242	0.5466042	0.3314110	0.0155298	0.2557707	0.2833145	0.7410825	0.4244403	0.0291380	0.6486980	0.5398859	0.1167389	0.6644589	0.1558442
50	0.4074294	0.7554094	0.3346095	0.1563551	0.6371865	0.3805365	0.0656216	0.4255899	0.4147308	0.3335447	0.1601551	0.2585996	0.0968677	0.5385308	0.0207391	0.6978162	0.5359046	0.0587861	0.1878770	0.1632834
100	0.3994069	0.6582310	0.4322756	0.2144709	0.7250102	0.2996238	0.0520474	0.4285020	0.3179513	0.3251265	0.2217070	0.2955802	0.0333892	0.7759614	0.0076866	0.6330164	0.4775420	0.0795161	0.0566146	0.1942683
150	0.2998124	0.6324331	0.5361356	0.3358229	0.7530403	0.2137435	0.0750548	0.3866647	0.3459247	0.4581906	0.4332462	0.2090416	0.0277304	0.8387723	0.0057933	0.6750514	0.4834136	0.0605757	0.0369289	0.2634617
200	0.3608592	0.6957795	0.6924336	0.2904638	0.7888634	0.2300478	0.0485260	0.3086891	0.3737490	0.3772389	0.7050296	0.1944720	0.0289076	0.9454023	0.0066038	0.6973300	0.7671920	0.0466049	0.0101556	0.3381868
250	0.3620707	0.5427725	0.5336957	0.2597686	0.6698492	0.1324835	0.0536307	0.2204092	0.2897071	0.4160708	0.7150785	0.1636030	0.0122421	0.6881254	0.0169900	0.6765770	0.6822461	0.0508201	0.0099968	0.3549484
300	0.3720952	0.5602343	0.4734394	0.2345418	0.6794902	0.1164856	0.0478026	0.2581152	0.2845886	0.2757966	0.7648450	0.1281394	0.0112874	0.6380735	0.0131027	0.7386419	0.6870145	0.0361920	0.0050158	0.3226018
350	0.3400201	0.6804946	0.5488810	0.1994887	0.6519720	0.1911060	0.0634164	0.1763405	0.2757936	0.4234639	0.7444554	0.1463000	0.0099287	0.7935725	0.0010016	0.7708889	0.7854755	0.0213114	0.0082023	0.3846850
400	0.4290484	0.7113490	0.6097476	0.2842572	0.7674847	0.1914242	0.0775485	0.1133412	0.2243135	0.4145468	0.7570761	0.1644299	0.0125312	0.6805214	0.0039924	0.5770874	0.7139918	0.0424007	0.0017651	0.4048395
450	0.3349710	0.6885107	0.4671195	0.4042285	0.8601704	0.1864852	0.0567013	0.0949775	0.2436342	0.4081272	0.6754762	0.1426924	0.0099592	0.7222094	0.0050053	0.7438977	0.7173261	0.0329248	0.0005749	0.3082043
