"Time"	G1	G3	G5	G8	G4	G83	G6	G7	G86	G85	G22	G87	G54	G89	G88	G30	G29	G35	G100	G99	G32	G81	G23	G19	G18

0	0.1798863	0.0878972	0.4348758	0.5207067	0.6698338	0.7192846	0.0525642	0.6487918	0.2263813	0.2589911	0.6055376	0.2432252	0.2694502	0.0034493	0.5742744	0.6819380	0.2053352	0.7331805	0.5107234	0.5839371	0.2396984	0.3636998	0.4063477	0.5861987	0.7043034
50	0.1566602	0.1321057	0.1448879	0.2535380	0.6235037	0.7082536	0.0362163	0.6257373	0.3123014	0.2383579	0.0588279	0.4210683	0.2286317	0.0204676	0.6802637	0.5906072	0.2490795	0.7096319	0.5908156	0.5364867	0.1023056	0.3596099	0.2922854	0.5157922	0.6784353
100	0.1479676	0.1178624	0.0305894	0.2517230	0.5930332	0.6554250	0.0300271	0.6232444	0.2704184	0.2835335	0.0661277	0.3652925	0.4519668	0.0612299	0.6677938	0.7402607	0.2106649	0.6808613	0.5332765	0.4774704	0.0814590	0.4859897	0.0858410	0.4209540	0.6108259
150	0.1519686	0.1091187	0.0625747	0.2559986	0.4875169	0.7068851	0.0268856	0.7264304	0.2210649	0.2701404	0.0201822	0.2646366	0.5116876	0.0281435	0.5307971	0.6515605	0.1308642	0.6442428	0.5150157	0.6447462	0.1185632	0.4552541	0.0306388	0.4797918	0.6952522
200	0.1789346	0.1196450	0.0338559	0.2524085	0.5616576	0.8710944	0.0341076	0.6765476	0.2336646	0.1728586	0.0317994	0.1891074	0.5925420	0.0147470	0.4554716	0.6686183	0.0634438	0.5464192	0.2980023	0.6891080	0.1334164	0.4286896	0.0214163	0.5351287	0.6067409
250	0.1740790	0.1285890	0.0248470	0.2036469	0.5767249	0.7673876	0.0368304	0.6523100	0.2125740	0.1460843	0.0232077	0.2756943	0.3854757	0.0203111	0.4494254	0.6577742	0.0894334	0.6551225	0.1978728	0.6921209	0.1629685	0.5487962	0.0093487	0.2949654	0.8002700
300	0.2000889	0.1472624	0.0586623	0.2442180	0.5218796	0.7151697	0.0409614	0.5906793	0.3090133	0.1967556	0.0280539	0.3727279	0.2798437	0.0269702	0.4532262	0.7088240	0.0617455	0.6550417	0.2306450	0.7680593	0.2333979	0.4396455	0.0188940	0.3783663	0.6151129
350	0.1979145	0.1040639	0.0577883	0.2457051	0.4519206	0.5828171	0.0179084	0.6938131	0.3275038	0.2165262	0.0662216	0.3821546	0.2329026	0.0093938	0.4825763	0.6446069	0.0961101	0.6659017	0.2082722	0.6925189	0.2236887	0.3233883	0.0341171	0.3552987	0.7999635
400	0.1855236	0.1136346	0.0192018	0.2506691	0.5686348	0.7955018	0.0237944	0.7033935	0.2652477	0.2265706	0.0328494	0.3103970	0.1970853	0.0317333	0.5968281	0.7164273	0.1170743	0.8374030	0.5020510	0.5903214	0.1218941	0.3824350	0.0130827	0.4498937	0.7235167
450	0.2170918	0.1211846	0.0442310	0.2358217	0.5709464	0.7278165	0.0285604	0.7179697	0.3526700	0.3087187	0.0424549	0.3627164	0.2656939	0.0253347	0.5942939	0.7116888	0.1712867	0.5909742	0.4346658	0.5458330	0.1447736	0.3123496	0.0182170	0.4712436	0.6041238
500	0.2231653	0.0926962	0.0440840	0.2194555	0.5083973	0.6744720	0.0320796	0.7281688	0.3033277	0.2880893	0.0296267	0.3141589	0.4981051	0.0158473	0.6410373	0.6821034	0.1294696	0.6099478	0.3772451	0.6512805	0.0899582	0.4272594	0.0304495	0.4548190	0.6705059
550	0.2245781	0.0713961	0.3824317	0.4246394	0.5925179	0.6273841	0.0250745	0.6079521	0.2926601	0.1767583	0.6634642	0.2736273	0.6608110	0.0794517	0.4013487	0.6440998	0.0864943	0.5779372	0.3166594	0.7451622	0.1876765	0.3346931	0.1351378	0.6444360	0.6806086
600	0.2058233	0.1244346	0.3951026	0.5428930	0.4679980	0.6704234	0.0372226	0.6453652	0.2119916	0.2235938	0.7021253	0.2714891	0.2520307	0.0200380	0.4422269	0.6655601	0.0632460	0.6396908	0.1794054	0.7907329	0.2706778	0.2937367	0.2916967	0.6451257	0.7465449
650	0.1510560	0.0944751	0.3883087	0.4371760	0.4385051	0.6012295	0.0822852	0.6527514	0.2707826	0.2177055	0.8203486	0.3248109	0.0999929	0.0157476	0.5295998	0.7598959	0.1092484	0.6730260	0.3146143	0.7039997	0.3106926	0.2788780	0.3312095	0.5422430	0.7459355
