"Time"	G1	G3	G8	G4	G7	G83	G6	G89	G85	G5	G88	G54	G87	G86	G30	G29	G35	G99	G100	G32	G19	G18	G20	G81	G22	G23	G80	G82	G58	G51

0	0.0273674	0.0965461	0.5754386	0.0306340	0.6360754	0.6141248	0.2178823	0.1604362	0.3605101	0.3083870	0.4433727	0.3695189	0.0598823	0.1081894	0.6653040	0.3665958	0.0479393	0.6429363	0.6881731	0.6355718	0.5839834	0.6747509	0.6786762	0.2584070	0.7735916	0.7097339	0.3676601	0.0015426	0.7850772	0.2920570
50	0.0117822	0.0560906	0.6815289	0.0730537	0.6505396	0.6475372	0.2466581	0.3650339	0.4022396	0.3538766	0.3199467	0.4737872	0.0196247	0.0644572	0.5285152	0.1079383	0.0646217	0.6930701	0.5999631	0.5414914	0.3728359	0.7043899	0.6177329	0.2155940	0.6116637	0.8524156	0.3287047	0.0058798	0.7693402	0.3037683
100	0.0608547	0.0272726	0.4788095	0.0880286	0.7264101	0.5942471	0.2629469	0.3953533	0.4525396	0.2925015	0.2853596	0.3837487	0.0352856	0.0738624	0.7575612	0.0790903	0.0307823	0.7405421	0.5518847	0.5170593	0.2898189	0.7318942	0.7445052	0.1882986	0.6978727	0.7625024	0.2949833	0.0086426	0.7075763	0.2942613
150	0.0294087	0.1089799	0.6433526	0.0613411	0.5871604	0.7182417	0.1599811	0.3714671	0.4831919	0.3337323	0.2519173	0.3713706	0.0435093	0.0712891	0.6276963	0.0275654	0.0714799	0.6396647	0.6767477	0.5406300	0.3104802	0.6417916	0.7063557	0.2046231	0.7183144	0.6589887	0.3569816	0.0473298	0.6639666	0.1758728
200	0.0256543	0.0849441	0.5338252	0.0641927	0.5017873	0.6836660	0.0784990	0.3270161	0.5104652	0.2938655	0.2964608	0.3433569	0.0605625	0.1090251	0.8561259	0.0292800	0.1205793	0.5499261	0.6877585	0.7569529	0.3098678	0.6761023	0.6709139	0.1564234	0.7311514	0.8113574	0.3790289	0.0149837	0.6239752	0.1996927
250	0.0207057	0.0457192	0.5729097	0.0751405	0.5769075	0.6418101	0.1601646	0.3532257	0.4844736	0.4441375	0.2978301	0.3309609	0.0177505	0.0634188	0.6037503	0.0252493	0.1078771	0.6754094	0.7332067	0.7846369	0.2772149	0.6835723	0.5711392	0.1559574	0.7895498	0.6446943	0.2778660	0.0030474	0.7986890	0.1688250
300	0.0406462	0.0372463	0.6999756	0.0582667	0.5313173	0.5860041	0.2074191	0.3611551	0.4810153	0.3702286	0.2575309	0.2564821	0.0227520	0.0683951	0.7379351	0.0344034	0.0820436	0.6688463	0.6291657	0.8196282	0.3414128	0.7797628	0.6410237	0.1631568	0.6832695	0.7735705	0.4289830	0.0227913	0.7923670	0.2148170
350	0.0176488	0.0614929	0.6535472	0.1040999	0.5568906	0.4614879	0.1904654	0.4171855	0.4790824	0.3367431	0.2485751	0.2888796	0.0633799	0.0934748	0.7247048	0.0304695	0.0431328	0.5076103	0.5375122	0.6702029	0.2919696	0.8448138	0.6606109	0.1509753	0.6226934	0.7703036	0.3048701	0.0061609	0.7667762	0.1652819
400	0.0185691	0.0152982	0.5831100	0.1015994	0.5682274	0.6679786	0.2656101	0.3739003	0.5281495	0.3407915	0.2475858	0.2947999	0.0978852	0.1373417	0.8106754	0.0823654	0.1016154	0.5106795	0.5182833	0.6820986	0.2154291	0.8165439	0.7528277	0.1286688	0.6344494	0.7102598	0.4323699	0.0018545	0.7749907	0.1298643
450	0.0202166	0.0313346	0.6821007	0.0702680	0.6068299	0.5932902	0.4800758	0.3634868	0.5655480	0.3723501	0.2148713	0.3059091	0.0653357	0.1176438	0.7102367	0.0839505	0.0550624	0.5389408	0.7070053	0.5868476	0.3134007	0.5982994	0.7193176	0.1054428	0.6858740	0.6041655	0.3129425	0.0086707	0.6720429	0.1048091
500	0.0698382	0.0389847	0.7810777	0.0690982	0.6252297	0.4938192	0.3041968	0.4139132	0.6247142	0.4410483	0.1985831	0.2774848	0.0807632	0.1787492	0.6379994	0.0689527	0.0776650	0.5680600	0.6890864	0.6942155	0.2815439	0.6556566	0.5675065	0.1591642	0.6107963	0.7243963	0.3743262	0.0106694	0.6571792	0.1256953
550	0.0653551	0.0374214	0.7006962	0.0939832	0.6800741	0.6176091	0.3559486	0.1459843	0.6808727	0.4111371	0.3243242	0.2836208	0.1287330	0.1615544	0.6580233	0.2784981	0.0945450	0.5077046	0.8240890	0.6446809	0.3916129	0.7631871	0.6094383	0.0952392	0.7031848	0.7095383	0.3882474	0.0096185	0.8539157	0.1020337
600	0.0507449	0.0425353	0.6948644	0.1233647	0.5188269	0.5778985	0.1814670	0.0917435	0.5536317	0.3317477	0.3444758	0.2984357	0.2860288	0.1263209	0.5867107	0.3938613	0.0594204	0.5187169	0.6256331	0.6554908	0.4900872	0.8872853	0.4941657	0.1336269	0.6337171	0.6883665	0.3807237	0.0076930	0.6938843	0.1103083
650	0.0274974	0.0284175	0.6764553	0.0598644	0.5190928	0.6288827	0.1531352	0.0452730	0.3868895	0.3757128	0.4272111	0.3181550	0.1095127	0.1469805	0.5397746	0.3246307	0.0842600	0.4911053	0.5627553	0.5228499	0.5811097	0.8152117	0.5021806	0.1076924	0.5485540	0.7572296	0.3912628	0.0220094	0.6113625	0.1701024
700	0.0274142	0.0246932	0.7111564	0.0514443	0.6126833	0.6426007	0.1388288	0.1456762	0.3452719	0.2970692	0.5504355	0.4524034	0.0469078	0.1263900	0.5616056	0.3143832	0.0407726	0.6037005	0.6439270	0.5679734	0.5224580	0.6918810	0.4788867	0.1186904	0.5575343	0.8719410	0.3997215	0.0096118	0.7549353	0.2506317
750	0.0385255	0.0325607	0.5901002	0.0479080	0.5726087	0.7904718	0.2997270	0.2607810	0.2997071	0.3310038	0.4584454	0.4616863	0.0230883	0.1074967	0.6054949	0.2168872	0.0389472	0.4906125	0.5971323	0.6708877	0.5399409	0.7180138	0.4658658	0.1616403	0.6578725	0.8012678	0.4047802	0.0098556	0.6170906	0.3254081
800	0.0403791	0.0404172	0.7067206	0.0524916	0.5240935	0.6144064	0.1473341	0.2561918	0.3350611	0.3996298	0.3750233	0.4031006	0.0460211	0.0745850	0.5988992	0.2231233	0.1124909	0.6000170	0.5439440	0.5535832	0.4264938	0.6853300	0.6467724	0.1734521	0.6593117	0.6979827	0.3194335	0.0077243	0.7097670	0.3731571
850	0.0327331	0.0432214	0.7193803	0.0557894	0.5885015	0.6457813	0.1506677	0.2379493	0.3123247	0.2793928	0.4667304	0.3497178	0.0167657	0.0706895	0.6978727	0.2687581	0.0326123	0.7132129	0.4805595	0.6108719	0.5176106	0.6832783	0.6020759	0.2191299	0.7914561	0.7026639	0.2515587	0.0001370	0.6510639	0.3306357
900	0.0364701	0.0513825	0.7105149	0.0415348	0.7290032	0.7183706	0.2246072	0.2098467	0.3110908	0.3637478	0.3734019	0.3436599	0.0265038	0.1057419	0.6371887	0.2046659	0.1053959	0.5877517	0.5312434	0.6908320	0.4779499	0.5991222	0.4618799	0.2165697	0.6968762	0.7903569	0.2612848	0.0023820	0.7331469	0.4097204
950	0.0867201	0.0524988	0.6575234	0.0571703	0.7721498	0.7085570	0.3584312	0.2364808	0.2253887	0.3521949	0.4063886	0.3057498	0.0670115	0.0960209	0.6907042	0.2619547	0.0428768	0.7885672	0.5734175	0.6650209	0.4063426	0.7047778	0.5248029	0.1635066	0.7097564	0.8306565	0.3325735	0.0048515	0.6596205	0.2804176
1000	0.0437830	0.0490621	0.5374771	0.0638823	0.6494855	0.6538600	0.1882533	0.2436061	0.4460422	0.3964453	0.4289276	0.3002669	0.0766999	0.1059104	0.7201627	0.3455122	0.0723954	0.6885964	0.5760985	0.6760588	0.4874151	0.7324417	0.5859622	0.1634038	0.7208999	0.7907400	0.2901747	0.0132043	0.6929629	0.2747305

0	0.0472529	0.0464060	0.7393860	0.0384052	0.6869205	0.6353845	0.1792456	0.1368070	0.4367696	0.4231864	0.4397607	0.4696068	0.0295034	0.0760285	0.6355271	0.2643110	0.0323868	0.6956390	0.7099263	0.5861333	0.4808152	0.6385553	0.5218867	0.2189204	0.6511259	0.7826471	0.3156019	0.0007255	0.6455684	0.2782108
50	0.0339821	0.0275122	0.5424517	0.0629733	0.5717699	0.6826234	0.2815872	0.2393698	0.4754684	0.1403142	0.1548872	0.3938007	0.0564293	0.0653868	0.4724380	0.3095799	0.0476158	0.6574924	0.4663831	0.6056193	0.4035521	0.7531065	0.5723240	0.1444673	0.4319703	0.6818648	0.4268655	0.0335792	0.6417135	0.3586937
100	0.0425797	0.0314634	0.6225992	0.0583250	0.6069662	0.6112175	0.6107747	0.2166824	0.6727892	0.0917825	0.1117740	0.3807318	0.1617081	0.0618555	0.4796771	0.3755224	0.0819104	0.4968915	0.4586460	0.6297106	0.5553825	0.6446411	0.5327830	0.1861879	0.3951794	0.6025422	0.3073111	0.0143220	0.7998783	0.3557148
150	0.0376814	0.0712462	0.7213618	0.0654567	0.6040436	0.5214180	0.6353124	0.1332702	0.6927370	0.0781126	0.1233095	0.2979085	0.2189964	0.1157047	0.2991498	0.4107917	0.0301703	0.6224427	0.3415205	0.6273849	0.5329707	0.6984379	0.4988110	0.1749071	0.3345038	0.6259434	0.3064883	0.0194758	0.7574882	0.1528406
200	0.0579576	0.0335107	0.6289051	0.0773307	0.6199105	0.5620074	0.4959746	0.1266518	0.6482834	0.0736035	0.0808535	0.3102908	0.2132824	0.1552240	0.3838910	0.4019544	0.0723622	0.5767162	0.4546991	0.4624636	0.4680066	0.6673310	0.6027276	0.1541123	0.3168650	0.6801037	0.4357947	0.0037685	0.6695252	0.1729301
250	0.0234447	0.0363808	0.5981314	0.0700207	0.5324250	0.5252410	0.5349424	0.1483505	0.6307133	0.0602729	0.1068480	0.4531260	0.2863251	0.1234866	0.2682410	0.4639017	0.0409868	0.5661605	0.5648467	0.4928614	0.5277979	0.6022731	0.5481359	0.1496513	0.3308500	0.7906132	0.3832869	0.0108602	0.7817543	0.1211601
300	0.0187303	0.0358483	0.7243093	0.0591682	0.4108475	0.4626620	0.4057923	0.1452421	0.7641450	0.0671695	0.1023344	0.4729116	0.2244920	0.1462566	0.2052115	0.4634418	0.0850255	0.6489866	0.4083638	0.4459323	0.4712984	0.9859837	0.5447536	0.1509423	0.3502390	0.6438800	0.4110621	0.0042454	0.7394739	0.1882352
350	0.0603403	0.0229324	0.6952789	0.1276420	0.5242248	0.4997085	0.4011859	0.1965193	0.6588943	0.0617693	0.0870409	0.4062174	0.1545610	0.0715931	0.2806865	0.5084250	0.0783166	0.6711727	0.4680801	0.4156966	0.4982293	0.7635995	0.4670914	0.1786008	0.3232195	0.7137746	0.3623574	0.0238503	0.9599160	0.4077458
400	0.0283167	0.0298457	0.7820975	0.0625519	0.4881979	0.6276840	0.2535616	0.2173500	0.6808511	0.0484027	0.1329689	0.3738264	0.1049860	0.0988019	0.2813490	0.4049300	0.0976254	0.6775159	0.3630341	0.4835392	0.4954222	0.7276916	0.5545924	0.1527300	0.3597558	0.8127198	0.3388005	0.0040977	0.7166521	0.4206903
