"Time"	G1	G3	G8	G5	G4	G22	G83	G7	G6	G85	G86	G87	G54	G88	G89	G30	G29	G35	G100	G99	G32	G19	G18	G20	G81	G23	G80	G82	G51	G31	G58	G50	G78	G94	G95

0	0.0380450	0.0264938	0.6379603	0.6862732	0.1099697	0.7914638	0.0523173	0.7398178	0.7364798	0.0495446	0.6752912	0.4761583	0.0771621	0.7683796	0.3777305	0.6330529	0.1230818	0.6099491	0.8158571	0.0025493	0.7031613	0.2396927	0.9432804	0.7302012	0.0035853	0.3943932	0.1054650	0.4850346	0.0041582	0.4160185	0.7671433	0.0223356	0.3383230	0.6332505	0.8237356
50	0.0592770	0.0046215	0.8239576	0.6138257	0.1200496	0.7987459	0.0615179	0.2386322	0.4330278	0.1565006	0.8480658	0.3566539	0.0766139	0.7187789	0.3401645	0.1378938	0.1967264	0.6065984	0.6747714	0.0011853	0.8726954	0.6623162	0.7226569	0.5966173	0.0079526	0.5219869	0.1477209	0.3283806	0.0039778	0.1163999	0.4670335	0.0431807	0.2530009	0.5510934	0.6569731
100	0.0207675	0.0409725	0.8926079	0.6299236	0.0824417	0.6631218	0.0446787	0.0909858	0.4769724	0.0795000	0.8407934	0.2667173	0.0571894	0.6708947	0.2404211	0.0330548	0.2113825	0.7487971	0.6994597	0.0041841	0.7212296	0.7797759	0.7289916	0.6609346	0.0180025	0.4860773	0.0816109	0.4578157	0.0116379	0.0331420	0.4573331	0.0437006	0.2339410	0.5542501	0.6600537
150	0.0150230	0.0204111	0.8207320	0.6752514	0.0743307	0.7551790	0.0823572	0.0593931	0.3939162	0.0589462	0.8712175	0.2132319	0.0681080	0.7296549	0.2331134	0.0310612	0.1808107	0.7083664	0.6772149	0.0047045	0.8320752	0.5980702	0.7646637	0.6617835	0.0062983	0.5448079	0.1805769	0.4666640	0.0151068	0.0212063	0.4130317	0.0276304	0.1932317	0.6236908	0.7670052
200	0.0238664	0.0087016	0.7078852	0.7936983	0.0904429	0.7131317	0.1068667	0.0553013	0.3537989	0.0323848	0.8641238	0.2112344	0.0570573	0.6832306	0.2185496	0.0232245	0.1421647	0.7223775	0.5953399	0.0009956	0.7351437	0.6568004	0.7058787	0.6594120	0.0137546	0.5409162	0.1205724	0.3990926	0.0206290	0.0315085	0.2738512	0.0185054	0.2610039	0.5290796	0.6548208
250	0.0381585	0.0242887	0.7944261	0.6867398	0.0990471	0.7595657	0.0616714	0.0660930	0.3982921	0.0719447	0.6824674	0.1907307	0.0842102	0.8141404	0.1629377	0.0343463	0.0574606	0.6940284	0.7169011	0.0007369	0.7798570	0.6560528	0.6492540	0.7609595	0.0209915	0.5095920	0.1575146	0.3675566	0.0081081	0.0562149	0.3998374	0.0433848	0.1914697	0.5709341	0.5786834
300	0.0413116	0.0345395	0.8168061	0.5459158	0.0846397	0.6675673	0.1393936	0.0471661	0.3948139	0.0539207	0.6975073	0.1701351	0.0618939	0.6355882	0.1676063	0.0207981	0.0779320	0.7471758	0.8754921	0.0070951	0.6954597	0.6655923	0.7408624	0.8447168	0.0025411	0.5287678	0.1343706	0.3762918	0.0194150	0.0413466	0.3043795	0.0317799	0.3434269	0.4673640	0.6114218
350	0.0756330	0.0277549	0.6769598	0.7886864	0.0996784	0.6885527	0.0658118	0.0567001	0.3566628	0.0241639	0.7062662	0.1649961	0.1115700	0.8041996	0.2170827	0.0167500	0.0543477	0.6393997	0.6843799	0.0012019	0.7479970	0.7303761	0.7465957	0.6642415	0.0082913	0.4503448	0.1291104	0.4059853	0.0094206	0.0574838	0.3180061	0.0390272	0.2770484	0.6818952	0.5865839
400	0.0203116	0.0251619	0.6806349	0.6259376	0.0991971	0.7262285	0.0721475	0.0914887	0.3701697	0.0137643	0.7488775	0.1727529	0.0766929	0.6791841	0.1353479	0.0160746	0.0620585	0.8225337	0.7370602	0.0020380	0.7815528	0.7550286	0.6359272	0.6349877	0.0046765	0.4885484	0.1629206	0.4863308	0.0070029	0.0682687	0.3714184	0.0447797	0.2832174	0.5507665	0.6381484
450	0.0337371	0.0217313	0.6974912	0.5185605	0.0733886	0.8074018	0.1251046	0.0344644	0.3780810	0.0133667	0.7748817	0.2151600	0.0597705	0.6725413	0.1323265	0.0228682	0.0538998	0.7059128	0.7263676	0.0026539	0.8608708	0.7350630	0.6777726	0.6068972	0.0095820	0.4125209	0.1022574	0.4937499	0.0119689	0.0992541	0.3581434	0.0371558	0.3152938	0.5010883	0.8219072
500	0.0526466	0.0398583	0.7507413	0.5992435	0.0987659	0.7197590	0.0704078	0.0441177	0.3315058	0.0210421	0.6787702	0.1348473	0.0604579	0.6124271	0.0922034	0.0100443	0.0378238	0.6733929	0.7613749	0.0018447	0.7544550	0.7597049	0.6400268	0.6447799	0.0109931	0.4280021	0.1092825	0.4501070	0.0043224	0.0891773	0.2810981	0.0337284	0.3594678	0.6366688	0.5948358
550	0.0264571	0.0311965	0.6585821	0.6572895	0.0654067	0.7170177	0.0905154	0.5733735	0.6813427	0.0406697	0.7106530	0.3738321	0.0527351	0.7313858	0.1039863	0.6349873	0.0610138	0.6595626	0.9019519	0.0127349	0.7939661	0.3887252	0.5610372	0.6233778	0.0044549	0.4020563	0.1180744	0.3409401	0.0267777	0.4518941	0.7403698	0.0268158	0.4461867	0.7669301	0.6857372
600	0.0765813	0.0081612	0.7106665	0.5985911	0.1042369	0.5971809	0.0449711	0.6061881	0.7236910	0.0434868	0.8526103	0.4418804	0.0526306	0.7079361	0.2519366	0.6613989	0.1414531	0.7263269	0.6576963	0.0025895	0.9032731	0.3004369	0.5768665	0.7133265	0.0034782	0.3684261	0.1826725	0.3917912	0.0086495	0.3941385	0.6146720	0.0248089	0.3454050	0.5467267	0.6000186
650	0.0526879	0.0160834	0.8117553	0.5925376	0.1508514	0.7412069	0.0880509	0.7372195	0.7216872	0.0721696	0.6623935	0.3565567	0.0444655	0.7204932	0.1995814	0.6080951	0.1030069	0.8434605	0.7010009	0.0058637	0.7365982	0.3284337	0.7231503	0.7567409	0.0064966	0.3844859	0.1432482	0.4911788	0.0023756	0.3797017	0.6893068	0.0461356	0.3443955	0.6333887	0.6342523
700	0.0491293	0.0167186	0.8518439	0.7438194	0.0935054	0.7042905	0.0357135	0.6589437	0.7693289	0.0624015	0.7255971	0.3781321	0.0428570	0.6595998	0.3325138	0.4640634	0.2258577	0.7369751	0.6313826	0.0002305	0.6887272	0.3179605	0.8590573	0.7229730	0.0029464	0.4455931	0.1027490	0.4115242	0.0237617	0.4171360	0.6947172	0.0870477	0.2837738	0.5992671	0.6522389
750	0.0335718	0.0202234	0.5888459	0.6859723	0.1089416	0.8088223	0.0565732	0.8169747	0.6872346	0.0644106	0.6947862	0.4555845	0.0397586	1.0000000	0.3801144	0.5093038	0.1905599	0.5790814	0.6119547	0.0001019	0.8721067	0.2379134	0.9114444	0.8435159	0.0026590	0.4538344	0.1723197	0.4816503	0.0030802	0.3682846	0.7024824	0.0478419	0.3079347	0.6394930	0.5832780
800	0.0359519	0.0061246	0.7410171	0.7233867	0.0976251	0.7186528	0.0364650	0.7112487	0.6600979	0.0948023	0.6987851	0.4413357	0.0313405	0.7053842	0.4244229	0.4597017	0.2081293	0.6610460	0.7075443	0.0005826	0.7088320	0.2470952	0.6683614	0.6232797	0.0048504	0.4360223	0.1336388	0.4002675	0.0136346	0.2963266	0.8098187	0.0402534	0.3397331	0.6102421	0.6200987
850	0.0481176	0.0140106	0.7863911	0.6276484	0.0819814	0.6609003	0.0692583	0.8277852	0.6675435	0.0597734	0.8041302	0.4236732	0.0482641	0.7865806	0.3809690	0.4350112	0.1663133	0.6043215	0.7352021	0.0012587	0.6692127	0.2009597	0.6326170	0.6607464	0.0106479	0.3699340	0.1298586	0.3466230	0.0111187	0.2650881	0.6203866	0.0472553	0.3546115	0.6719863	0.5976306
