"Time"	G1	G3	G7	G8	G5	G22	G4	G83	G6	G88	G85	G89	G54	G86	G87	G30	G29	G35	G99	G100	G32	G19	G18	G20	G81	G23	G82	G80	G58	G31	G50	G51	G78	G94	G95	G93	G91	G90	G2	G69

0	0.2961573	0.5082464	0.6706639	0.5335188	0.0648760	0.5521789	0.2281292	0.5491688	0.4932538	0.6655022	0.6047725	0.3957717	0.0154509	0.6779129	0.5040041	0.2175797	0.4541046	0.3737801	0.0236614	0.6176784	0.4334342	0.5099551	0.6419204	0.6563525	0.2167174	0.6688488	0.0882110	0.1032075	0.8409475	0.0168954	0.0707149	0.0026521	0.5029148	0.3548826	0.6448587	0.5285180	0.3178007	0.7716279	0.4017379	0.6528089
50	0.1391136	0.4570785	0.6553226	0.5406152	0.0981801	0.6494126	0.1930522	0.7153619	0.4078686	0.2221192	0.5736164	0.2931527	0.0005514	0.6304047	0.3737369	0.2611494	0.3774752	0.3429132	0.0098455	0.7477470	0.4394245	0.3442196	0.7084247	0.6312236	0.3586365	0.6393216	0.0709258	0.0190031	0.7691577	0.0317544	0.4083405	0.0948817	0.4483222	0.2244231	0.6692780	0.6318611	0.1471079	0.6709332	0.4699469	0.5406180
100	0.1135546	0.2696872	0.5650367	0.4767208	0.2349113	0.6101406	0.1144469	0.7047084	0.5252817	0.1070978	0.5274343	0.3340711	0.0016001	0.6839591	0.4009942	0.3076627	0.3678577	0.4677875	0.0246706	0.6649359	0.5825754	0.2726689	0.7186818	0.6061632	0.4888842	0.7005262	0.1144090	0.0384127	0.8009388	0.0078513	0.5434349	0.1065319	0.3876849	0.2077266	0.7634990	0.6005149	0.1034508	0.6546748	0.4621862	0.5566715
150	0.1384825	0.0702619	0.6819380	0.5912113	0.4618805	0.7506193	0.0624376	0.6890573	0.4974071	0.0458159	0.5928041	0.3172522	0.0002551	0.6824958	0.6326206	0.2605577	0.4515568	0.4934587	0.0111720	0.6676334	0.4880857	0.2520622	0.7162132	0.7469932	0.6695013	0.5488617	0.0639949	0.0103300	0.6050626	0.0304908	0.4934762	0.1030568	0.3529684	0.2327585	0.7629054	0.6443427	0.1087922	0.6633600	0.4491545	0.4929113
200	0.1162924	0.0535760	0.5638747	0.6304285	0.4837997	0.6187685	0.0959189	0.7083060	0.5483277	0.0218559	0.5551044	0.3593366	0.0003346	0.7321320	0.6363280	0.2670626	0.4221181	0.6226996	0.0040472	0.5858902	0.4774957	0.2743696	0.6373312	0.5752159	0.5913399	0.6000488	0.0774830	0.0058658	0.7136952	0.0080305	0.4931986	0.1267672	0.4355007	0.2334063	0.7527739	0.6839738	0.1169512	0.6643681	0.3847827	0.5780405
250	0.1016676	0.0466112	0.6383649	0.5834463	0.6076055	0.7148598	0.0614512	0.6065483	0.6496692	0.0431101	0.5352614	0.3165753	0.0009532	0.6539834	0.5616253	0.3809037	0.3988633	0.4807045	0.0138928	0.6800230	0.4270679	0.3165980	0.7610823	0.6508989	0.7735964	0.6370091	0.0887678	0.0045733	0.6061871	0.0028626	0.5890637	0.1312118	0.4326954	0.2495105	0.7882721	0.5461378	0.1168135	0.4623176	0.5045833	0.5442302
300	0.1175170	0.0270801	0.5665757	0.5235262	0.5325148	0.6797373	0.0472971	0.5897564	0.6061651	0.0256198	0.5963613	0.3489003	0.0040268	0.7263806	0.6338896	0.3811822	0.5193385	0.5086240	0.0303736	0.6402243	0.4824440	0.3227177	0.7480405	0.7487813	0.7011758	0.5785629	0.0695515	0.0172595	0.6518319	0.0037621	0.5481834	0.1073491	0.5131756	0.2477773	0.7289683	0.6385576	0.1397941	0.6687106	0.3878614	0.6657697
350	0.1041943	0.0193169	0.6576937	0.5008321	0.5565175	0.6295550	0.0304728	0.7320950	0.5733850	0.0476150	0.6008442	0.5087880	0.0019335	0.6875903	0.6353359	0.3534092	0.4874783	0.4694103	0.0209591	0.6364475	0.4158567	0.3729850	0.6085031	0.6695770	0.6412563	0.6613780	0.0572791	0.0113092	0.6438637	0.0003561	0.5619284	0.1302848	0.3497709	0.2491130	0.6467886	0.7665154	0.0783396	0.7104748	0.4191760	0.5921037
400	0.1135163	0.0618743	0.7286718	0.5312833	0.5612604	0.6419256	0.0210877	0.6405249	0.7986350	0.0497894	0.4970366	0.3576047	0.0000000	0.5904133	0.6108016	0.3205319	0.5870805	0.5542592	0.0302701	0.6235324	0.3724607	0.2392168	0.6963491	0.7311709	0.5821726	0.6126690	0.0823988	0.0062887	0.6884667	0.0022905	0.5657190	0.1428460	0.4673135	0.3774844	0.6530421	0.6819233	0.1390717	0.6125002	0.4379194	0.4986941
