"Time"	G1	G3	G5	G7	G4	G22	G83	G8	G6	G86	G87	G85	G54	G89	G88	G30	G29	G35	G100	G99	G32	G81	G23	G82	G80	G19	G18	G20	G50	G58	G51	G31	G78	G93	G94	G95	G91	G90	G2	G69	G70	G84	G97	G43	G44

0	0.3456411	0.3370599	0.0077082	0.2240792	0.1819123	0.7807564	0.6617499	0.5654285	0.5256161	0.5788293	0.6258854	0.4905167	0.0168228	0.0283332	0.3992886	0.0533661	0.7550609	0.2908907	0.6980789	0.0824752	0.2609873	0.0329074	0.5905384	0.5493827	0.2256951	0.2276059	0.7528418	0.7342929	0.0487571	0.7016365	0.0078888	0.0613295	0.7824078	0.6269992	0.6331028	0.5540346	0.0162704	0.7172832	0.6895630	0.7920706	0.6482856	0.6526170	0.6375215	0.2614842	0.0988103
50	0.3159555	0.3038317	0.0240652	0.2307650	0.1119514	0.7274647	0.4453562	0.6198826	0.1284165	0.3898240	0.5757271	0.5533878	0.0000792	0.0265574	0.4079275	0.0948430	0.5500507	0.3587190	0.6313350	0.1387675	0.3670255	0.4427260	0.4744316	0.4173460	0.2324040	0.2823077	0.6887286	0.7551965	0.0074268	0.6076190	0.0177893	0.0941380	0.0866934	0.4563771	0.6159727	0.4963748	0.0298342	0.3438526	0.4764492	0.5900790	0.6833570	0.7458478	0.6896358	0.2663033	0.0964362
100	0.2967047	0.3565375	0.0118349	0.4082836	0.1904821	0.8100079	0.4199615	0.6414633	0.0498824	0.1713901	0.7132872	0.4204783	0.0017911	0.0578012	0.5683618	0.1638166	0.7229318	0.3110998	0.6603049	0.0801780	0.3218506	0.3742758	0.5195085	0.4969409	0.2156104	0.2272795	0.7775791	0.6825001	0.0050171	0.6798257	0.0399373	0.0626349	0.0085673	0.3262859	0.5646228	0.4606120	0.0556981	0.1825742	0.3995506	0.4283352	0.6227414	0.6067990	0.7580677	0.3820701	0.1147308
150	0.2354318	0.4187789	0.0116759	0.4220336	0.2081679	0.7204026	0.3526054	0.5149272	0.1020513	0.1375230	0.6845972	0.5248026	0.0002205	0.0378643	0.5910005	0.2164866	0.5981381	0.3361615	0.7889578	0.0589973	0.3194530	0.4425836	0.6172453	0.5885387	0.1991276	0.2650115	0.6268143	0.6283767	0.0063503	0.6832004	0.0445079	0.0842662	0.0224417	0.2701265	0.5200714	0.3591725	0.0629949	0.1809968	0.3235376	0.5073753	0.6917612	0.7006672	0.6528758	0.4539268	0.1270040
200	0.3012593	0.2746165	0.0296309	0.3241304	0.1688534	0.8550520	0.3303716	0.6517490	0.0369710	0.0944964	0.7336503	0.3924431	0.0000883	0.0644041	0.7612938	0.3243979	0.6592622	0.2706484	0.7203104	0.0982829	0.2700018	0.3668811	0.5535747	0.4118278	0.1765809	0.2035693	0.6077450	0.6735383	0.0082799	0.6671462	0.0707712	0.0832143	0.0208799	0.1271414	0.2877936	0.3425360	0.0381982	0.1411766	0.3808915	0.6304975	0.5865493	0.5365686	0.6329781	0.4856793	0.1386911
250	0.3050263	0.2197325	0.0136934	0.3986988	0.1411808	0.7004410	0.4576891	0.5965864	0.0791645	0.1694514	0.7430800	0.4057240	0.0000320	0.0172862	0.6459115	0.3278633	0.6934421	0.2647340	0.5240541	0.1023892	0.3081474	0.3797074	0.5585440	0.4752614	0.2376054	0.1510915	0.5903799	0.6734842	0.0141700	0.6582066	0.0583894	0.0735476	0.0182875	0.0793323	0.1499179	0.3716819	0.0340381	0.1510731	0.3494885	0.5199110	0.4776165	0.5746242	0.6139069	0.4711878	0.1726840
300	0.2226684	0.2902298	0.0087611	0.3352409	0.1819331	0.7049127	0.3094490	0.5935913	0.0556089	0.1385788	0.7079649	0.3931805	0.0000000	0.0345673	0.6896555	0.2501529	0.6973145	0.2861100	0.7180542	0.0503571	0.3295146	0.4681395	0.5334388	0.4551712	0.2052069	0.1399101	0.7032613	0.8803999	0.0061453	0.6906923	0.1047603	0.0731228	0.0292647	0.0964156	0.0744194	0.4071406	0.0276514	0.1427363	0.3290423	0.5471358	0.7035241	0.7344806	0.7360932	0.5362844	0.1218740
350	0.2781883	0.3404158	0.0066598	0.3230261	0.1812592	0.6068069	0.3625361	0.5960167	0.0733448	0.1824623	0.6310712	0.3584981	0.0011301	0.0547719	0.7908959	0.3031110	0.6697567	0.3522501	0.6994026	0.1008655	0.4299137	0.4741028	0.5847421	0.4166451	0.1460747	0.1806080	0.5916964	0.6469955	0.0177785	0.6974469	0.0716923	0.1524276	0.0405453	0.0561930	0.0467853	0.3230475	0.0102853	0.1502336	0.3347905	0.4776727	0.6051453	0.6229426	0.7340913	0.5043861	0.1231481
400	0.2233869	0.3695795	0.0274758	0.3085815	0.2335644	0.6886948	0.3932495	0.6063704	0.0931888	0.1379037	0.7257714	0.3810173	0.0006487	0.0353714	0.6965650	0.2922122	0.7967502	0.2279919	0.7377598	0.0824921	0.3455286	0.3901135	0.5591060	0.3620513	0.2098317	0.1714235	0.6680269	0.6385833	0.0026670	0.7005544	0.1174874	0.0938381	0.0297993	0.0268115	0.0525756	0.3673683	0.0181174	0.1446037	0.2883385	0.4898925	0.4774149	0.7416132	0.5748655	0.6431534	0.1235207
450	0.2287010	0.3742587	0.0178919	0.2984804	0.1739127	0.6722577	0.3518097	0.5909539	0.0719045	0.1136127	0.7059866	0.3571082	0.0006078	0.0292882	0.7335907	0.2490563	0.6725950	0.2785473	0.7161902	0.0724596	0.3402205	0.2872305	0.5517762	0.3198062	0.2346109	0.1958564	0.7100464	0.7266604	0.0034478	0.7260696	0.0892762	0.0691813	0.0231439	0.0556582	0.0575297	0.3297507	0.0028700	0.0785362	0.3270410	0.6047810	0.5941676	0.6181217	0.7127145	0.4871142	0.1541688
500	0.2732554	0.3788997	0.0077898	0.3151482	0.2264497	0.7617398	0.3039447	0.6188258	0.0739641	0.2330078	0.5580932	0.4402604	0.0000000	0.0340864	0.6482319	0.3459889	0.7646563	0.2608715	0.7907258	0.0803976	0.3053339	0.4461654	0.5764446	0.4573796	0.1740032	0.2302143	0.8039714	0.7337306	0.0141474	0.7807243	0.0764946	0.0477573	0.0162821	0.0732760	0.0764860	0.3533968	0.0091602	0.1381732	0.2717794	0.4855783	0.4973998	0.6884848	0.8506934	0.4806638	0.1401118
550	0.2915194	0.3469305	0.0330544	0.2403752	0.2828801	0.5876610	0.6210801	0.4892194	0.3753353	0.5585510	0.7923022	0.3946592	0.0093441	0.0387474	0.5612151	0.4015278	0.6791029	0.3078059	0.6002822	0.0719171	0.3357294	0.0617618	0.7533083	0.4181073	0.1743847	0.2437099	0.7210105	0.5601332	0.0074117	0.7552851	0.0251479	0.0767036	0.6820697	0.1132852	0.3058442	0.1424078	0.0194214	0.4773044	0.5020036	0.8376431	0.5648779	0.7342204	0.7317804	0.5911376	0.0991079
600	0.2881439	0.3049273	0.0151873	0.2977354	0.2539851	0.7269074	0.7036341	0.5542022	0.5322776	0.6217536	0.6143836	0.3618107	0.0226857	0.0296368	0.4756367	0.2008414	0.6699351	0.2941126	0.8081163	0.0798785	0.3191260	0.0422312	0.4720098	0.4579312	0.2871786	0.2737485	0.7139030	0.6292787	0.0114836	0.6971622	0.0093140	0.0546046	0.6062150	0.3310183	0.6627766	0.2857297	0.0395874	0.6639874	0.7646849	0.7817221	0.5964825	0.6153794	0.8084708	0.3188261	0.1502483
