"Time"	G1	G3	G5	G22	G4

0	0.6843400	0.4653871	0.0594360	0.7557321	0.6379282
50	0.7806322	0.5244412	0.0202774	0.7270785	0.7841967
100	0.7221396	0.5385458	0.0051299	0.6605369	0.7322227
150	0.7433552	0.4374614	0.0188349	0.8241027	0.6248807
200	0.6749638	0.4129592	0.0094309	0.7660326	0.7716121
250	0.7652444	0.4395686	0.0157384	0.7274648	0.6114511
300	0.8073856	0.4116226	0.0332231	0.6585529	0.7826227
350	0.8284858	0.3650494	0.0233637	0.6485517	0.7621034
400	0.8245074	0.4901766	0.0151463	0.7456417	0.8472691
450	0.7631527	0.5822832	0.0078536	0.6796259	0.8316553
500	0.7564592	0.4567935	0.0019792	0.6926985	0.7080602
550	0.7551376	0.4715851	0.0796942	0.6493737	0.8917098
600	0.7615552	0.5444695	0.1138149	0.7340316	0.7010378
650	0.7065431	0.4063678	0.1076532	0.6190823	0.6887464
700	0.6453229	0.4303193	0.0895390	0.7862889	0.6952671
750	0.6443806	0.3893500	0.1850179	0.8615578	0.6700664
800	0.7144660	0.6196050	0.1105125	0.7144557	0.6198701
850	0.7098591	0.5176523	0.1041632	0.6893168	0.6419283
900	0.6830514	0.4533098	0.1264087	0.7369107	0.7648147
950	0.8060887	0.4631354	0.1233854	0.7756921	0.8051234
1000	0.7120592	0.4315349	0.1243190	0.6512251	0.6315044

0	0.6140389	0.5330542	0.0847632	0.8606368	0.6667257
50	0.8259261	0.4304834	0.1035627	0.6554536	0.6363480
100	0.7383182	0.4670768	0.0796821	0.7550406	0.7118138
150	1.0000000	0.5079035	0.1049248	0.6632292	0.6413032
200	0.8122129	0.4614371	0.1484636	0.7500257	0.7260261
250	0.7054983	0.4718037	0.1076566	0.8228119	0.6509015
300	0.6544846	0.4356958	0.1959069	0.8824102	0.6123893
350	0.7572022	0.4739375	0.1068081	0.7425031	0.6020345
400	0.7920424	0.5552179	0.0710095	0.6914177	0.6347543
450	0.8558329	0.4057889	0.1038689	0.7275191	0.7352125
500	0.8582652	0.4771047	0.1360385	0.7050464	0.7981174
550	0.7388167	0.4666488	0.0834115	0.6673325	0.7385954
600	0.8060259	0.4646492	0.1265318	0.8074174	0.6927595
650	0.6846497	0.4759577	0.1293539	0.7768824	0.6749576
700	0.6342028	0.4921531	0.0874067	0.7381529	0.7543594
750	0.6885103	0.5189857	0.0946089	0.7787601	0.7680454
800	0.7051323	0.5622422	0.1045207	0.6267755	0.6332248
850	0.7851816	0.4609110	0.0840019	0.7658793	0.6284757
900	0.7361653	0.3628414	0.1268077	0.7994141	0.5796742
950	0.7267742	0.4702297	0.0823007	0.7441860	0.7541237
1000	0.6399611	0.4061882	0.1788542	0.7397751	0.6918656

0	0.7604795	0.4788139	0.1602196	0.8257029	0.7626150
50	0.5732356	0.4846450	0.1116814	0.7482082	0.8523463
100	0.5111246	0.4863799	0.1483944	0.8003039	0.7215743
150	0.4070535	0.4056102	0.1290361	0.6661601	0.8190731
200	0.4702648	0.3667467	0.1012723	0.7580235	0.7012898
250	0.5239296	0.4984651	0.1578243	0.7531835	0.7272448
300	0.5443859	0.3977155	0.1364614	0.7014882	0.6221554
350	0.5894904	0.3157503	0.1159692	0.6557255	0.6042691
400	0.3706641	0.2437609	0.1700681	0.7675575	0.7294040
450	0.4952558	0.2753842	0.1168832	0.7744769	0.7341472
500	0.5997029	0.2945773	0.1266751	0.7076468	0.6908488
550	0.5539165	0.2961053	0.1343064	0.7723091	0.5725469
600	0.6802282	0.3490044	0.1520931	0.8248649	0.5799634
650	0.6874805	0.5396356	0.1631556	0.6780240	0.6102235
700	0.6476881	0.4651339	0.1737696	0.7253051	0.7469581
750	0.5808559	0.5053126	0.1375410	0.6982625	0.6519635
800	0.7111101	0.4485549	0.1741994	0.7676870	0.7021611
850	0.6468588	0.5809383	0.1435032	0.7260167	0.6155044
900	0.7943219	0.5179368	0.1616712	0.8048643	0.7511334
950	0.8936263	0.4727628	0.0979935	0.7819998	0.6822966
1000	0.7229679	0.5614461	0.1049582	0.8000136	0.9215919

0	0.6700741	0.4679764	0.1017227	0.6898961	0.7336682
50	0.7697574	0.4023409	0.1482804	0.8182613	0.7028426
100	0.8844810	0.4250427	0.1048349	0.7623251	0.5977837
150	0.5935111	0.4129819	0.0835743	0.7126253	0.7028287
200	0.7804724	0.5232207	0.0963488	0.7181029	0.6786025
250	0.6763420	0.4315996	0.1482244	0.7352185	0.6009045
300	0.7924366	0.3925219	0.1670315	0.9685167	0.6467913
350	0.7770495	0.4301853	0.1780328	0.7220088	0.7213993
400	0.7450112	0.4381504	0.1410621	0.7190821	0.6137606
450	0.6235579	0.4848561	0.1658561	0.7465136	0.8159385
500	0.8378665	0.5630365	0.1046515	0.8488065	0.7929691
550	0.6901764	0.4478402	0.0989722	0.8050784	0.5667305
600	0.9154114	0.4657978	0.1428633	0.7142053	0.6980106
650	0.7082647	0.3630786	0.1572196	0.6758041	0.7094454
700	0.6728374	0.4882766	0.1448397	0.7387625	0.7478266
750	0.7232150	0.3855567	0.2029333	0.9293199	0.7237887
800	0.7274093	0.3908342	0.1351110	0.8070539	0.8094754
850	0.6693880	0.4480730	0.0814166	0.7526332	0.6570787
900	0.7192293	0.4639697	0.1045859	0.7027498	0.6091840
950	0.6699859	0.3228812	0.1655878	0.7192181	0.5941347
1000	0.8162453	0.4036288	0.0942562	0.7220852	0.6579777

0	0.7242606	0.4687013	0.1449708	0.6028311	0.6271977
50	0.7247383	0.5320962	0.0327594	0.7712454	0.6795074
100	0.6580917	0.3420864	0.0250634	0.7343867	0.6765924
150	0.7417203	0.4282890	0.0310972	0.8552955	0.6890732
200	0.7579577	0.4651449	0.0245637	0.7455788	0.8126610
250	0.7004977	0.4735618	0.0492340	0.5645175	0.6205425
300	0.7710125	0.4612482	0.0531131	0.6715070	0.7481127
350	0.8709042	0.4312205	0.0395632	0.6863923	0.7442453
400	0.7460236	0.4720943	0.0322260	0.8472904	0.7079606
450	0.7281169	0.4058840	0.0263538	0.9594470	0.6477547
500	0.7980293	0.4237870	0.0367207	0.7322911	0.7014786
550	0.7439131	0.5761051	0.1202450	0.6515671	0.7873314
600	0.7091677	0.5628895	0.0695737	0.7141849	0.8028105
650	0.7228002	0.6059145	0.1141187	0.9764813	0.7338420
700	0.6776342	0.4930026	0.0965413	0.6924608	0.6882252
750	0.7145072	0.4597093	0.0929888	0.6983769	0.7386752
800	0.7100236	0.3659707	0.1179010	0.6526143	0.6204213
850	0.8108110	0.4720526	0.1243393	0.6282859	0.7214536
900	0.8751897	0.4596513	0.0734024	0.6699164	0.7547679
950	0.7505062	0.4585798	0.1707313	0.6884957	0.8086039
1000	0.9128656	0.5365003	0.0791958	0.6579332	0.6455822

0	0.6370465	0.6023368	0.0651096	0.6970845	0.7461805
50	0.6236088	0.5400862	0.1482563	0.7180513	0.5626615
100	0.4578761	0.5442979	0.1488852	0.8269321	0.5842706
150	0.6373542	0.5863114	0.1300580	0.7377119	0.7719492
200	0.5870450	0.6890973	0.1611289	0.6279902	0.7937880
250	0.6215224	0.5582200	0.1597465	0.7698506	0.6387352
300	0.5711095	0.5928205	0.1240230	0.8789568	0.6586075
