"Time"	G1	G3	G5	G7	G8	G4	G83	G22	G6	G87	G85	G86	G54	G89	G88	G30	G29	G35	G99	G100	G32	G19	G18	G20	G81	G23	G80	G82	G51	G50	G58	G31	G78	G94	G93	G95	G91	G90	G17	G65	G16	G57	G52	G34	G55	G56	G33	G36	G37	G72

0	0.1260928	0.1523073	0.1540099	0.7959211	0.7050423	0.2570064	0.6265662	0.8148508	0.0439987	0.0013282	0.6011757	0.8268746	0.1081393	0.0550850	0.7603469	0.3953789	0.4118608	0.3588994	0.1761462	0.4720102	0.5569627	0.5595271	0.7578086	0.3605320	0.3368281	0.4711403	0.6801225	0.6559809	0.1987364	0.0249277	0.8165525	0.0719745	0.8942371	0.6878967	0.3853092	0.4228057	0.0270321	0.7491430	0.4837024	0.7716781	0.3669550	0.1066229	0.4744470	0.4731399	0.4677861	0.3037338	0.5340677	0.7246605	0.1222954	0.6043416
50	0.1109904	0.1445763	0.0589573	0.6330049	0.5472300	0.1801133	0.5225928	0.7852093	0.0323342	0.0012305	0.2040965	0.7751189	0.1368165	0.1009939	0.6989799	0.5417236	0.3209671	0.4466042	0.0580254	0.6679142	0.6145590	0.5146638	0.1718112	0.4386427	0.3732187	0.2886812	0.7278946	0.5847803	0.3522988	0.0251495	0.7099077	0.1314558	0.2358564	0.5861073	0.5236000	0.3466722	0.0154061	0.7151300	0.4266355	0.7427472	0.3400744	0.0852427	0.5118276	0.4394255	0.4241699	0.1205861	0.4039584	0.6225720	0.1677786	0.8391796
100	0.2003342	0.1221922	0.0674214	0.7789012	0.6070759	0.1833422	0.5121414	0.7198368	0.0400391	0.0117227	0.1638088	0.7057030	0.1423496	0.1384254	0.6460943	0.6384797	0.3805916	0.3502192	0.0579975	0.5225615	0.6314387	0.5124862	0.0988883	0.3010766	0.2594356	0.4401169	0.7381390	0.6740627	0.4707123	0.0464397	0.8791868	0.1453104	0.0480296	0.5229593	0.3510238	0.1744756	0.0101576	0.6314900	0.4408365	0.7158551	0.4164620	0.0843659	0.6152338	0.4588087	0.3735734	0.0620247	0.4332546	0.6365615	0.1200727	0.6138281
150	0.2675649	0.1630176	0.0197307	0.6512922	0.6340306	0.4867225	0.5402557	0.7062411	0.0239762	0.0067722	0.1574844	0.7607093	0.1218064	0.0820436	0.6546214	0.6845671	0.3047265	0.3899558	0.0620382	0.5797404	0.6882018	0.5194874	0.1412987	0.2956810	0.2222958	0.4191991	0.6533540	0.5278284	0.5379333	0.0114117	0.7526577	0.1790732	0.0235880	0.4205695	0.3008731	0.0818583	0.0179621	0.6457343	0.3810608	0.7227185	0.3049405	0.0613714	0.5562070	0.3707730	0.4417202	0.0516986	0.4967325	0.7588457	0.0877515	0.7181314
200	0.5229172	0.3206637	0.0118603	0.6667702	0.4734962	0.6994510	0.4950629	0.6887328	0.0254274	0.0022094	0.1106259	0.8341731	0.1217387	0.1029464	0.7066954	0.7670744	0.3132234	0.4028534	0.0492038	0.5146489	0.5356072	0.4558352	0.1248575	0.2259535	0.2439930	0.3313165	0.6901217	0.5442924	0.5643409	0.0174830	0.6174215	0.1308509	0.0310476	0.3601964	0.2199066	0.0384460	0.0094867	0.5649476	0.3796804	0.7402300	0.3357681	0.0655485	0.6128422	0.4420749	0.3946390	0.0591238	0.5562889	0.6359564	0.0945203	0.7381272
250	0.4372600	0.3954606	0.0112894	0.5972717	0.6828062	0.7057238	0.4952420	0.8204732	0.0137098	0.0006691	0.2162291	0.8036769	0.0999729	0.0547020	0.5796380	0.7187555	0.3658760	0.2991504	0.0718934	0.6563394	0.5264505	0.4290080	0.0690327	0.1947560	0.2659546	0.3347404	0.8144637	0.6767284	0.6072747	0.0115390	0.6474405	0.0817522	0.0012144	0.3572850	0.2843589	0.0317481	0.0157160	0.7408979	0.3345182	0.7330081	0.3632261	0.0466956	0.5439868	0.5256595	0.4360995	0.0622488	0.5064631	0.6271473	0.1026677	0.7484513
300	0.6030395	0.4886477	0.0015589	0.4996936	0.5201467	0.6268049	0.4320093	0.8037257	0.0273806	0.0028219	0.1988879	0.7773247	0.1143605	0.0577157	0.7505128	0.6255118	0.3809118	0.3924992	0.0506943	0.6011350	0.5685127	0.3644170	0.0638869	0.2388947	0.2824171	0.3437660	0.7616467	0.7374249	0.5200713	0.0458198	0.6889012	0.1405838	0.0017656	0.3173362	0.2501277	0.0331809	0.0136910	0.6458102	0.4056789	0.7610463	0.3215143	0.0541226	0.6337861	0.3466586	0.3982014	0.0472138	0.3733564	0.6244242	0.1124112	0.6382421
350	0.4084629	0.4236200	0.0018130	0.5879645	0.5862909	0.6616682	0.3162842	0.6986284	0.0145583	0.0003125	0.0923328	0.6888306	0.1595620	0.0917253	0.7414638	0.6389404	0.3129591	0.4546299	0.0899841	0.5135960	0.5211057	0.3697550	0.0563994	0.4042634	0.3104602	0.3735618	0.6582954	0.6757544	0.5377387	0.0530351	0.7922533	0.0832136	0.0005353	0.3319792	0.3402932	0.0102702	0.0046861	0.8235062	0.4601151	0.7408364	0.3918913	0.0773576	0.5967028	0.4917351	0.3272606	0.0462844	0.4031149	0.6894011	0.1122871	0.6958791
400	0.6409783	0.5047350	0.0022420	0.4187114	0.6275742	0.6870864	0.4015152	0.6815221	0.0143615	0.0005307	0.1241887	0.9210594	0.1004552	0.0438142	0.6255708	0.7194469	0.4948563	0.3280191	0.0502903	0.6183931	0.6551708	0.4393646	0.0886511	0.1878092	0.1844811	0.3894348	0.6270023	0.6372155	0.5652041	0.0268140	0.7277702	0.0929280	0.0024771	0.2760193	0.2751299	0.0152330	0.0173815	0.7276997	0.4404429	0.7676928	0.5116441	0.0890308	0.5624730	0.4431919	0.3433026	0.0373862	0.4139880	0.7267833	0.0942870	0.7644391
