"Time"	G1	G2	G10	G20	G4	G17	G16	G8	G9	G11	G56	G3	G5	G19	G13	G15	G14	G12	G50	G41	G52	G53	G51	G21	G22	G55	G42	G54	G40	G49	G39	G35	G44	G45	G47	G18	G94	G98	G95	G43	G48	G61	G57	G79	G60	G84	G81	G80	G83	G88	G82	G89	G85	G90	G91

0	0.4063570	0.3419426	0.4792515	0.3434766	0.3572263	0.3959210	0.0048871	0.2180524	0.0759378	0.2975478	0.5048646	0.0142876	0.2674720	0.0244544	0.5485445	0.1190501	0.2790526	0.1068537	0.0494723	0.8296361	0.3138671	0.6814507	0.2624502	0.3598110	0.6970612	0.5369853	0.6031297	0.4199752	0.0183931	0.3152358	0.1999583	0.5056935	0.2856964	0.2915751	0.3760134	0.6210841	0.7412674	0.6881527	0.4024473	0.2887653	0.3220302	0.0462738	0.5638805	0.2870784	0.2702972	0.7129490	0.7860592	0.6297732	0.0774882	0.0749988	0.6698731	0.5391134	0.0309209	0.1769668	0.6742340
50	0.3893578	0.3494604	0.6343973	0.3639380	0.5335380	0.3692543	0.0235866	0.1853887	0.3452870	0.1733959	0.4865088	0.0063711	0.4100137	0.0562815	0.4550002	0.0746132	0.3004921	0.0855487	0.0447875	0.4931675	0.2922068	0.8676793	0.2529802	0.4741369	0.6645911	0.7673554	0.4882021	0.4164479	0.0091961	0.2128370	0.1958728	0.4733226	0.2943645	0.2769896	0.3348784	0.6732998	0.8622997	0.6924807	0.4779790	0.1834411	0.3306275	0.0369635	0.6764940	0.3417820	0.3874587	0.7645482	0.8672434	0.6020731	0.1040894	0.0639197	0.6354541	0.5624313	0.0488846	0.1547694	0.5773148
100	0.3825203	0.3614275	0.7354035	0.4664749	0.5462623	0.3278239	0.0247301	0.2622875	0.4409529	0.1670086	0.4792259	0.0047768	0.3143750	0.0419131	0.4298352	0.1227525	0.3692847	0.0513918	0.0660849	0.3283128	0.3146827	0.7541903	0.1817403	0.3865881	0.8219147	0.6823132	0.4133549	0.4299055	0.0341391	0.1836786	0.2275405	0.4870154	0.2679021	0.2227460	0.1970496	0.6933874	0.8208609	0.5571151	0.6294316	0.2159523	0.3184228	0.0210143	0.6888650	0.3744011	0.3946851	0.7395968	0.7815497	0.6350310	0.0576633	0.0663838	0.7145472	0.4349904	0.0300194	0.2308831	0.6114024
150	0.4713907	0.4226983	0.6507026	0.3410637	0.5386651	0.2984192	0.0116599	0.2117177	0.5549835	0.1770802	0.4781542	0.0006064	0.3838382	0.0422501	0.4375139	0.0971942	0.2254101	0.0953458	0.0796985	0.1781522	0.3463884	0.7409357	0.2007750	0.4068961	0.7695560	0.7994979	0.3854423	0.4048447	0.0346350	0.1427125	0.2559062	0.6417131	0.3635328	0.2618328	0.1370023	0.6175830	0.6804420	0.7097269	0.5224599	0.2181528	0.3169012	0.0112072	0.6656669	0.3453266	0.3845433	0.7149829	0.6692620	0.5124434	0.0850055	0.0522939	0.7572346	0.4293222	0.0407996	0.2025204	0.6105833
200	0.4158276	0.3621884	0.6269709	0.5395860	0.6965459	0.3698584	0.0428646	0.1743257	0.5145723	0.1576257	0.4246568	0.0000059	0.3193430	0.0697155	0.5241583	0.1103906	0.2225740	0.0873346	0.0465838	0.2643877	0.3760032	0.6209686	0.3122689	0.4787987	0.6254202	0.6810738	0.3732205	0.3920682	0.0341340	0.1445478	0.2560578	0.6484949	0.3489662	0.3121957	0.1899571	0.4993665	0.7250510	0.7414855	0.4166933	0.2253998	0.2974730	0.0183101	0.6349607	0.3662787	0.3258580	0.7801506	0.6504050	0.6570083	0.0571280	0.0713415	0.7247278	0.3670280	0.0384307	0.1974805	0.7212894
250	0.3282674	0.3671061	0.6572954	0.3316245	0.7138484	0.3273510	0.0253125	0.2296011	0.4560220	0.2073314	0.4135562	0.0000184	0.4369563	0.0491714	0.4433799	0.0794364	0.2694674	0.0875015	0.0380381	0.1664249	0.2789162	0.7425786	0.2224574	0.3788534	0.7361442	0.7044904	0.3663430	0.3599835	0.0074982	0.1249849	0.2027513	0.4997578	0.2372882	0.2414753	0.1335140	0.6071184	0.6806676	0.7624391	0.5272445	0.2440150	0.2621248	0.0476359	0.6716425	0.3301715	0.3655072	0.7625826	0.7476536	0.5405552	0.1163958	0.0328706	0.7309931	0.5210138	0.0928133	0.1837385	0.5874920
300	0.3727257	0.4117937	0.5615861	0.3689335	0.8550842	0.4097102	0.0050071	0.2243473	0.4976355	0.1557836	0.4304377	0.0008626	0.3571568	0.0439987	0.4225620	0.0678514	0.2811687	0.0959175	0.0329548	0.1756103	0.3152169	0.6633024	0.1973405	0.4510721	0.8263923	0.6698371	0.4176504	0.3438416	0.0116765	0.0960512	0.2038595	0.3967695	0.2888429	0.2400371	0.1791523	0.7110859	0.7121300	0.6318223	0.4363664	0.3232164	0.3044244	0.0193756	0.7893357	0.3891714	0.3410764	0.6912091	0.7518074	0.5890493	0.0854233	0.0537019	0.6625225	0.5369090	0.0558757	0.1471970	0.6138398
350	0.4084975	0.3378359	0.5921458	0.3413525	0.6427362	0.3852039	0.0058032	0.2804443	0.5852015	0.1572401	0.4505480	0.0001462	0.4122379	0.0205312	0.5430696	0.0905565	0.3455027	0.0841960	0.0665594	0.1895654	0.2728618	0.6780466	0.2162699	0.5344716	0.7589042	0.7668744	0.4361625	0.4168005	0.0250832	0.1289718	0.2109701	0.5224710	0.2925458	0.2599359	0.1976522	0.6480155	0.7543404	0.5468608	0.4341203	0.2667245	0.3748751	0.0239421	0.7216097	0.3233217	0.3409761	0.7878244	0.7400341	0.6394074	0.0919999	0.0806103	0.7647469	0.5162523	0.0382791	0.1696128	0.6096521
400	0.3597377	0.4612416	0.5970074	0.5161864	0.7444779	0.3258466	0.0049168	0.2607111	0.4249627	0.1804656	0.4629253	0.0000848	0.2672292	0.0497321	0.4418316	0.0709837	0.2726085	0.0809542	0.0696346	0.2216726	0.4144799	0.6422527	0.1824315	0.4518374	0.7854173	0.6754646	0.3641678	0.4086377	0.0152256	0.1444463	0.2705798	0.4959226	0.3031777	0.2283645	0.2069206	0.6786722	0.6521605	0.6278021	0.4619506	0.3298328	0.2924259	0.0173208	0.7980168	0.3638605	0.2887887	0.7906514	0.7461850	0.5259476	0.0982150	0.0689352	0.8113028	0.4213901	0.0483790	0.1861367	0.5944964
