"Time"	G1	G2	G20	G10	G16	G4	G17	G8	G11	G56	G3	G5	G19	G12	G13	G14	G15	G50	G41	G52	G53	G51	G21	G22	G55	G42	G54	G40	G44	G39	G35	G49	G45	G48	G61	G9	G47	G43	G79	G57	G60	G89	G80	G84	G81	G82	G83	G88	G86	G78	G77	G75	G91	G90	G85	G58	G59	G99	G92	G93

0	0.6451691	0.0029793	0.4939779	0.2893040	0.0857625	0.5983137	0.1833497	0.0869768	0.1863611	0.5810850	0.0446981	0.2815609	0.7952283	0.0354328	0.2296786	0.0450020	0.5897563	0.5849869	0.4659127	0.7339303	0.0269071	0.1748873	0.3751537	0.2514167	0.1965831	0.3614578	0.5193446	0.4503632	0.2906075	0.3272045	0.6520271	0.0566924	0.2753273	0.5801580	0.3608990	0.0674165	0.3174479	0.0182993	0.7003140	0.0430237	0.3641185	0.0741211	0.0050186	0.4192179	0.3730145	0.5195615	0.0378581	0.1790112	0.5675666	0.4011931	0.1209517	0.7960624	0.0101136	0.3790902	0.6321402	0.5486191	0.5570494	0.6100552	0.4897379	0.0076064
50	0.6582153	0.0069231	0.4729648	0.2406448	0.0562908	0.5709450	0.0906875	0.0664196	0.1737080	0.5889136	0.0897375	0.2689235	0.5632704	0.0074806	0.1488159	0.0604978	0.5113332	0.2136205	0.5214771	0.8582583	0.3532042	0.2556676	0.3653445	0.2161654	0.1959432	0.4822193	0.2627003	0.4953606	0.0929160	0.3261238	0.7417468	0.3202736	0.1898543	0.3543211	0.6621579	0.0716746	0.4174324	0.0504824	0.5818023	0.5191976	0.3319163	0.0484841	0.0003737	0.4434432	0.2807205	0.5779991	0.0300026	0.1480547	0.4817735	0.2967600	0.4016147	0.4687153	0.2941631	0.4487067	0.3565966	0.6790814	0.5898170	0.3677798	0.4291472	0.0046251
100	0.6295078	0.0028640	0.5123663	0.2365385	0.0749613	0.5903950	0.1325647	0.0778016	0.1202712	0.5291413	0.0515162	0.4062364	0.5082491	0.0032307	0.0828311	0.0419535	0.4172410	0.0720960	0.4719786	0.4975827	0.4226772	0.1859195	0.4344122	0.2141775	0.3508712	0.4751669	0.2607557	0.5456436	0.2247983	0.3349964	0.6545811	0.2285014	0.2689540	0.2587471	0.7658962	0.1248724	0.3887242	0.0653242	0.4764364	0.5910300	0.2161439	0.0439968	0.0019315	0.3197798	0.2765752	0.6395956	0.0351243	0.1556444	0.2489424	0.2745852	0.4987472	0.4193095	0.4335535	0.6050762	0.3837449	0.5117077	0.6790192	0.5538253	0.4653273	0.0044647
150	0.6895608	0.0051928	0.5798922	0.2989339	0.0938458	0.6923478	0.1935071	0.0617505	0.1865055	0.5352526	0.0241816	0.3194573	0.4139430	0.0000000	0.0493683	0.0251020	0.5334411	0.1049223	0.6107570	0.3403876	0.5710385	0.1484863	0.5578406	0.2442519	0.4226182	0.4129268	0.2890052	0.5116018	0.2721801	0.3354616	0.8158490	0.3057710	0.2618877	0.2282775	0.6897557	0.0740978	0.4068684	0.0227514	0.5474474	0.6753315	0.2597761	0.0412117	0.0004882	0.4332493	0.3196750	0.6777035	0.0546987	0.1500835	0.2909968	0.1636235	0.5543040	0.3572972	0.5384373	0.5139648	0.3461563	0.6520975	0.6883692	0.4706243	0.5416971	0.0021797
200	0.7447739	0.0081807	0.5957304	0.2159049	0.1230408	0.6633933	0.1642438	0.0815813	0.1979577	0.5246587	0.0432115	0.2701582	0.5106879	0.0000842	0.0769061	0.0157942	0.6012446	0.1177389	0.5824196	0.4986281	0.6796782	0.1474837	0.5757978	0.3262838	0.5216682	0.3959810	0.4122463	0.4893115	0.3205951	0.4140923	0.6452469	0.3356827	0.3322006	0.2417536	0.6491865	0.0685820	0.3480760	0.0241686	0.5285300	0.7624907	0.2658590	0.0696266	0.0015639	0.2583195	0.2648353	0.7117566	0.0331246	0.0990096	0.2797721	0.1539190	0.4227204	0.2436865	0.4842696	0.4860507	0.3411750	0.5186797	0.7237170	0.4527616	0.4107843	0.0072358
250	0.5735814	0.0049226	0.5147320	0.1898011	0.0921480	0.6293642	0.1550817	0.0776982	0.1240361	0.5068732	0.0353452	0.2657231	0.3555581	0.0006804	0.0411512	0.0182444	0.4817604	0.0667621	0.6222820	0.4185614	0.6010399	0.1506812	0.4570527	0.4097217	0.4460016	0.4139325	0.3080456	0.4540496	0.2203969	0.3957750	0.7114684	0.3378988	0.3203476	0.2992199	0.5978968	0.0802078	0.3971313	0.0198396	0.5034393	0.6255866	0.2571355	0.0438339	0.0033388	0.2983462	0.2289616	0.6365388	0.0385302	0.1156707	0.2933573	0.1204864	0.4757093	0.3573459	0.4523261	0.5035215	0.4059070	0.5805043	0.6151829	0.5436437	0.4145030	0.0078879
300	0.6130469	0.0096551	0.6070946	0.2485305	0.1161723	0.6104532	0.1174389	0.0722822	0.1656147	0.4697462	0.0238106	0.2525044	0.5715667	0.0001282	0.0749013	0.0159009	0.5834294	0.0677360	0.5095155	0.3264222	0.5658686	0.0916608	0.6054333	0.3362133	0.3956399	0.3635049	0.2297959	0.5941423	0.1334293	0.2584548	0.6153659	0.4102839	0.2010264	0.2415276	0.6237551	0.0986669	0.4341017	0.0389020	0.4824455	0.6689465	0.2340316	0.0880686	0.0004465	0.3114960	0.3604199	0.7216633	0.0562576	0.1446095	0.2451141	0.1883782	0.5063637	0.4199562	0.5705813	0.3935039	0.3467092	0.6521124	0.6393011	0.4175759	0.3012823	0.0067489
350	0.7310041	0.0054219	0.5518380	0.2676657	0.0608593	0.5567278	0.1818721	0.1019271	0.1605697	0.4808566	0.0098240	0.3317390	0.3959512	0.0001162	0.0590240	0.0426647	0.4807723	0.0352394	0.6126771	0.4175054	0.6455253	0.0969450	0.6831814	0.2628960	0.4093351	0.4934221	0.2527850	0.5434043	0.1267999	0.3472730	0.7907871	0.3568339	0.1790685	0.2414165	0.7560220	0.0830887	0.3793026	0.0143564	0.5305239	0.8708959	0.3520878	0.0669181	0.0052735	0.4102837	0.2649203	0.6969282	0.0480857	0.1472415	0.2702736	0.1064044	0.5680395	0.4037698	0.5583836	0.5422518	0.2902455	0.6276991	0.8424843	0.3956512	0.3582857	0.0066623
400	0.6626297	0.0044358	0.4648364	0.2181404	0.0710245	0.6185631	0.1285375	0.0759447	0.1409709	0.5464204	0.0084873	0.2663329	0.4474037	0.0038413	0.0556539	0.0370033	0.5243550	0.0592024	0.7161480	0.4092457	0.4588916	0.0738882	0.5053424	0.5246589	0.4058089	0.4041178	0.2582358	0.5148308	0.1270827	0.2778337	0.6383443	0.3714237	0.1766299	0.2107590	0.7144093	0.0672622	0.4469385	0.0258982	0.4257248	0.6126900	0.3598119	0.0457809	0.0008365	0.3227673	0.4056793	0.7338627	0.0523906	0.1282226	0.2163595	0.0792723	0.5013748	0.3959108	0.5115951	0.4638764	0.4136367	0.6886738	0.6312628	0.5627064	0.5077282	0.0274586
