"Time"	G1	G10	G2	G20	G17	G4	G16	G9	G8	G11	G18	G94	G95	G98	G7	G46	G6	G100	G36	G37	G38	G34	G3	G56	G35	G5	G19	G14	G15	G12	G44	G41	G22	G21	G50	G13	G51	G53	G52	G42	G55	G39	G49	G40	G45	G54	G47	G48	G61	G57	G43	G72	G67	G60	G59	G99	G58	G79	G81	G88	G83	G89	G82	G80	G84

0	0.2866288	0.3613976	0.3006479	0.6030004	0.5287208	0.4528489	0.0156975	0.0780033	0.5135416	0.4699019	0.2784548	0.6572954	0.8207308	0.7102324	0.0227905	0.1223548	0.0160247	0.7462758	0.2800608	0.8026261	0.5324214	0.6219625	0.1631186	0.1054178	0.6820600	0.5942145	0.1609357	0.6934536	0.1232776	0.1920152	0.1660993	0.6578256	0.1128172	0.3569466	0.3462692	0.4808385	0.0108799	0.1342180	0.7433933	0.2949152	0.4724360	0.5455245	0.3528787	0.6665423	0.7630591	0.3752135	0.0421383	0.5841823	0.2428521	0.2181084	0.2628759	0.7429489	0.4673554	0.1207813	0.7956074	0.6239662	0.6749212	0.1359151	0.2925265	0.3956580	0.5108090	0.5543280	0.3918703	0.7674936	0.3531474
50	0.2907403	0.3850645	0.2775063	0.7339782	0.5043077	0.6827120	0.0120236	0.0861167	0.4319620	0.3142755	0.3490310	0.7480637	0.6650241	0.7470994	0.0169512	0.0895246	0.0035215	0.4882503	0.3530805	0.5796088	0.5973688	0.6557280	0.3950578	0.1313436	0.6323137	0.6427953	0.0757112	0.3848749	0.0323964	0.1204853	0.2298275	0.5181647	0.0915630	0.2842977	0.3307390	0.2008991	0.0021098	0.1308433	0.6039425	0.4617955	0.5588687	0.7358733	0.2674007	0.8054914	0.5805155	0.4785995	0.0641652	0.7232354	0.4146260	0.3015434	0.1897042	0.7302170	0.4920093	0.4196223	0.6287274	0.7379339	0.6244779	0.0280564	0.2733586	0.4401750	0.4437088	0.4764975	0.3453784	0.6337699	0.2743742
100	0.3179841	0.4472212	0.2272949	0.6270534	0.4923101	0.5345544	0.0281960	0.1007217	0.4835869	0.1518224	0.2678052	0.6468208	0.6893517	0.7576190	0.0341688	0.1241375	0.0054309	0.4161685	0.2813706	0.5690246	0.5709606	0.7313853	0.4404782	0.1598300	0.5374829	0.5374214	0.0601429	0.3374124	0.0161657	0.1180474	0.1530309	0.4811317	0.0578912	0.2453304	0.4141419	0.1190601	0.0060173	0.1636850	0.5912674	0.4160728	0.3637999	0.6668042	0.3179953	0.7257065	0.5511539	0.6120709	0.0824447	0.6068437	0.2325923	0.2873670	0.2367584	0.7194617	0.4773835	0.5018234	0.6626518	0.8896276	0.6080106	0.0020287	0.2276687	0.5159778	0.3743478	0.4573792	0.1726868	0.6030185	0.3048345
150	0.2374240	0.4113489	0.2736622	0.8127302	0.6852019	0.3863173	0.0340490	0.0373023	0.2325791	0.2379286	0.2834583	0.6459096	0.7037014	0.7315237	0.0205022	0.0845033	0.0034020	0.5322244	0.3279390	0.5397715	0.6970166	0.8104272	0.3587861	0.1229022	0.6510624	0.5816339	0.1083155	0.3534149	0.0053627	0.1779044	0.2289127	0.5482991	0.0918137	0.1821507	0.3779390	0.1118312	0.0020618	0.2089699	0.7290121	0.4487459	0.1938465	0.7495316	0.2582036	0.6986157	0.5200583	0.5215605	0.0881690	0.7316371	0.1690657	0.4002877	0.2413994	0.6812193	0.4527384	0.4758018	0.5948408	0.6813799	0.4331233	0.0007589	0.2465554	0.4922805	0.4142007	0.6338018	0.0930351	0.4753402	0.3167029
200	0.2559401	0.4164296	0.2920255	0.5763683	0.7147113	0.4353048	0.0281309	0.0412954	0.1860818	0.2013154	0.2875488	0.6884798	0.7445921	0.6862380	0.0419468	0.1124043	0.0022457	0.4453832	0.3177797	0.5872105	0.7189967	0.7514619	0.3518003	0.1637738	0.6368765	0.4688503	0.1517577	0.3829450	0.0028442	0.1748360	0.1408693	0.4943565	0.0528645	0.1600793	0.4074568	0.1050677	0.0027585	0.1637043	0.5435224	0.5087088	0.2566538	0.6430530	0.2078582	0.7263049	0.3745735	0.5785155	0.0849007	0.4702191	0.1682829	0.3596561	0.2179770	0.5899112	0.4147230	0.4919144	0.6902956	0.7767234	0.4876513	0.0031130	0.1847533	0.3645182	0.4093189	0.4656091	0.0677878	0.5205053	0.2092037
250	0.3421206	0.3565326	0.3485371	0.5765789	0.6593428	0.4334582	0.0226072	0.0436529	0.2609333	0.1519793	0.3073550	0.8178142	0.6841349	0.6817318	0.0147732	0.0901361	0.0034134	0.5219795	0.3711237	0.6322870	0.6075094	0.6182863	0.2579219	0.1598164	0.4743307	0.6359490	0.1830571	0.3005388	0.0048621	0.2374123	0.2261996	0.5198459	0.0380722	0.1492187	0.3092858	0.1042037	0.0025151	0.1467969	0.5741883	0.6105856	0.3195651	0.7466299	0.2672107	0.7059658	0.2724467	0.6624712	0.0673932	0.6514420	0.1224217	0.3719524	0.2022546	0.7405548	0.4664791	0.5836636	0.6618391	0.7498951	0.4669758	0.0014392	0.1683733	0.3673083	0.3638380	0.3329375	0.0564594	0.4643428	0.2777261
300	0.3103071	0.3664071	0.2820763	0.5934689	0.5553756	0.4211964	0.0128581	0.0527199	0.2080952	0.0918979	0.2804702	0.7126006	0.6741445	0.7296199	0.0062236	0.0840319	0.0083173	0.5211444	0.2614403	0.7118360	0.4681477	0.7339924	0.4101589	0.1054582	0.6924793	0.6271810	0.1197426	0.3563045	0.0026039	0.1217148	0.2641148	0.5311039	0.0501185	0.1126038	0.3028173	0.0568495	0.0026607	0.1629392	0.7465698	0.5142134	0.2539762	0.7599097	0.2072534	0.6429237	0.2820010	0.5651234	0.0834533	0.5849820	0.1163525	0.3960897	0.1824621	0.7314362	0.3658898	0.4728493	0.6455083	0.7427749	0.4490817	0.0100901	0.1721906	0.3755951	0.2101702	0.2422583	0.0536717	0.5048631	0.2048532
350	0.3369071	0.3943799	0.3227508	0.6135894	0.6278963	0.5287216	0.0230906	0.0374263	0.1846887	0.0839652	0.2726014	0.6786237	0.6610604	0.6110748	0.0143877	0.0795933	0.0007491	0.5414352	0.3322004	0.5997728	0.5779781	0.8033049	0.3596076	0.0946114	0.7083245	0.5598633	0.1892883	0.3676095	0.0191245	0.1422008	0.2726204	0.4587504	0.0248781	0.1502945	0.2801870	0.0940323	0.0019148	0.1222316	0.7428091	0.5177847	0.1954373	0.7059111	0.2113464	0.6804989	0.3045807	0.6682368	0.1212858	0.6850515	0.1128157	0.3985201	0.1749706	0.6012957	0.4106720	0.4668877	0.6878724	0.7530630	0.5039257	0.0003862	0.1331790	0.3195716	0.3067356	0.3059074	0.0418016	0.4700446	0.2233502
400	0.3143679	0.2954634	0.2889493	0.7095257	0.5800633	0.5153325	0.0088509	0.0174670	0.2064312	0.0766311	0.2818273	0.6918819	0.7272451	0.6713635	0.0175935	0.1427832	0.0016121	0.4157513	0.2969687	0.7154960	0.6161096	0.8974324	0.4587673	0.1403483	0.6793361	0.5480846	0.2272933	0.3328545	0.0090887	0.1776801	0.1506707	0.4064997	0.0144686	0.1454438	0.3684428	0.1144976	0.0003796	0.1856601	0.7026424	0.5751450	0.2694855	0.8911918	0.1708796	0.6411966	0.2337708	0.6627491	0.1375292	0.5142019	0.0866092	0.3924718	0.2347009	0.6399249	0.3739743	0.5007448	0.7380525	0.6296086	0.5099661	0.0017596	0.1648514	0.3699110	0.4103793	0.4136679	0.0332748	0.5107995	0.1662655
450	0.1810613	0.2963981	0.3123591	0.6497504	0.5643231	0.4524624	0.0229070	0.0151904	0.1755957	0.1517007	0.3226164	0.7049616	0.8185304	0.7669510	0.0252058	0.0710814	0.0045174	0.4527156	0.3292468	0.7391977	0.5433007	0.7073535	0.4532713	0.1509547	0.6977330	0.6192246	0.1325147	0.3926811	0.0195665	0.1926914	0.2004693	0.3822020	0.0764855	0.1286073	0.4514041	0.0701194	0.0075874	0.1357534	0.6160378	0.5464396	0.1952239	0.8175530	0.1875270	0.7165812	0.3029443	0.6554072	0.0799317	0.6193356	0.0756843	0.3788510	0.2396815	0.5808804	0.3051915	0.4688953	0.5798652	0.6965257	0.4803945	0.0017940	0.1644276	0.4410074	0.3913287	0.2107331	0.0373628	0.5546246	0.2155696
500	0.2316058	0.3379201	0.3236048	0.5782204	0.6344285	0.4111219	0.0271718	0.0354298	0.2197319	0.1383727	0.3979084	0.7991947	0.7063156	0.6648024	0.0134582	0.1130535	0.0020858	0.3826942	0.3311691	0.7426698	0.6319691	0.8283939	0.4549999	0.1317767	0.5842413	0.5829827	0.0990843	0.3311577	0.0156726	0.2148900	0.1785007	0.5696813	0.0343576	0.1844230	0.4294387	0.0805561	0.0043535	0.1557901	0.7136204	0.4534822	0.2173304	0.6722674	0.1396940	0.5286715	0.2678470	0.5821562	0.1393502	0.5881516	0.0991451	0.3647639	0.2458939	0.6966152	0.3115620	0.5051737	0.5746483	0.6904466	0.5264231	0.0002768	0.2085409	0.3795412	0.4138066	0.2410387	0.0281487	0.4559531	0.2255978
550	0.2884864	0.3528690	0.2537463	0.6858387	0.5572293	0.3916561	0.0175884	0.0333587	0.1930616	0.3680088	0.3339645	0.7442964	0.6788800	0.6966237	0.0354135	0.0786938	0.0052595	0.5038601	0.2776465	0.5755332	0.5113819	0.8327923	0.1949655	0.1206436	0.5664112	0.6467524	0.2569776	0.5728090	0.0624591	0.1636641	0.2951566	0.5504557	0.0569223	0.1986119	0.3516531	0.3784854	0.0034423	0.1627957	0.7524630	0.4902462	0.2392466	0.4803131	0.2001834	0.7830161	0.5248085	0.4990495	0.0597709	0.6063888	0.0895387	0.2247267	0.3025182	0.6618989	0.3391870	0.1749969	0.6056384	0.6016305	0.4407155	0.1221973	0.2034709	0.2357385	0.3316419	0.5181680	0.0448016	0.6754777	0.2177844
600	0.3852485	0.3480172	0.2523889	0.7208289	0.5322963	0.4340575	0.0115954	0.0521353	0.3716805	0.3129413	0.3039184	0.7448832	0.6902726	0.6685121	0.0265494	0.1235584	0.0071494	0.5879000	0.2816581	0.6702409	0.6642615	0.6875305	0.1823280	0.1362277	0.6574814	0.5225610	0.2401405	0.5580497	0.1018609	0.1536515	0.2337502	0.7538933	0.0456154	0.2881310	0.3446551	0.3758202	0.0118012	0.0962983	0.7399068	0.4275645	0.3544055	0.5387407	0.2703071	0.6971327	0.6466514	0.3333310	0.0513441	0.6568251	0.2516732	0.3157543	0.2733491	0.7068990	0.3477247	0.1015073	0.6529721	0.6816851	0.6330416	0.1329669	0.2842081	0.3267147	0.4256642	0.4525211	0.1904083	0.5911868	0.2593456
650	0.3454143	0.3382807	0.2282989	0.6584947	0.6213219	0.5177615	0.0226847	0.0655574	0.4349301	0.3973555	0.2818074	0.6149169	0.6587164	0.6019434	0.0206006	0.1243064	0.0229659	0.6874330	0.4073576	0.7706329	0.5911178	0.8058545	0.1325939	0.0945883	0.6574670	0.6668291	0.1909453	0.6807248	0.0831586	0.1667289	0.1864788	0.6350871	0.0695183	0.2824459	0.4178338	0.4400963	0.0166362	0.1867727	0.7737581	0.4310859	0.4325143	0.5104055	0.2612349	0.6126325	0.6552184	0.4628156	0.0924867	0.5730394	0.2147751	0.2493371	0.2610473	0.8522271	0.3334797	0.0873017	0.5726656	0.6971377	0.5065492	0.1407740	0.2506340	0.3273431	0.3856888	0.4962580	0.2101152	0.6370415	0.3333496
700	0.3152378	0.4376772	0.3281083	0.7353958	0.6970113	0.4297752	0.0087641	0.0687755	0.4397587	0.4325315	0.3399889	0.6976136	0.8218738	0.7275460	0.0373645	0.1710903	0.0343325	0.6913241	0.3928883	0.8432346	0.5914057	0.6793854	0.1383383	0.1406205	0.6550460	0.5782256	0.1883128	0.7271173	0.1743369	0.1263347	0.1658715	0.5909753	0.0480485	0.3413450	0.3469295	0.4408903	0.0113414	0.1147175	0.6826627	0.3899411	0.4947061	0.5652724	0.3776915	0.7663388	0.7565087	0.2899719	0.0621199	0.6781767	0.3374528	0.2102994	0.2249852	0.6952174	0.3980177	0.0687667	0.6390822	0.7394851	0.6485130	0.1050660	0.1885608	0.3475479	0.4030310	0.3995092	0.2520658	0.7208791	0.3840716
750	0.2683306	0.4101222	0.2110602	0.6194693	0.6365406	0.4683375	0.0417967	0.0324485	0.4863526	0.4274496	0.3925714	0.7726758	0.7956137	0.6860858	0.0075171	0.1690220	0.0075893	0.6130622	0.2668000	0.7213040	0.6670279	0.7194501	0.1374982	0.1924371	0.5757264	0.5872760	0.1287161	0.8061417	0.0827969	0.1236829	0.1772980	0.5669220	0.0845771	0.2982988	0.4014189	0.4593713	0.0027935	0.1041767	0.7090059	0.4136519	0.3992495	0.5330245	0.2926550	0.6616705	0.6129547	0.3722245	0.0775997	0.4870055	0.2443724	0.2030951	0.2808722	0.5779257	0.4786638	0.0730542	0.6729207	0.6695669	0.6691915	0.1308065	0.3680407	0.3290588	0.4185962	0.5187297	0.2320297	0.6996091	0.2760887
800	0.2686675	0.3463381	0.3485449	0.5535548	0.5873053	0.3545639	0.0141606	0.0728811	0.4626825	0.4414662	0.2715468	0.6866803	0.7753529	0.7357970	0.0285944	0.1023339	0.0084568	0.6756988	0.2995566	0.6695991	0.5930485	0.7549316	0.1172539	0.1449689	0.6066709	0.6208330	0.1540186	0.5975214	0.1238843	0.1700766	0.1606531	0.6461259	0.0455088	0.2926456	0.3781796	0.4858349	0.0092970	0.0832928	0.6747951	0.3947412	0.3708180	0.4604177	0.3015304	0.7092497	0.5196298	0.3679150	0.0893516	0.6180026	0.3286348	0.2183716	0.2664914	0.6830648	0.3952175	0.0387664	0.6957527	0.6887500	0.5771619	0.1548960	0.3172313	0.3512627	0.3863931	0.5457304	0.2405421	0.6328631	0.2912664
850	0.2309310	0.4808756	0.3682177	0.5186567	0.5619025	0.3858026	0.0332085	0.0375072	0.5486078	0.5011963	0.3338828	0.7530542	0.6819962	0.6257771	0.0296328	0.1250111	0.0040208	0.6447162	0.3547460	0.7887482	0.6497958	0.6283059	0.1515668	0.0985714	0.6258969	0.5595319	0.1046942	0.7997575	0.1418031	0.1034679	0.2413211	0.5905076	0.0885643	0.3003863	0.3137107	0.4323104	0.0157596	0.1278505	0.6562961	0.3805867	0.5262294	0.5600491	0.3112354	0.7513622	0.6569933	0.3244314	0.0814946	0.6100581	0.2230843	0.2162451	0.1742666	0.6629277	0.3658499	0.0343818	0.6655439	0.6281620	0.4833517	0.0754866	0.2764965	0.3788350	0.3368755	0.5313874	0.2938470	0.7464855	0.3892065
900	0.3463455	0.4806677	0.3081549	0.6859198	0.5276191	0.4317971	0.0193547	0.0478770	0.5413124	0.4471838	0.3084144	0.6547499	0.6971704	0.7577114	0.0385397	0.1029896	0.0012906	0.6891768	0.3045946	0.6697776	0.5706676	0.6782292	0.1818641	0.0741131	0.6715641	0.6391680	0.0948904	0.6917874	0.1019595	0.1171004	0.1588845	0.5706134	0.1166022	0.3927986	0.4036701	0.3695812	0.0013383	0.1670654	0.7249786	0.2559985	0.5660484	0.6002884	0.3745039	0.6650072	0.6619199	0.4108928	0.0323466	0.6535771	0.2253391	0.2780092	0.2098359	0.6795083	0.3320384	0.0641507	0.5908515	0.6641067	0.6021566	0.1200039	0.2704345	0.4478103	0.3641671	0.5266401	0.2157846	0.6992199	0.2877628
950	0.3903028	0.4245816	0.2843355	0.6151866	0.5974124	0.3542742	0.0118726	0.0788015	0.6466532	0.3530989	0.2676807	0.6854148	0.6302217	0.8197850	0.0281336	0.0932988	0.0031015	0.6978854	0.3185631	0.7747598	0.5487294	0.7010212	0.1983143	0.0909928	0.7051883	0.5596271	0.0594091	0.6922209	0.0869499	0.2353591	0.3161722	0.5784789	0.0867121	0.4048231	0.2390483	0.3797510	0.0027781	0.1910448	0.6517953	0.2718462	0.5526398	0.5206337	0.2215429	0.7056112	0.6524963	0.3267876	0.0451529	0.5722321	0.3390121	0.2628738	0.2290313	0.7168352	0.4239480	0.0558500	0.5805122	0.6207202	0.6335448	0.1396230	0.3700297	0.3144936	0.5318454	0.6522530	0.2951383	0.6453098	0.3443049
1000	0.4080864	0.4466487	0.2943147	0.5676211	0.5807718	0.6112726	0.0386080	0.0871894	0.4526386	0.3516538	0.3407717	0.6457397	0.7618018	0.6584719	0.0070744	0.0708223	0.0109491	0.7928583	0.3774339	0.7289923	0.6012011	0.6858065	0.1296355	0.0748923	0.6167437	0.5913315	0.1662184	0.6719664	0.0954864	0.1082245	0.3231042	0.5333721	0.1080631	0.4247823	0.2572466	0.5235377	0.0027030	0.2657384	0.6426104	0.3069339	0.5931205	0.5408614	0.2375561	0.8753528	0.6313946	0.3972141	0.0756566	0.6038140	0.3219318	0.2595310	0.3328905	0.6433521	0.3964678	0.0474201	0.7134786	0.6161511	0.5342838	0.0928807	0.2766739	0.3532470	0.4257388	0.5035193	0.3730620	0.6645523	0.3610178

0	0.2668989	0.4173807	0.3520387	0.4813321	0.5517116	0.5430666	0.0135662	0.0552296	0.4336851	0.4826761	0.2880227	0.6788851	0.5922956	0.8078129	0.0333243	0.0991002	0.0080981	0.6882279	0.4024214	0.7663617	0.5751112	0.7080677	0.1240640	0.0617526	0.6333748	0.6171483	0.1234651	0.6018109	0.0976839	0.1526818	0.1745444	0.6627169	0.1325408	0.4520514	0.3632803	0.4983027	0.0058661	0.1099697	0.7794407	0.3234355	0.4759817	0.5488408	0.2788459	0.7217989	0.5757929	0.3656513	0.0388460	0.7038156	0.3629895	0.2033904	0.2502555	0.6660041	0.4350581	0.0946481	0.6112163	0.7144961	0.6709261	0.1405420	0.3847093	0.3382415	0.4894570	0.5603082	0.3254826	0.6560853	0.3229164
50	0.2864552	0.4838837	0.2916376	0.6677997	0.4787481	0.5877336	0.0042000	0.2261759	0.4800102	0.2473258	0.3671914	0.6265647	0.6543139	0.2717480	0.0240963	0.0962676	0.0089484	0.6501261	0.7070580	0.6368461	0.5802138	0.7495303	0.2094775	0.0861389	0.6517193	0.5729069	0.1552807	0.5677742	0.1625160	0.1773824	0.2269942	0.3477972	0.2905099	0.3469535	0.3261706	0.4892579	0.0101837	0.4409881	0.7241431	0.3998594	0.3616188	0.4366305	0.4838051	0.6103738	0.6618397	0.3947807	0.0991474	0.5493035	0.3072960	0.3005780	0.5496116	0.6195079	0.5772374	0.0855748	0.7453941	0.6980944	0.7329815	0.1067673	0.2519172	0.3443279	0.7245908	0.5561425	0.2290360	0.7246855	0.4440700
100	0.2662270	0.3411518	0.2453089	0.6327210	0.6392703	0.3838921	0.0068550	0.2881422	0.5809856	0.1879580	0.3201782	0.6913081	0.6605816	0.1187277	0.0675227	0.3155549	0.0141013	0.7995443	0.7339476	0.6967977	0.5879542	0.6718947	0.2175531	0.1721387	0.7010878	0.4807225	0.1573042	0.6683050	0.1127647	0.1635137	0.1083207	0.4612746	0.3783417	0.3295385	0.4275734	0.5214002	0.0126058	0.5295360	0.7261637	0.3744783	0.2269522	0.5111273	0.3724335	0.6247993	0.6960842	0.3812602	0.0757710	0.6801588	0.2574822	0.2017699	0.5883347	0.5324344	0.4557741	0.0356405	0.5880358	0.7071870	0.5928335	0.0746189	0.2177474	0.3212627	0.5970757	0.4399779	0.2313051	0.8520225	0.5162848
