"Time"	G1	G2	G10	G20	G4	G17	G16	G9	G11	G18	G94	G56	G3	G5	G19	G13	G12	G14	G15	G50	G41	G51	G53	G52	G42	G55	G21	G22	G54	G40	G49	G44	G35	G39	G45	G48	G95	G61	G47	G98	G43	G8	G72	G67	G57	G79	G60	G82	G88	G80	G84	G81	G83	G89	G85	G77	G78	G91	G90	G75	G86	G59	G58	G99	G92	G69	G93	G87	G68	G34

0	0.3591574	0.0078101	0.4098459	0.1635761	0.6839828	0.6761109	0.6808846	0.0765014	0.4545829	0.3711201	0.6463423	0.4332807	0.0127202	0.3593646	0.3222532	0.4055921	0.7676757	0.6631282	0.3515893	0.3090292	0.3195562	0.2969091	0.2505094	0.3293579	0.5930611	0.0090164	0.1323795	0.5255882	0.0146295	0.4669303	0.5162253	0.6621380	0.7615303	0.2998069	0.4258069	0.4130250	0.6315986	0.6842326	0.2881139	0.7245882	0.0066503	0.3328377	0.9118719	0.6531808	0.5972391	0.7530875	0.2405003	0.0171066	0.0015350	0.0075456	0.6801243	0.3431805	0.5087362	0.4346002	0.2491783	0.0456847	0.6545642	0.4298838	0.6407103	0.4266168	0.6814657	0.3500577	0.0396752	0.7004208	0.0481473	0.3352446	0.3139203	0.6800403	0.2821873	0.7172038
50	0.4712844	0.0000361	0.2774269	0.3181858	0.6084026	0.6211896	0.6455764	0.1236470	0.4170849	0.6256384	0.4362860	0.4428195	0.0024518	0.3579942	0.2405020	0.4648203	0.8352224	0.4453555	0.1509426	0.2351574	0.2647948	0.2853009	0.2555277	0.3090163	0.4940629	0.0186048	0.2316902	0.4821414	0.0129563	0.4579787	0.3397249	0.6101879	0.7126155	0.4104862	0.4163096	0.1453544	0.7050561	0.4639240	0.4798444	0.5979221	0.1634513	0.3602466	0.6749954	0.6461125	0.6770767	0.7134049	0.1467885	0.0097011	0.0106480	0.0058024	0.5396608	0.4596171	0.5646054	0.5736977	0.2323351	0.0125433	0.6140007	0.3822118	0.6515121	0.4854966	0.5878343	0.5225190	0.2221347	0.7299357	0.0438368	0.3693292	0.3132488	0.3454527	0.3743699	0.7932821
100	0.4015942	0.0000000	0.2346670	0.3098694	0.5390956	0.5916069	0.4518789	0.1983792	0.3128455	0.6310248	0.3669549	0.4438493	0.0001720	0.3403657	0.2230274	0.4763466	0.7710473	0.4506761	0.1234585	0.2460859	0.2579549	0.3309864	0.2881497	0.4451338	0.6551579	0.0063924	0.3465585	0.4836763	0.0282999	0.6701944	0.3132151	0.7303842	0.6714933	0.5395765	0.2738029	0.0822349	0.6548497	0.4161892	0.6718551	0.6019964	0.2042948	0.3322361	0.6658857	0.6811906	0.7362655	0.8236135	0.2074711	0.0071662	0.0078024	0.0000071	0.5981952	0.6169827	0.4716806	0.7537501	0.1591351	0.0376903	0.5123327	0.3785507	0.6572771	0.2613750	0.6162374	0.5845484	0.2506043	0.6502067	0.0379314	0.3697171	0.3223502	0.3195195	0.5002091	0.7845127
150	0.3876229	0.0000000	0.2685416	0.3279607	0.6460709	0.5388033	0.5140818	0.0742403	0.4988805	0.5928628	0.3623186	0.4214152	0.0000113	0.4202018	0.1971903	0.4541832	0.5962351	0.3367070	0.0981028	0.1929585	0.3252656	0.3437793	0.3418916	0.4224012	0.6428096	0.0245983	0.2769201	0.5784464	0.0239347	0.5418395	0.2735437	0.6758935	0.7988478	0.5337550	0.2349555	0.0441016	0.6311418	0.4906751	0.5915552	0.6014427	0.2005178	0.4084460	0.6747850	0.7138405	0.5860687	0.9356051	0.1919446	0.0207733	0.0058651	0.0000154	0.4661779	0.6463642	0.4882432	0.5562657	0.3054324	0.0227536	0.5378351	0.3143390	0.7645427	0.4360809	0.5708247	0.6543750	0.1610058	0.7468802	0.0508058	0.3275679	0.1996878	0.1990238	0.5826237	0.7563888
200	0.4889673	0.0000000	0.2350870	0.4787055	0.7133005	0.6444655	0.5297534	0.1193632	0.3688429	0.6813054	0.4080558	0.5020792	0.0005927	0.3436313	0.2181171	0.3770709	0.6400831	0.3914384	0.1222439	0.1735786	0.4017376	0.3740598	0.3272554	0.4606721	0.6351812	0.0345430	0.3124750	0.6670124	0.0008840	0.6571105	0.3701468	0.6749977	0.5674520	0.4873272	0.2767274	0.0585538	0.6473103	0.5506176	0.7500162	0.7334338	0.2105348	0.3238906	0.6490021	0.7113962	0.7498753	0.6402405	0.2408548	0.0048024	0.0053443	0.0000506	0.3031391	0.6082321	0.5852172	0.8111355	0.2531174	0.0333110	0.7418517	0.3316084	0.7579478	0.3197786	0.7777011	0.6727413	0.3124636	0.7948089	0.0161610	0.3400124	0.1892555	0.1663676	0.6291752	0.6287420
250	0.4878501	0.0000000	0.1890986	0.3599040	0.7060287	0.5328618	0.4689719	0.0863633	0.3712750	0.7069163	0.3514298	0.3983967	0.0011957	0.3425575	0.2115049	0.3277296	0.7504104	0.4315244	0.0906494	0.3141050	0.2686786	0.3107732	0.3852952	0.3764789	0.5926395	0.0449441	0.2590306	0.5985543	0.0073621	0.7151230	0.2186846	0.6947388	0.6701867	0.4408311	0.2981079	0.0413700	0.7275069	0.5269209	0.7488935	0.5746808	0.3064672	0.2721440	0.7109155	0.6220695	0.5617429	0.6968030	0.2204841	0.0080893	0.0097905	0.0003162	0.3026897	0.5414890	0.4649174	0.7890943	0.2449823	0.0459049	0.7140298	0.4052682	0.6194897	0.4662724	0.7359519	0.6392622	0.2623361	0.8782500	0.0105132	0.2450428	0.3582079	0.1501183	0.7075490	0.6252325
300	0.3667597	0.0001496	0.2656742	0.4218981	0.8214725	0.6053324	0.4884151	0.0918047	0.3381608	0.6140141	0.3490638	0.3980908	0.0012354	0.4246648	0.3185628	0.3531997	0.6320081	0.3950972	0.0591434	0.2326950	0.4160396	0.2294612	0.3265745	0.3430437	0.6500918	0.0351659	0.2621383	0.5939802	0.0007917	0.5444837	0.3522430	0.7620744	0.8594697	0.5245212	0.2603801	0.0601467	0.6197043	0.4730046	0.5915068	0.5589332	0.2613249	0.3125752	0.7090070	0.8350037	0.5830372	0.7574842	0.2039029	0.0020028	0.0112219	0.0006755	0.1902536	0.4929986	0.4526069	0.7587712	0.2432825	0.0364584	0.5593739	0.4218976	0.5932549	0.3989079	0.7458457	0.6238521	0.2280163	0.7986238	0.0283303	0.2723480	0.2464026	0.2195384	0.8392451	0.6496223
350	0.5226701	0.0007745	0.2360563	0.4537072	0.7722057	0.5747691	0.5388206	0.0881722	0.4296719	0.5130512	0.2938039	0.4265780	0.0003778	0.3200013	0.2649859	0.3986784	0.8235578	0.4894393	0.0806283	0.2982344	0.4464194	0.2150984	0.3263041	0.2984240	0.6907480	0.0295236	0.1330926	0.5963024	0.0041533	0.5546749	0.3705637	0.7326199	0.6940287	0.4861203	0.2739357	0.0422895	0.6297915	0.5179915	0.6684980	0.6432661	0.2060223	0.2955948	0.7710262	0.7456495	0.9179214	0.6580479	0.2697939	0.0012970	0.0172693	0.0002747	0.1437786	0.5813321	0.4110391	0.7042237	0.2442061	0.0492769	0.6531731	0.3683116	0.6751108	0.2702828	0.7573994	0.6291709	0.1929451	0.6981252	0.0109511	0.3543609	0.2635482	0.2281117	0.7481371	0.7913855
400	0.3654502	0.0000534	0.3436619	0.3228773	0.7176680	0.5992987	0.5040828	0.1197300	0.5043567	0.7027591	0.2498640	0.4163563	0.0090002	0.3589424	0.2448386	0.3749418	0.7513934	0.4632644	0.1067953	0.3126257	0.3361957	0.2864336	0.3176304	0.2232743	0.5877452	0.0327794	0.1383190	0.5580900	0.0048515	0.5627444	0.2908594	0.8821123	0.6370153	0.5524159	0.2737125	0.0380978	0.6437512	0.6326706	0.6261136	0.6876570	0.2326327	0.3062287	0.7271201	0.7001391	0.6340269	0.7891821	0.2234105	0.0038350	0.0367735	0.0000000	0.3189022	0.5863065	0.4847420	0.7642140	0.1842592	0.0526531	0.7059498	0.4158263	0.7418442	0.3132487	0.6936564	0.6741906	0.2160534	0.7837713	0.0101933	0.3752748	0.3269095	0.2280424	0.7079756	0.7822642
