"Time"	G1	G2	G20	G10	G4	G17	G16	G9	G18	G94	G11	G98	G7	G6	G46	G100	G36	G37	G38	G34	G3	G56	G35	G5	G19	G14	G13	G12	G15	G39	G41	G50	G51	G53	G52	G55	G21	G22	G42	G44	G49	G40	G45	G54	G47	G72	G67	G57	G43	G48	G61	G8	G95	G60	G58	G99	G59	G79	G81	G83	G82	G84	G89	G80	G88	G90	G91	G86	G85	G78	G77	G75	G93	G92	G69

0	0.4170921	0.1425202	0.7281453	0.1179008	0.4476961	0.3761851	0.2536255	0.5143046	0.2312771	0.7426136	0.1818658	0.8054273	0.0079076	0.3644852	0.0069047	0.6853528	0.0007412	0.0119758	0.6068210	0.6216656	0.0540701	0.5698315	0.3362239	0.4238294	0.3950363	0.1571057	0.6724928	0.1686343	0.2456983	0.5274238	0.6278964	0.1355648	0.1536039	0.4889265	0.2263065	0.4263536	0.5035067	0.5619513	0.3362259	0.4727918	0.7421589	0.3225625	0.4066058	0.0795782	0.6101181	0.6311181	0.3552847	0.5345720	0.0240994	0.6980523	0.6949451	0.0107718	0.5116235	0.0250272	0.7232517	0.6711353	0.7061815	0.5995507	0.4801489	0.0816295	0.0221364	0.0323710	0.0154080	0.0147348	0.0676100	0.7074716	0.2621922	0.7320977	0.1457534	0.0599484	0.4256103	0.3010063	0.0729268	0.3314164	0.2790307
50	0.4354350	0.1601292	0.5908624	0.1079872	0.5006046	0.3523417	0.3276082	0.4750426	0.4133342	0.5073990	0.2154215	0.7662684	0.0052622	0.4231821	0.2207607	0.6141162	0.2952661	0.0144462	0.7709832	0.6482924	0.0627166	0.7354686	0.3509777	0.1880713	0.4813879	0.1969377	0.6105453	0.1752452	0.2798895	0.4128028	0.6746950	0.1528368	0.0241943	0.4175838	0.2392017	0.4087955	0.3454313	0.4156057	0.4307342	0.2127618	0.7875778	0.2669876	0.4352779	0.1364175	0.6659318	0.7638904	0.4452531	0.5292052	0.0117390	0.3271099	0.5709482	0.4263522	0.4571741	0.0381450	0.5882501	0.5120937	0.6771022	0.4970695	0.5273166	0.1003533	0.0097393	0.0599361	0.1033153	0.0048892	0.0560673	0.6681829	0.1587771	0.7796222	0.1333850	0.0396639	0.4375098	0.3284863	0.0527254	0.3891426	0.6307457
100	0.4831543	0.1230410	0.6592854	0.1166243	0.4519920	0.2894765	0.2717716	0.3859082	0.4748054	0.4543411	0.2798783	0.7647918	0.0049156	0.4990380	0.3174221	0.4229272	0.2950657	0.0358402	0.6955998	0.7996041	0.1600549	0.7092536	0.2241697	0.1864825	0.5538629	0.2436808	0.6826683	0.2415989	0.3976306	0.2915625	0.4040230	0.3641406	0.0189562	0.3446093	0.2956158	0.1765322	0.3239238	0.3246907	0.3916079	0.1973136	0.6272527	0.2923932	0.4142606	0.0663754	0.6148277	0.7626072	0.5401248	0.5190672	0.0187370	0.2920947	0.6833171	0.4874752	0.5084195	0.0497463	0.6686919	0.5062197	0.6365381	0.2695504	0.1829635	0.0710787	0.0256221	0.0419445	0.1081329	0.0100731	0.0141576	0.6526626	0.1711059	0.6909597	0.1390924	0.0330310	0.3472557	0.3291065	0.0752016	0.3408717	0.5743707
150	0.4659968	0.1575976	0.6642885	0.0654001	0.4747979	0.1820358	0.2352650	0.2965962	0.5888215	0.3114257	0.1825341	0.6705678	0.0264446	0.4978899	0.3684657	0.5678727	0.3999833	0.0410447	0.6402454	0.6713399	0.1869816	0.6472382	0.1803431	0.1566209	0.6241777	0.2172525	0.6852646	0.3031785	0.5699718	0.2241391	0.2101717	0.5346362	0.0093421	0.3191708	0.3709268	0.1677944	0.1105347	0.2175534	0.4351769	0.1269985	0.6029935	0.3028256	0.3396905	0.1227157	0.5269368	0.7112363	0.3846849	0.5795981	0.0186529	0.2057295	0.4752699	0.6416154	0.5024782	0.0307421	0.4390277	0.5003790	0.7192960	0.3060583	0.1536080	0.0740625	0.0599257	0.0261706	0.1429954	0.0087562	0.0257465	0.5362299	0.1802750	0.6534826	0.1316973	0.0417743	0.4526949	0.3191303	0.0474077	0.3316047	0.6063320
200	0.3454536	0.1025415	0.6272403	0.0755309	0.4216300	0.2503628	0.2966186	0.3674283	0.5611194	0.3689306	0.2211134	0.6795023	0.0103925	0.4962655	0.4065511	0.6885728	0.5461192	0.0887950	0.6633309	0.7191775	0.3093433	0.6029697	0.2051651	0.1518161	0.6310222	0.2157619	0.7175720	0.3603875	0.4845937	0.2428106	0.1828047	0.4528721	0.0081493	0.2807402	0.3297403	0.1163366	0.0808307	0.1229105	0.3058791	0.0532395	0.7318870	0.2917336	0.2866297	0.0684146	0.4670406	0.8061614	0.5600430	0.5110177	0.0278237	0.2486281	0.4986885	0.6388447	0.3895496	0.0320309	0.2504401	0.3935319	0.6284815	0.3043273	0.1129629	0.1022535	0.0280976	0.0359050	0.1858621	0.0102025	0.0477143	0.6810410	0.0971798	0.8213495	0.1698509	0.0303079	0.4769274	0.3718650	0.0247394	0.3401181	0.6183749
250	0.4459531	0.1339772	0.6315192	0.1213568	0.3422810	0.2409329	0.2169486	0.3403127	0.4746616	0.3372328	0.2716936	0.6710624	0.0155223	0.5108842	0.5161567	0.6281994	0.6736563	0.1034185	0.6386651	0.7017406	0.2463691	0.6664709	0.1712057	0.1113137	0.6447208	0.2433543	0.7156781	0.4583818	0.5955060	0.1026115	0.1490987	0.4934724	0.0017645	0.2095217	0.2481972	0.0470374	0.1042406	0.0673482	0.2781161	0.0182237	0.7212768	0.2479561	0.3614055	0.1634054	0.3765086	0.6518291	0.5993029	0.5187025	0.0164968	0.1310086	0.4678210	0.6607186	0.5086555	0.0106294	0.1436587	0.3959867	0.7021703	0.2291555	0.0895805	0.0860516	0.0611570	0.0392050	0.1376281	0.0332756	0.0699052	0.5989283	0.1024102	0.6404336	0.1491811	0.0465109	0.5313920	0.4249254	0.0630112	0.4589964	0.6099284
300	0.3625917	0.1653276	0.6319360	0.1242985	0.3865646	0.2138948	0.2594852	0.2807572	0.4978382	0.4051675	0.3150626	0.6213117	0.0389198	0.6164474	0.3730455	0.4588302	0.4978939	0.1982734	0.6856487	0.7289911	0.3536297	0.5957748	0.1581968	0.1281994	0.6287486	0.2212134	0.7893119	0.4412200	0.6893194	0.1835129	0.1082352	0.4952167	0.0022252	0.1464704	0.2573250	0.0429410	0.0863963	0.0270563	0.1963576	0.0434085	0.7037701	0.3470924	0.4710455	0.1215608	0.3171409	0.6174724	0.7000291	0.4794136	0.0233666	0.1664127	0.4516992	0.7041652	0.3794643	0.0210574	0.1219303	0.4558679	0.6526514	0.2539214	0.0422396	0.1053125	0.0426900	0.0517195	0.2275724	0.0472067	0.0519773	0.6144935	0.1416604	0.6667346	0.1999841	0.0253367	0.4912694	0.4481298	0.0448911	0.4053308	0.6354139
350	0.3936407	0.0780965	0.6035328	0.1026822	0.3736108	0.2004060	0.2914502	0.3368967	0.5204220	0.3136693	0.3113347	0.7228162	0.0450711	0.6095211	0.4833865	0.4390806	0.5220012	0.3561120	0.5439973	0.7550283	0.5136560	0.6468169	0.1322016	0.1248673	0.6262786	0.2412661	0.6943211	0.3413444	0.5286198	0.1612391	0.1525987	0.4708131	0.0016045	0.1686561	0.2220871	0.0614569	0.0631028	0.0104087	0.1698067	0.0335631	0.5206443	0.2974788	0.3667008	0.1179180	0.2860393	0.5790569	0.5369161	0.5601597	0.0281779	0.1704455	0.4249900	0.7506719	0.4702342	0.0234962	0.1474158	0.4438874	0.5998554	0.2020931	0.0980099	0.0934262	0.0415808	0.0459344	0.4625417	0.0321048	0.0385220	0.7818029	0.0826885	0.5416018	0.1642002	0.0282980	0.4652153	0.4343280	0.0535127	0.4013597	0.6597781
400	0.3477242	0.1266685	0.6965403	0.1313503	0.4096035	0.1205004	0.2718375	0.3032565	0.4543652	0.4151830	0.3260002	0.7801537	0.0376509	0.3847023	0.4918224	0.5631806	0.6660418	0.2515059	0.7076796	0.6356348	0.4260815	0.6431686	0.1648182	0.1502521	0.7372622	0.2898541	0.5763426	0.3059273	0.7318385	0.1558913	0.1674611	0.5213046	0.0012924	0.2324787	0.2432440	0.0682429	0.0639617	0.0154588	0.2658907	0.0487491	0.6888158	0.3147427	0.3518148	0.1086790	0.3700476	0.7670449	0.5995727	0.5295898	0.0277087	0.1303790	0.3921702	0.7541762	0.3261556	0.0132204	0.2254039	0.4745346	0.5208764	0.2464709	0.1370184	0.0701857	0.0490963	0.0601746	0.4214348	0.0246048	0.0757323	0.7389038	0.1079303	0.6697402	0.1606934	0.0465608	0.3882477	0.3777235	0.0417692	0.3562604	0.7793012
