"Time"	G1	G10	G2	G20	G17	G16	G4	G8	G18	G94	G9	G95	G11	G56	G3	G98	G7	G46	G6	G36	G37	G100	G38	G34	G35	G5	G19	G14	G13	G12	G41	G44	G49	G39	G22	G21	G50	G15	G51	G53	G52	G55	G42	G54	G45	G40	G47	G48	G72	G67	G61	G43	G57	G60	G59	G99	G58	G80	G81	G83	G88	G82	G89	G79	G84	G75	G86	G78	G77	G85	G90	G91	G93	G69	G92	G87	G68	G27	G96	G97

0	0.5639361	0.0288395	0.2719981	0.4386283	0.0139288	0.4918298	0.0513876	0.2085198	0.0445510	0.6255264	0.3952316	0.5130608	0.2158803	0.9148641	0.7290206	0.7135322	0.5890702	0.4699304	0.3704352	0.7336829	0.1014424	0.6637823	0.6171599	0.7156958	0.2555122	0.1173480	0.3351207	0.3878512	0.7691209	0.6300635	0.3822521	0.0033421	0.2771451	0.0422095	0.1476344	0.2576607	0.7942026	0.7271668	0.2549488	0.4925716	0.0305891	0.5773279	0.0039112	0.5004591	0.5018664	0.3186050	0.3096084	0.1726239	0.8178329	0.3518427	0.3397416	0.5116522	0.5902839	0.6947777	0.3099363	0.8761323	0.3515252	0.6014147	0.5790406	0.3702833	0.0384539	0.6819644	0.0574700	0.2173565	0.5632429	0.0225684	0.1841130	0.1471475	0.6637878	0.5873529	0.5568052	0.5410280	0.5762762	0.5316423	0.0573239	0.3538537	0.3983689	0.2233868	0.7775201	0.6155706
50	0.6717083	0.0130695	0.3951368	0.3602640	0.0098978	0.5183911	0.0756566	0.3739607	0.0311113	0.6766910	0.3343853	0.5618420	0.0901571	0.7092522	0.6735611	0.7830430	0.5683171	0.1378211	0.2156494	0.6410591	0.2249473	0.5982425	0.5025268	0.7391218	0.2401855	0.1547421	0.4085625	0.5055423	0.6932698	0.6879950	0.4985837	0.0167911	0.3760328	0.2315402	0.2862471	0.0825313	0.7135023	0.5547892	0.2952648	0.5021632	0.0831247	0.5667972	0.0188102	0.5431812	0.4701372	0.3952946	0.3742872	0.1601711	0.7205009	0.3773820	0.5148211	0.4522975	0.5602098	0.5459557	0.2070761	0.6870744	0.5176294	0.6467511	0.6889701	0.4846761	0.2350545	0.7645897	0.0422556	0.1591838	0.6118110	0.0151522	0.1746380	0.1145385	0.6148634	0.2838068	0.4514173	0.6659991	0.5085472	0.5445053	0.4527035	0.2424134	0.5659794	0.1089447	0.6631409	0.6071019
100	0.5898842	0.0028156	0.3234658	0.3666622	0.0044367	0.3347748	0.0585739	0.2669668	0.0343121	0.7345721	0.3680780	0.4059403	0.1264883	0.7098455	0.6283334	0.7195941	0.6651439	0.0603921	0.1362330	0.9797763	0.2952058	0.6860531	0.6010658	0.8020050	0.1337006	0.1466097	0.3927881	0.6438137	0.7596040	0.5987368	0.4796282	0.0131647	0.3089331	0.2189306	0.2227915	0.1750170	0.7535448	0.4484622	0.2621970	0.4777655	0.0730788	0.6317461	0.0022106	0.5704891	0.5238635	0.3788239	0.4161487	0.2623974	0.7474235	0.4725616	0.4105289	0.4428872	0.5943394	0.6759458	0.2524561	0.7956957	0.5547407	0.5732302	0.5179048	0.3434904	0.2897925	0.7226651	0.0440375	0.2021747	0.5728191	0.0202240	0.1420815	0.1698486	0.6340634	0.1818106	0.4392273	0.6495243	0.4443406	0.4915146	0.5352295	0.1255494	0.5712111	0.0736283	0.8463910	0.6856357
150	0.7246453	0.0075348	0.3244800	0.3649829	0.0071050	0.5001069	0.0915714	0.3185615	0.0441127	0.7767498	0.4274446	0.4387954	0.1078266	0.5717772	0.7445864	0.8114581	0.7124656	0.0502659	0.1916521	0.7340361	0.3144313	0.7499838	0.5656049	0.8040324	0.1635492	0.1507575	0.3490690	0.5419872	0.7103621	0.6706233	0.4626565	0.0120986	0.2476430	0.2348593	0.3089573	0.1525314	0.7093458	0.4768631	0.2658853	0.6091395	0.0810245	0.4894747	0.0081793	0.4914836	0.5120781	0.3509348	0.3870322	0.1774451	0.7077965	0.4494454	0.5033298	0.3379552	0.5295028	0.6745678	0.3315872	0.9024041	0.6361700	0.5579074	0.5618852	0.3851311	0.3304192	0.8598292	0.0358164	0.1789759	0.4662421	0.0301988	0.1729781	0.1413352	0.6350395	0.1748630	0.4895466	0.6084544	0.5523100	0.5356201	0.4306487	0.1262281	0.6981512	0.0851601	0.7292650	0.6274070
200	0.7966194	0.0018076	0.2365345	0.3720744	0.0240278	0.3478613	0.0887667	0.3018442	0.0383020	0.7372528	0.4109621	0.4091380	0.1332511	0.6307007	0.6521950	0.6993530	0.6872454	0.0700258	0.1895940	0.6459744	0.2971585	0.7235784	0.6349972	0.5937814	0.1622728	0.1167218	0.4825137	0.6115244	0.6212736	0.7127251	0.4812085	0.0088173	0.3577614	0.3337133	0.2548390	0.1503565	0.6657617	0.4573086	0.3513990	0.4629632	0.0404439	0.5416011	0.0226784	0.5439148	0.4142642	0.3777244	0.4293978	0.1934334	0.7910734	0.3726900	0.4551557	0.3413495	0.5594259	0.6043590	0.2866997	0.6668347	0.5477607	0.5048945	0.6683753	0.4139548	0.3448783	0.9713154	0.0779653	0.2251217	0.5331426	0.0319681	0.1522210	0.1652858	0.6488759	0.1815706	0.3978347	0.4908186	0.5678130	0.4956074	0.5137416	0.1265068	0.7607649	0.0570725	0.7738870	0.5159864
250	0.8038717	0.0007829	0.1946213	0.4236759	0.0028919	0.2423676	0.1268781	0.2399152	0.0455391	0.7396293	0.3906073	0.5807303	0.2140531	0.8337504	0.6527833	0.6500447	0.7840376	0.1172121	0.1420199	0.6249400	0.3732364	0.5146938	0.7403274	0.6695869	0.1204279	0.1001846	0.4345056	0.5839996	0.6402199	0.6995852	0.3912454	0.0072261	0.3992136	0.2344700	0.0837414	0.1734420	0.7312975	0.4970389	0.3240823	0.4997448	0.0229550	0.5023632	0.0114392	0.4628770	0.4405401	0.3798951	0.4196559	0.1441888	0.8375683	0.4411106	0.4508463	0.7841688	0.4115546	0.6267383	0.2938994	0.7313541	0.5951228	0.5542111	0.4614428	0.3555622	0.3032872	0.6946719	0.0538796	0.2734048	0.5456559	0.0269769	0.1813392	0.1538656	0.7651667	0.1873010	0.5905779	0.6356078	0.6126991	0.4481632	0.4921936	0.1726689	0.6834089	0.0437598	0.7109658	0.6041888
300	0.8316648	0.0002337	0.1696174	0.4745521	0.0179229	0.3087679	0.0463787	0.2010880	0.0490428	0.6592149	0.3901458	0.4766443	0.1923001	0.8448046	0.6220674	0.6269527	0.7340410	0.1322715	0.1308455	0.6069036	0.3428287	0.6861823	0.5989032	0.7410503	0.1173888	0.0679723	0.4697092	0.5943712	0.7815136	0.6110394	0.4197584	0.0025926	0.2982043	0.2418520	0.1898168	0.1826501	0.8392025	0.6365506	0.2924499	0.4953716	0.0360745	0.6974294	0.0085027	0.5462479	0.5299916	0.4133933	0.4520895	0.1590981	0.7120084	0.5288405	0.3701068	0.4668263	0.4530413	0.7089343	0.2804133	0.7044191	0.6573899	0.6561521	0.4572514	0.3783070	0.1974339	0.5893035	0.0392735	0.2686230	0.5456926	0.0541020	0.1805750	0.1161467	0.5157468	0.1661552	0.3774820	0.6245628	0.5233981	0.5905888	0.5642798	0.1006662	0.7339229	0.0486618	0.6821580	0.7195520
350	0.7869558	0.0106842	0.1296884	0.4028919	0.0196905	0.3743524	0.0134213	0.3088205	0.0297816	0.8078067	0.3612416	0.5486227	0.2784070	0.9150400	0.6530916	0.8541181	0.6448470	0.0930706	0.1405323	0.7578883	0.3248508	0.7729101	0.6858057	0.7083666	0.1705660	0.1043082	0.4119452	0.5387024	0.6945674	0.6697050	0.4267067	0.0046184	0.2968202	0.2017799	0.0881549	0.1601824	0.6484713	0.4741162	0.2519217	0.6013901	0.0410865	0.4906622	0.0081975	0.4297497	0.3843179	0.2420579	0.4421588	0.1527656	0.8152228	0.4410526	0.4055480	0.5348441	0.5037532	0.5896385	0.3635698	0.7106904	0.6290275	0.4897290	0.4639494	0.3281092	0.2431932	0.7078382	0.0565928	0.2814514	0.5576617	0.0204733	0.2272237	0.1501756	0.6049005	0.2302105	0.4527949	0.6789436	0.4973417	0.5111054	0.4178343	0.1443804	0.8318706	0.0411370	0.7903725	0.6678570
400	0.6956518	0.0000000	0.2176642	0.4635423	0.0050774	0.2667539	0.0314399	0.2859432	0.0668594	0.6500393	0.4671404	0.5129221	0.3108376	0.6873698	0.5273261	0.7132573	0.7089069	0.0510446	0.1916697	0.7718480	0.2582891	0.8007770	0.5837133	0.7338217	0.1651298	0.1185844	0.4583940	0.5144478	0.7200022	0.6246185	0.4607157	0.0252214	0.2604836	0.2824341	0.1504131	0.2373451	0.7011393	0.4733069	0.2211226	0.4124523	0.0633612	0.5320458	0.0162213	0.5085584	0.3944626	0.2528355	0.4664076	0.1560772	0.7302788	0.3520699	0.4559981	0.4563069	0.6032855	0.6996108	0.2892802	0.8318879	0.6150014	0.4336800	0.4997073	0.4271071	0.3109269	0.8222392	0.0297846	0.2307768	0.5067889	0.0287680	0.2049786	0.1135071	0.5724334	0.1448625	0.4823593	0.6220030	0.6198425	0.5411790	0.4382923	0.1258907	0.7126324	0.0320640	0.6895887	0.5940030
