"Time"	G1	G10	G20	G2	G17	G16	G4	G9	G8	G18	G94	G11	G95	G98	G7	G46	G6	G100	G36	G37	G38	G34	G3	G56	G35	G5	G19	G15	G14	G12	G49	G39	G41	G44	G22	G21	G50	G13	G52	G53	G51	G55	G42	G40	G45	G54	G61	G47	G43	G48	G57	G72	G67	G60	G59	G99	G58	G80	G84	G83	G89	G82	G81	G79	G88	G78	G77	G85	G75	G90	G91	G86	G69	G93	G92	G87	G68	G96	G97	G63	G27	G26	G25	G23	G24

0	0.7828270	0.1509661	0.5920390	0.3313618	0.2811395	0.3115188	0.2971131	0.0351068	0.0052635	0.4935317	0.6914584	0.0903022	0.3979731	0.7422735	0.1044152	0.5078425	0.3728588	0.6997626	0.5413386	0.6516339	0.6660952	0.6061934	0.3871131	0.6197278	0.0182022	0.1092932	0.5163355	0.1666514	0.8016666	0.7353661	0.2378768	0.1108157	0.1255116	0.4688539	0.0649871	0.2575336	0.7596309	0.1458002	0.3588116	0.2974221	0.6829484	0.1262612	0.3384701	0.0823492	0.0153593	0.3969687	0.0342900	0.4345783	0.3351102	0.6484193	0.3805355	0.6650952	0.8659416	0.0865580	0.7972148	0.5736590	0.3775133	0.7913263	0.0507989	0.4786481	0.5771841	0.0110670	0.4037299	0.0043856	0.5597900	0.0042200	0.5582775	0.4120493	0.3871760	0.6837907	0.2087143	0.1721554	0.0191299	0.4299563	0.4075411	0.4734037	0.6065642	0.7465231	0.4908583	0.6806606	0.0601859	0.2677856	0.0296979	0.7167714	0.6784546
50	0.6836825	0.1719962	0.5649221	0.3922506	0.1271382	0.2737994	0.5058548	0.0390539	0.0005682	0.6317837	0.6239803	0.0974313	0.4769721	0.0685474	0.0328613	0.2325669	0.3602251	0.6828380	0.4313857	0.5922439	0.6950678	0.5804583	0.3664200	0.6264261	0.4009080	0.1373060	0.4198785	0.1845071	0.7416291	0.6976823	0.2057433	0.1346880	0.2168223	0.6876346	0.1136549	0.3103310	0.4710049	0.0381183	0.5498945	0.2147461	0.6539666	0.1869919	0.4381080	0.1052280	0.4445501	0.4357733	0.0207933	0.4999769	0.3515440	0.4582651	0.6438206	0.5644776	0.7290550	0.0548892	0.6938793	0.7164943	0.4022632	0.6092989	0.0480291	0.5390436	0.4056691	0.0986198	0.4510842	0.0002586	0.5677563	0.0069559	0.4599364	0.4080480	0.1043955	0.5769453	0.2231497	0.3954488	0.0153450	0.3954032	0.5719998	0.5236619	0.6489137	0.7596175	0.5883568	0.6577373	0.0357317	0.2741615	0.0183824	0.7154574	0.7323911
100	0.6208062	0.1280020	0.5943572	0.2944700	0.2496748	0.2437342	0.5641553	0.0111905	0.0030630	0.5215312	0.5537664	0.0589787	0.3862550	0.0339713	0.0518663	0.0664926	0.4510652	0.6353597	0.4254190	0.6388054	0.7940990	0.4505154	0.3452082	0.6938305	0.3963655	0.1288385	0.4835849	0.1455184	0.6206659	0.6952864	0.2389930	0.1282371	0.2426296	0.7648134	0.0891195	0.3899162	0.2988228	0.0051416	0.4359011	0.2342639	0.6038064	0.2064437	0.5230954	0.0608174	0.6530497	0.4049961	0.0304650	0.4159941	0.3150302	0.4446421	0.6514205	0.5174686	0.6685179	0.0755691	0.6416076	0.7317627	0.4924785	0.7219756	0.0414428	0.5264395	0.3164646	0.1753040	0.2882648	0.0002221	0.6717337	0.0176907	0.4579698	0.5149495	0.0190229	0.7073140	0.2136384	0.5556634	0.0120090	0.4956491	0.6000312	0.6305855	0.6688815	0.7811442	0.6961410	0.6444017	0.0540015	0.3585866	0.0297566	0.7531801	0.7193781
150	0.6966916	0.1777107	0.5067165	0.3485150	0.2814280	0.2420094	0.7050714	0.0377292	0.0007792	0.6536775	0.6937621	0.0791082	0.4100939	0.0284295	0.0694604	0.0331678	0.4986587	0.8715661	0.3976230	0.7913386	0.7144313	0.4186761	0.4496616	0.6109913	0.5291341	0.1623519	0.4881313	0.1095836	0.7371939	0.6780775	0.2182930	0.1301740	0.2617626	0.6238970	0.1319624	0.4444673	0.3835455	0.0006801	0.4289605	0.2948156	0.6512351	0.2974423	0.5551247	0.0451746	0.6346089	0.3119772	0.0271998	0.4269994	0.3491018	0.3347410	0.6774006	0.4809853	0.8459247	0.0713096	0.6769038	0.6838680	0.4777610	0.7559565	0.0469183	0.5059972	0.2126691	0.1575718	0.1864408	0.0026706	0.6300965	0.0187616	0.4758317	0.4896757	0.0079681	0.6333225	0.2344835	0.6245314	0.0367561	0.3154431	0.6093285	0.5469335	0.4913475	0.7137129	0.6484875	0.6391635	0.0498467	0.2847129	0.0176468	0.7881014	0.7029898
200	0.7343921	0.1913133	0.5299775	0.3853782	0.2502526	0.2330805	0.5739180	0.0124376	0.0003573	0.5664808	0.6427503	0.1001900	0.4842777	0.0186477	0.0569644	0.0244766	0.5199407	0.6435864	0.2884811	0.6354911	0.5709893	0.4664104	0.3978928	0.5821720	0.4244531	0.1747927	0.5120692	0.1584544	0.7542110	0.6048066	0.3777503	0.1123485	0.3850724	0.6832561	0.1314168	0.3963605	0.3446129	0.0026709	0.4488612	0.3926222	0.7055119	0.2147844	0.5937917	0.0834801	0.6691981	0.4424792	0.0089733	0.5553622	0.2541247	0.3575744	0.7352630	0.5246173	0.7450654	0.0670542	0.6755949	0.6609904	0.3346459	0.7947353	0.0411220	0.6343023	0.3899808	0.1086574	0.3222838	0.0007547	0.5338091	0.0030362	0.5005382	0.4711880	0.0106207	0.7692313	0.2797512	0.6090718	0.0365355	0.3872049	0.6670548	0.4789536	0.5621628	0.7630436	0.6808753	0.6792195	0.0811758	0.3694121	0.0251106	0.6401371	0.5511155
250	0.6828423	0.1388084	0.7297132	0.3544614	0.1840634	0.2571714	0.5854927	0.0356107	0.0050561	0.6177022	0.6694107	0.0583734	0.4803264	0.0207634	0.0797928	0.0345724	0.4024624	0.7261840	0.2473615	0.7288309	0.6416098	0.4664094	0.3696645	0.7118892	0.4910734	0.1831377	0.4655687	0.1113392	0.7197154	0.6562406	0.3133137	0.2059281	0.3043926	0.7455324	0.1144770	0.3438685	0.2996287	0.0033751	0.4968200	0.2479756	0.7670125	0.3659310	0.5749733	0.0609107	0.6407746	0.3765271	0.0183552	0.4196178	0.3675209	0.4907785	0.8604540	0.4484147	0.7696946	0.0540435	0.6438817	0.6184282	0.4230892	0.6345191	0.0269878	0.4429226	0.3175604	0.1601933	0.3856505	0.0012746	0.5979405	0.0017329	0.5778807	0.4706707	0.0081032	0.6900149	0.2780621	0.5972407	0.0046546	0.3986478	0.6381574	0.4983163	0.5741117	0.6112295	0.6860847	0.7348111	0.0767497	0.3158185	0.0161203	0.6656495	0.6381770
300	0.7008414	0.1744800	0.6569753	0.2348723	0.1844549	0.2775526	0.6364709	0.0287643	0.0000704	0.6562559	0.6376126	0.0589523	0.4145063	0.0395182	0.2312148	0.0485184	0.4684140	0.7165318	0.1908493	0.6355883	0.6302692	0.4405307	0.3917182	0.7592737	0.6563625	0.1363035	0.4844237	0.1092135	0.6587563	0.5635188	0.3168722	0.2115134	0.3298866	0.8548097	0.0977521	0.4421817	0.3669184	0.0030644	0.5791651	0.2737608	0.6766780	0.2952346	0.7608917	0.0658901	0.6719711	0.4026393	0.0229748	0.4325677	0.2823250	0.3962825	0.6238310	0.4270283	0.7006459	0.0763058	0.6734175	0.7508849	0.4647014	0.7012298	0.0784766	0.4988973	0.3452875	0.0954209	0.3116646	0.0011463	0.6183048	0.0074860	0.5115245	0.4007259	0.0163160	0.7453763	0.2734606	0.4963576	0.0092688	0.4036528	0.7030868	0.5461998	0.5456810	0.6912126	0.6122136	0.5915565	0.0764551	0.4214348	0.0055988	0.6267786	0.7454275
350	0.8175966	0.1596508	0.5812384	0.3348482	0.2128594	0.4063139	0.5790816	0.0509473	0.0047738	0.5868736	0.7100501	0.0427393	0.4433120	0.0500165	0.1517078	0.0291605	0.3789709	0.7496889	0.2007191	0.6370009	0.6003547	0.3369789	0.2872611	0.6452468	0.5690250	0.1120426	0.4112620	0.1620297	0.6786475	0.6530612	0.2982971	0.2123461	0.3905553	0.7834451	0.1563158	0.5018905	0.3634940	0.0020340	0.4605221	0.2950626	0.7135712	0.2907190	0.6009073	0.0525551	0.5841892	0.4030718	0.0331940	0.4550141	0.3883357	0.3378238	0.6615252	0.4536213	0.6265685	0.0764996	0.6690738	0.6759084	0.3952058	0.6512861	0.0427601	0.5596120	0.3616467	0.1596582	0.2922566	0.0000887	0.6075862	0.0137497	0.6251074	0.3125509	0.0030598	0.7076716	0.2286198	0.5266104	0.0167101	0.3562754	0.5924858	0.6392968	0.5204632	0.7118103	0.7078239	0.6591730	0.0584330	0.2971749	0.0082922	0.7468673	0.5891998
400	0.7541317	0.1483378	0.5241048	0.3738881	0.2580554	0.2844395	0.6554827	0.0415755	0.0022631	0.5866436	0.7740440	0.1113963	0.4260713	0.0479135	0.1342299	0.0346383	0.4192950	0.8500593	0.2745558	0.7305394	0.6143210	0.3833581	0.3597447	0.5375572	0.6217373	0.1691793	0.3984343	0.1692285	0.8275727	0.4824622	0.3375473	0.1676100	0.3658588	0.6268312	0.1772952	0.4207692	0.3273127	0.0023341	0.4892347	0.3203622	0.8457117	0.2379612	0.7581340	0.0537253	0.6605099	0.3165909	0.0174025	0.4117593	0.3092532	0.5402959	0.7018626	0.3849551	0.6792688	0.0536904	0.7072012	0.6225864	0.3353106	0.8546836	0.0433704	0.5923068	0.3920345	0.1737298	0.4046229	0.0001017	0.6737578	0.0091693	0.5309007	0.4052485	0.0134192	0.6381285	0.2980376	0.4768029	0.0110689	0.3618866	0.7392811	0.5116899	0.5477713	0.7043253	0.5888375	0.6712902	0.1385099	0.2466999	0.0144378	0.7829798	0.7148301
450	0.7199536	0.1491707	0.6706340	0.3251998	0.1122908	0.2732174	0.5819734	0.0325452	0.0004000	0.6696884	0.6259712	0.0724796	0.4284792	0.0128761	0.1038913	0.0391040	0.3601693	0.8004275	0.2024428	0.6558364	0.6571638	0.4959419	0.3318480	0.6229950	0.5975337	0.1601799	0.4972198	0.1228030	0.6659558	0.4777631	0.2562397	0.1616763	0.2963670	0.7843470	0.1339489	0.3180598	0.3560148	0.0012782	0.6453567	0.2769568	0.6556781	0.2728308	0.6934565	0.0685128	0.7049985	0.3850620	0.0241577	0.4293037	0.3189846	0.3190181	0.6360738	0.4181511	0.6629453	0.0251121	0.7890228	0.7417017	0.2654078	0.6640987	0.0933974	0.5080403	0.4129131	0.1197067	0.4452550	0.0000715	0.7016919	0.0017850	0.4022399	0.3136521	0.0028237	0.7187008	0.1857056	0.5746160	0.0424237	0.3594202	0.6609938	0.4152316	0.6022910	0.7296583	0.7892895	0.7088634	0.0687183	0.2920862	0.0103302	0.6025827	0.6538615
500	0.6322849	0.1535167	0.4713189	0.2241316	0.2157618	0.3102889	0.6016293	0.0198370	0.0001119	0.6335318	0.7666400	0.0749160	0.3616307	0.0245057	0.1245912	0.0147420	0.3976470	0.7421493	0.1615422	0.6336995	0.5876602	0.4093298	0.4064110	0.6478357	0.4755334	0.0990432	0.5631359	0.0732523	0.7540623	0.5758515	0.3587853	0.1895420	0.3272370	0.6458831	0.0927223	0.4822548	0.4123788	0.0005184	0.5426152	0.2087453	0.7186637	0.2826275	0.7115291	0.0814457	0.7086199	0.2967396	0.0454727	0.3903676	0.3643749	0.4057369	0.5398313	0.4725290	0.7364234	0.0606914	0.7129270	0.6872143	0.4516067	0.7380252	0.0583538	0.5351590	0.3955506	0.1937209	0.4119330	0.0000503	0.5738114	0.0006395	0.4329816	0.3285451	0.0124213	0.8201970	0.2197396	0.5064539	0.0291896	0.3538611	0.6995562	0.5224728	0.5149477	0.6279865	0.6322967	0.6406832	0.0683031	0.2531120	0.0304423	0.7242291	0.7748831
