"Time"	G1	G10	G2	G20	G17	G16	G4	G9	G11	G18	G94	G98	G7	G46	G6	G100	G36	G37	G38	G34	G3	G56	G35	G5	G19	G15	G12	G13	G14	G41	G50	G52	G53	G51	G21	G22	G55	G42	G44	G39	G49	G40	G54	G45	G47	G43	G61	G72	G67	G57	G48	G95	G8	G60	G59	G99	G58	G79	G82	G83	G81	G89	G84	G80	G88	G91	G90	G75	G78	G77	G86	G85	G69	G93	G92	G87	G68	G27	G96	G97	G63	G26	G25	G23	G24	G62	G76	G71	G74	G31

0	0.3177862	0.1291341	0.0963105	0.0557500	0.3870844	0.2986586	0.7241452	0.1007261	0.7450556	0.2131559	0.6725820	0.8333586	0.3129868	0.2104134	0.2268561	0.6854396	0.7035505	0.5471999	0.6233898	0.6602458	0.5643198	0.1427545	0.5548054	0.2343526	0.6046898	0.6266359	0.3996308	0.3986358	0.7383208	0.1814692	0.3028351	0.6489324	0.1580856	0.6373930	0.6075939	0.1507322	0.3685825	0.3442982	0.6157720	0.6163692	0.6339714	0.5380632	0.6942100	0.5161942	0.2629185	0.2067436	0.1304303	0.7652520	0.4263136	0.0240012	0.6688452	0.7369249	0.0114572	0.4590747	0.0009863	0.7040763	0.0130419	0.0698049	0.5939236	0.1439299	0.3328985	0.6648193	0.0123037	0.7980182	0.4109675	0.2153556	0.6081626	0.2154710	0.2716625	0.5104135	0.0718738	0.1401921	0.4252822	0.0615991	0.5325618	0.3963523	0.4459524	0.0000031	0.6584360	0.2236846	0.4528911	0.1349032	0.0514990	0.6946862	0.4492167	0.8094186	0.3530531	0.3870394	0.1656627	0.7075326
50	0.3171665	0.0199240	0.0085342	0.0781535	0.3332508	0.2546942	0.5315709	0.1186412	0.6603716	0.2905480	0.4281470	0.7287314	0.4016259	0.1410124	0.0685574	0.3033478	0.7791299	0.5317761	0.6585617	0.6469379	0.4160543	0.0465107	0.5952230	0.2783935	0.6268736	0.6190925	0.3722837	0.3102123	0.6531617	0.1050765	0.3670791	0.6492239	0.0364320	0.3581105	0.5426531	0.1505677	0.6028193	0.3106098	0.7244563	0.3738093	0.6859803	0.5371721	0.6147984	0.4470590	0.3976958	0.2231578	0.0944735	0.7311635	0.5530084	0.2253274	0.6505485	0.7179236	0.0122129	0.4790889	0.0036541	0.5908383	0.0289238	0.0802889	0.6773093	0.2125886	0.5581290	0.5767721	0.6056079	0.3313948	0.3367824	0.3196002	0.4345172	0.0454932	0.4074901	0.4377417	0.1693512	0.0993740	0.3406698	0.0246610	0.5138355	0.1969154	0.4287204	0.0000156	0.5507202	0.2717885	0.4897688	0.0334150	0.0125338	0.2340983	0.4161292	0.7194435	0.4461300	0.5254417	0.0942088	0.7398271
100	0.3489164	0.0034099	0.0169058	0.0765403	0.2462728	0.2497155	0.6268271	0.0924139	0.5203721	0.2417446	0.3990092	0.7608423	0.3908122	0.1760214	0.0847189	0.1416877	0.6428735	0.5300940	0.6424819	0.7372075	0.4423533	0.0511223	0.5889653	0.2849602	0.6256715	0.6491499	0.4442717	0.4481399	0.6074581	0.1136170	0.3377329	0.6591035	0.0070339	0.3758542	0.4455109	0.1774787	0.6282269	0.4182600	0.5384614	0.6455355	0.7925184	0.5147919	0.6226957	0.4465655	0.3244758	0.2498860	0.0560795	0.5446700	0.6173812	0.2000564	0.6376410	0.7612852	0.0061638	0.3606079	0.0028812	0.6796834	0.0256761	0.0899326	0.7014446	0.1651950	0.5281174	0.7531043	0.6281946	0.1822330	0.3927647	0.4212512	0.4328853	0.0146465	0.4010411	0.3860552	0.2535586	0.1700490	0.3975058	0.0375928	0.6251771	0.1355847	0.4044610	0.0002656	0.5205312	0.1793068	0.4674961	0.0045383	0.0389898	0.1076879	0.2683453	0.6821856	0.3819388	0.3806696	0.1412913	0.6452614
150	0.2983591	0.0001600	0.0065327	0.1391110	0.3389686	0.2903949	0.7114040	0.0753187	0.6239359	0.1881626	0.3617867	0.7580684	0.4199722	0.2219236	0.0717423	0.1276501	0.6895977	0.6351670	0.6330504	0.7262172	0.5855853	0.0593970	0.6240035	0.2736871	0.6580128	0.7015040	0.5647886	0.4108055	0.5905213	0.1225424	0.2781508	0.7285045	0.0089679	0.2929267	0.4176246	0.0985250	0.6442808	0.4221271	0.6848884	0.5053569	0.4905522	0.7417529	0.5706345	0.2287233	0.4335991	0.1481243	0.0457743	0.6524078	0.6115843	0.2698300	0.6176623	0.7071704	0.0174104	0.2806507	0.0007251	0.9066262	0.0728363	0.0710007	0.7211024	0.0858933	0.5454024	0.5477840	0.6143019	0.0634243	0.2319831	0.3372396	0.5427569	0.0049645	0.2587423	0.3419985	0.3112055	0.2115592	0.3645789	0.0150703	0.6323555	0.2070695	0.5188141	0.0000000	0.5073643	0.2341930	0.4718909	0.0022107	0.0796775	0.0389948	0.0915459	0.6270066	0.3725518	0.3514912	0.1522636	0.6511878
200	0.4533784	0.0094545	0.0075325	0.0540482	0.3292966	0.2686945	0.7031446	0.1247707	0.5550074	0.1479780	0.4232467	0.7096993	0.3739383	0.1839926	0.1119679	0.0913581	0.6563444	0.6500061	0.5657195	0.7152560	0.5779850	0.0405871	0.7193268	0.3040493	0.5576028	0.6995308	0.6061938	0.3132120	0.7893159	0.1952806	0.2754018	0.8169265	0.0213050	0.3377905	0.5187500	0.1516718	0.6813103	0.4430408	0.6417990	0.3673413	0.5851934	0.5382162	0.5309621	0.2117487	0.5793277	0.1621664	0.0632296	0.5668648	0.6253533	0.2610921	0.8254518	0.6577595	0.0152157	0.1911442	0.0010280	0.6289380	0.0287686	0.2355295	0.6959811	0.0682009	0.5140851	0.5704362	0.6608211	0.1507362	0.2914861	0.3522079	0.6556210	0.0062717	0.1981449	0.1875094	0.4563503	0.1744636	0.2724159	0.0222856	0.5081913	0.2597700	0.6008259	0.0000929	0.5180997	0.2898730	0.5441997	0.0059608	0.1811911	0.0279024	0.0292416	0.6025924	0.3887510	0.6218235	0.1097686	0.5659021
250	0.4088036	0.0175891	0.0159028	0.0854810	0.4210147	0.2568322	0.7529099	0.0503251	0.4308832	0.1557636	0.5117356	0.5217555	0.3813756	0.0908303	0.0746687	0.0934059	0.7626099	0.6196314	0.5696785	0.8372181	0.4147053	0.0154600	0.6179218	0.2636822	0.5268727	0.4741628	0.5952421	0.2249329	0.7155489	0.1678663	0.2789496	0.7459136	0.0125861	0.2742083	0.4561541	0.1249380	0.9431796	0.4973524	0.7203576	0.4520756	0.4891719	0.4112784	0.5871288	0.4131654	0.4787025	0.1557502	0.0746764	0.5833086	0.5907939	0.2213661	0.5472651	0.6136246	0.0303532	0.2865621	0.0117221	0.7103440	0.0298127	0.1943061	0.7537055	0.0727469	0.4647787	0.5538362	0.6041775	0.1642012	0.4115406	0.3364511	0.5438831	0.0133345	0.2219769	0.3350383	0.5198867	0.1731255	0.3572447	0.0779603	0.4854165	0.4349846	0.5066269	0.0008635	0.5813067	0.3543721	0.3750677	0.0045651	0.2683678	0.0079282	0.0186074	0.5780115	0.3836280	0.5684693	0.1260142	0.5667895
300	0.2822981	0.0000787	0.0220391	0.0737295	0.2893492	0.3145192	0.6830511	0.1099426	0.6539512	0.1915612	0.3738147	0.5311218	0.3673562	0.2038021	0.0893208	0.1018397	0.8139741	0.6805651	0.5993166	0.6647141	0.5012126	0.0324277	0.6588931	0.3210861	0.5541004	0.6489175	0.6447345	0.3070635	0.6082341	0.1527291	0.3351578	0.7343842	0.0082571	0.2366951	0.4471599	0.1170004	0.5650734	0.3460417	0.6344218	0.5554754	0.6365702	0.4345130	0.5824407	0.5107448	0.5387822	0.1744312	0.0458871	0.5389365	0.5148976	0.2141132	0.4493299	0.6796044	0.0142017	0.2599419	0.0198271	0.7347349	0.0106986	0.6092629	0.6039839	0.0760218	0.4323152	0.5261977	0.4764835	0.1071111	0.4099745	0.3017915	0.6341589	0.0016418	0.2415643	0.3334924	0.4687232	0.1749365	0.3402369	0.1026400	0.4645814	0.2932576	0.4549260	0.0006072	0.5897991	0.1943240	0.4638006	0.0278570	0.3356328	0.0072186	0.0027852	0.6235841	0.3532270	0.5890120	0.1683738	0.7557900
350	0.3112927	0.0056933	0.0182226	0.0679360	0.2288772	0.2988846	0.7309096	0.1414322	0.6379598	0.2373069	0.4129843	0.7063151	0.4537224	0.1511879	0.0748879	0.0904239	0.7350869	0.8141617	0.7378729	0.7584590	0.5767481	0.0200124	0.6298374	0.3152226	0.4740059	0.5754721	0.6430733	0.2773819	0.6533550	0.2366496	0.2931972	0.6600313	0.0108200	0.2719317	0.3611553	0.1749990	0.7844292	0.2761484	0.7481130	0.4882645	0.6647582	0.5196098	0.5158832	0.3926101	0.5904192	0.2697100	0.0771648	0.4640746	0.5155914	0.2218204	0.5129397	0.6818590	0.0129878	0.3314954	0.0499504	0.7171133	0.0380928	0.7864232	0.6587020	0.1572622	0.5291966	0.5071338	0.6137922	0.0784598	0.4270740	0.4310223	0.5414386	0.0022573	0.1796411	0.3085230	0.6546811	0.2025393	0.3253893	0.0613470	0.5117536	0.2546901	0.5301451	0.0043382	0.6286955	0.1560858	0.4089987	0.0128627	0.3625884	0.0110482	0.0007038	0.5601948	0.3245890	0.4809041	0.0900283	0.6882889
400	0.3294306	0.0019837	0.0021992	0.0938685	0.3073215	0.2459691	0.6838493	0.1128399	0.5878279	0.2434016	0.3323363	0.5152137	0.3698089	0.1664464	0.0938232	0.1086095	0.6367563	0.7351966	0.6257733	0.7876674	0.3840008	0.0418234	0.6383499	0.2351588	0.6149315	0.5640850	0.8339705	0.2515691	0.8305109	0.2558125	0.2788335	0.9031820	0.0045777	0.2058767	0.4366978	0.0864783	0.7639544	0.3303708	0.7706589	0.3303394	0.6319982	0.5280556	0.5388476	0.6202174	0.5050664	0.2745911	0.0497892	0.5413667	0.6042113	0.2967476	0.4606922	0.6770476	0.0132248	0.5531050	0.0512266	0.6456852	0.0146568	0.5969918	0.6215735	0.0873595	0.6260980	0.4494598	0.6548821	0.0786209	0.4890400	0.4299255	0.4182950	0.0050702	0.2388499	0.4248619	0.4368373	0.1405637	0.4746923	0.2137161	0.5483998	0.1764975	0.5651248	0.0001295	0.5394680	0.2812401	0.4710536	0.0036745	0.4579764	0.0110710	0.0006069	0.6131086	0.4038891	0.3895725	0.1292036	0.7025197
