"Time"	G1	G20	G10	G2	G17	G4	G16	G18	G94	G8	G95	G98	G7	G6	G46	G100	G36	G37	G38	G34	G3	G35	G11	G56	G5	G19	G15	G14	G12	G39	G49	G44	G22	G21	G41	G50	G13	G51	G53	G52	G55	G42	G40	G45	G54	G43	G57	G72	G67	G48	G9	G61	G47	G60	G59	G99	G58	G80	G89	G88	G81	G83	G82	G79	G84	G78	G77	G86	G91	G90	G85	G75	G93	G69	G92	G87	G68	G96	G97	G63	G27	G26	G25	G23	G24	G62	G76	G31	G30	G70	G74	G71	G29	G73	G28

0	0.2089277	0.0831560	0.1904621	0.1367593	0.1705147	0.4000313	0.2218569	0.6068393	0.7292587	0.2364103	0.6395789	0.7713971	0.0428964	0.2469815	0.3660242	0.6749019	0.6486642	0.4015786	0.2796439	0.7163039	0.5580931	0.0802824	0.0872175	0.7130552	0.2710822	0.2599032	0.1086761	0.3284580	0.6202735	0.0051760	0.7842394	0.4535866	0.6435030	0.3231409	0.3596953	0.6702612	0.6693291	0.1483459	0.3285817	0.0128926	0.2840493	0.3176675	0.3542008	0.5604811	0.6743430	0.6679380	0.2903678	0.4693097	0.7243225	0.4564203	0.7808354	0.6846654	0.2897800	0.0783049	0.0971734	0.6909794	0.0823825	0.0125974	0.3154643	0.0105306	0.0580508	0.3747100	0.3302222	0.7256481	0.0720218	0.5711847	0.0194223	0.7590250	0.0021219	0.2940091	0.1099495	0.7385309	0.2567739	0.4890039	0.5123489	0.7245984	0.0302907	0.8641686	0.7847402	0.5267566	0.4738829	0.1436449	0.7321031	0.6522223	0.5928633	0.3684255	0.4840399	0.3482360	0.6403262	0.2698153	0.1375972	0.1718412	0.5166490	0.0945018	0.7006760
50	0.4550086	0.3605088	0.1943968	0.1148128	0.2477158	0.8477636	0.2348682	0.8406084	0.6472181	0.2129529	0.8169989	0.7612570	0.0122528	0.2416794	0.3518708	0.5802367	0.6437226	0.3841821	0.4607160	0.7459059	0.4572859	0.0553514	0.0372606	0.5268233	0.0906835	0.4201652	0.1006752	0.1866137	0.5189620	0.0077127	0.6434333	0.6373678	0.6658874	0.2755442	0.5719001	0.6194737	0.6795376	0.1471366	0.3660614	0.0291865	0.2813469	0.3564270	0.2207885	0.6580588	0.4364206	0.6798478	0.3114606	0.4371647	0.6563378	0.2757945	0.6907203	0.7306177	0.3814691	0.4832764	0.1585054	0.6839860	0.1570883	0.0162661	0.4552564	0.0124994	0.0916740	0.6443608	0.5595345	0.7638065	0.4937609	0.5331954	0.0366192	0.7978985	0.0022526	0.3284349	0.0893684	0.6374361	0.3073120	0.5324093	0.6473030	0.2544595	0.0757551	0.6051042	0.6687998	0.5176379	0.3419773	0.1263024	0.5534723	0.3400714	0.5285832	0.3504967	0.3478466	0.2329106	0.6948866	0.0839547	0.0146761	0.1384536	0.6149016	0.0967581	0.8811683
100	0.5804641	0.4704026	0.1387466	0.0583563	0.2514732	0.5983452	0.1339608	0.7270583	0.6745175	0.2247850	0.8242224	0.5750520	0.0314334	0.1728680	0.2873781	0.7176492	0.4956675	0.4715626	0.5072960	0.6638285	0.5993048	0.0421385	0.0442007	0.6819049	0.0522508	0.6694084	0.0263628	0.4279006	0.6057200	0.0053182	0.7553472	0.5945638	0.6118940	0.2672475	0.6477079	0.7205940	0.6475743	0.1377045	0.3896752	0.0282058	0.2408568	0.3433463	0.3050168	0.6774188	0.4026255	0.9426883	0.2864480	0.3963639	0.6494084	0.2302184	0.5345915	0.5453997	0.3167168	0.6822987	0.1082787	0.6592102	0.0836056	0.0105037	0.3684118	0.0204917	0.0314956	0.5851277	0.5654498	0.7038840	0.5082335	0.6756002	0.1108449	0.6248713	0.0001196	0.2967292	0.0849259	0.5541665	0.4711659	0.6128432	0.5924162	0.1550781	0.0964445	0.5783722	0.6789758	0.5161647	0.4611127	0.1027424	0.3758000	0.1830576	0.4613693	0.4715269	0.4161214	0.1979262	0.7445833	0.0481899	0.0096803	0.1306285	0.6431383	0.0662812	0.7473564
150	0.4546976	0.5374925	0.1318064	0.0443793	0.3090435	0.6717069	0.0871943	0.7256370	0.7451456	0.2509654	0.7076069	0.6753263	0.1327686	0.1418648	0.3332798	0.6546525	0.6145750	0.5611940	0.4990294	0.6385100	0.5470004	0.0212681	0.1225525	0.7850522	0.0423028	0.6843250	0.0633276	0.4161572	0.6995486	0.0047943	0.6891053	0.7035055	0.7428210	0.1892176	0.7593962	0.7422642	0.6326510	0.0882961	0.3259103	0.0125237	0.0791993	0.2124486	0.2518408	0.5982084	0.1918551	0.8555960	0.3586142	0.3070702	0.5441787	0.2042352	0.4203659	0.6806073	0.2309041	0.6596346	0.0932581	0.7802946	0.0449938	0.0252890	0.3682209	0.0266823	0.1119173	0.5668016	0.7874057	0.8365605	0.4815668	0.5368401	0.0403296	0.8673455	0.0049694	0.3425135	0.1091166	0.6159397	0.3394909	0.4618736	0.6543063	0.1037318	0.2706192	0.7452926	0.7130279	0.6670452	0.3741961	0.1314556	0.4941245	0.1568529	0.1968320	0.3157934	0.2969556	0.1627317	0.7399260	0.0250138	0.0000848	0.1287895	0.7926005	0.0685360	0.6097232
200	0.5345948	0.5164346	0.0939447	0.0316651	0.2528324	0.7890013	0.0463605	0.6998969	0.6959884	0.2048154	0.7338206	0.7111283	0.1448042	0.1152454	0.3287846	0.7012319	0.6496763	0.4431896	0.4000047	0.7155970	0.5698662	0.0809689	0.3695762	0.6817871	0.0233422	0.6789247	0.0970818	0.3642592	0.6947731	0.0061336	0.6461838	0.8193888	0.5542825	0.2384611	0.5555100	0.7687135	0.6045592	0.1297536	0.2870990	0.0329573	0.0744561	0.2983919	0.3384206	0.6997581	0.1913384	0.6757686	0.2766830	0.2756053	0.5953985	0.3024636	0.4229078	0.6133408	0.2254917	0.7724645	0.0880633	0.7217825	0.0526802	0.0117239	0.3393441	0.0120912	0.0810029	0.4624354	0.6920227	0.7064283	0.5388262	0.5617187	0.0243511	0.8255226	0.0010080	0.2950347	0.1071978	0.7064758	0.2725310	0.4829755	0.7310174	0.0840104	0.2090492	0.6851792	0.7506666	0.5134558	0.3231373	0.0720256	0.5247475	0.1202176	0.1527632	0.4084278	0.3305974	0.1254038	0.7053043	0.1036195	0.0017528	0.1091760	0.6361856	0.0525955	0.7277769
250	0.4988062	0.6000943	0.1543527	0.0920929	0.2465809	0.5788364	0.0289160	0.6529359	0.6362475	0.2660711	0.5450914	0.7266582	0.1440307	0.1908121	0.3131271	0.6772224	0.6759949	0.4814857	0.4506727	0.7743647	0.7709107	0.0394356	0.5629189	0.7992687	0.0227257	0.5965366	0.1424471	0.4723198	0.6053586	0.0015080	0.5924112	0.7742650	0.3908780	0.1945336	0.6575677	0.7864412	0.6118138	0.1231847	0.3512613	0.0027549	0.0123830	0.2640417	0.3667544	0.7023830	0.1603396	0.7468123	0.3513471	0.2547175	0.5740792	0.3876838	0.3707569	0.7606573	0.2463241	0.6648124	0.0292480	0.8512977	0.0399026	0.0168041	0.3386831	0.0331561	0.0505210	0.4462230	0.6835788	0.6547810	0.5903417	0.5606692	0.0310901	0.6800261	0.0120434	0.3471416	0.1143124	0.7057766	0.3029488	0.5712241	0.6090442	0.1076137	0.2306232	0.6449926	0.6744490	0.5798258	0.3648856	0.0873416	0.5750097	0.0784689	0.1143459	0.4824579	0.2305742	0.1663384	0.7803528	0.0205764	0.0000059	0.1132277	0.6817158	0.0653203	0.6348106
300	0.5413581	0.6286875	0.1359857	0.0272152	0.2495433	0.6104041	0.0353127	0.6252580	0.6201260	0.2095276	0.7262047	0.6214289	0.1201539	0.1812639	0.3567586	0.6059021	0.6559581	0.3947782	0.4210616	0.7015500	0.6563069	0.0439284	0.4543680	0.8142797	0.0152235	0.6713455	0.1238833	0.5488818	0.6970974	0.0013550	0.7960339	0.8096835	0.3780958	0.1480308	0.6874100	0.6367193	0.6206366	0.0675684	0.2362207	0.0070583	0.0161002	0.3214447	0.4028171	0.6606946	0.1903158	0.6291721	0.3627284	0.2479597	0.4315865	0.2974600	0.3681256	0.6630740	0.2139053	0.6512208	0.0359785	0.8451233	0.0138042	0.0058652	0.4087525	0.0360476	0.0468730	0.4719948	0.7897215	0.7745528	0.5465245	0.5716870	0.0430220	0.7403805	0.0026899	0.2550446	0.1502977	0.5799013	0.2566184	0.5590087	0.5952881	0.0902455	0.3022662	0.7531426	0.6166548	0.4846823	0.3461058	0.1532315	0.4824547	0.1333982	0.0808453	0.3320768	0.2953047	0.0854497	0.6052540	0.0104923	0.0000217	0.1067683	0.7301534	0.0874049	0.7309463
350	0.5706627	0.5115008	0.1115475	0.0466194	0.2231797	0.6708514	0.0376915	0.6326611	0.7118402	0.1433650	0.6654171	0.8314093	0.1682337	0.1225815	0.4249274	0.7632020	0.6724165	0.4872890	0.3468549	0.6694218	0.6054495	0.0367343	0.3051529	0.8201584	0.0445885	0.6164405	0.1081496	0.5811590	0.5653674	0.0002970	0.6996520	0.7528999	0.4350419	0.1907982	0.7039953	0.7448215	0.6722274	0.1536009	0.3462204	0.0070115	0.0060102	0.3295306	0.2528782	0.6165431	0.1395559	0.6850722	0.2775513	0.2041883	0.5648437	0.3947811	0.4321496	0.8382991	0.1392627	0.7019773	0.0932801	0.7656170	0.0193895	0.0169271	0.3679826	0.0294962	0.0788607	0.3376929	0.8551187	0.7244893	0.4265146	0.6444227	0.0601161	0.6690519	0.0004213	0.3218011	0.1409279	0.8070326	0.3212770	0.5355581	0.6032045	0.0347697	0.2579935	0.6728126	0.5937203	0.6469096	0.4268585	0.2187608	0.4848300	0.0756224	0.0555000	0.3762071	0.2504037	0.1213102	0.8991442	0.0030439	0.0008405	0.1196644	0.7342194	0.0638607	0.7653815
400	0.4150362	0.5103678	0.1131092	0.0713928	0.1727696	0.6012165	0.0256141	0.6619226	0.7642953	0.2398659	0.7171744	0.9714140	0.1037797	0.1482115	0.3502591	0.8050136	0.7316506	0.6087384	0.3864135	0.6842661	0.5805333	0.0354527	0.3141155	0.6515455	0.0382438	0.6694622	0.0920467	0.5240381	0.6835785	0.0000000	0.5884270	0.6874658	0.5226043	0.2371468	0.6953831	0.8326944	0.8405201	0.1312138	0.2852077	0.0079150	0.0024262	0.2885177	0.3434660	0.5197934	0.1210470	0.6572394	0.3021493	0.2681593	0.4311649	0.4174592	0.4902196	0.6727697	0.1779603	0.7204415	0.0363835	0.8676876	0.0294834	0.0140880	0.2848665	0.0144057	0.0709039	0.3334143	0.6089825	0.6867306	0.5300559	0.4946045	0.0423216	0.7135457	0.0003599	0.3174653	0.1203617	0.6121968	0.2392364	0.5995636	0.6501484	0.0722701	0.1758577	0.7740761	0.5583311	0.5449984	0.3001016	0.1416441	0.3928499	0.1133493	0.1862568	0.4630803	0.2223377	0.1804602	0.7128036	0.0087498	0.0000928	0.1511873	0.6084689	0.0526034	0.6088623
