"Time"	G1	G3	G5	G22	G4

0	0.7179791	0.3916079	0.1195326	0.7604026	0.6514877
50	0.7557862	0.4678603	0.1284646	0.8266262	0.7638068
100	0.9381245	0.4529513	0.1162285	0.8645656	0.7621966
150	0.6855184	0.5363848	0.1267862	0.8096201	0.5679719
200	0.6935020	0.5411355	0.0908611	0.7583690	0.7648090
250	0.8028761	0.4907384	0.1564717	0.7671243	0.6502117
300	0.7087565	0.4794853	0.1138213	0.7682079	0.9028285
350	0.8244122	0.4997548	0.0727670	0.7627274	0.8056225
400	0.8156246	0.4281364	0.1222096	0.6901504	0.6972038
450	0.7297310	0.5267513	0.1644939	0.6778003	0.7106104
500	0.9405322	0.5669345	0.0958554	0.6915501	0.7601202
550	0.6647539	0.5501553	0.0802705	0.8589452	0.6960397
600	0.7132103	0.5793034	0.1080146	0.9702445	0.8654142
650	0.7760676	0.5124261	0.0936076	0.8312529	0.6918179
700	0.6999091	0.5035413	0.0906028	0.7508278	0.8105329
750	0.6252882	0.4093413	0.1572489	0.9457435	0.8615277
800	0.7038805	0.5244945	0.0555988	0.8554653	0.7306198
850	0.8313145	0.5072372	0.1152359	0.8828115	0.6149662
900	0.8745330	0.5108939	0.0976694	0.7642791	0.7257779
950	0.8328757	0.4895187	0.1408571	0.7031300	0.7457353
1000	0.5766247	0.5209357	0.1014040	0.8118967	0.6764253

0	0.8306852	0.5072652	0.1479520	0.7359649	0.8079906
50	0.5706015	0.3231114	0.1503229	0.4050692	0.7776506
100	0.5434465	0.4254822	0.1541305	0.3802690	0.6241694
150	0.5609801	0.3248956	0.2393875	0.3325101	0.7344402
200	0.4622079	0.3444213	0.3022137	0.2571036	0.7178141
250	0.5552737	0.2902595	0.4874923	0.2574717	0.7889877
300	0.6020669	0.3515033	0.4241150	0.3034148	0.6455727
350	0.6306974	0.3090152	0.4671580	0.2650624	0.7432578
400	0.5748394	0.3718512	0.3183221	0.2246477	0.7451910
450	0.5958708	0.3473308	0.4433618	0.2175539	0.7327758
500	0.6106503	0.3350123	0.5683965	0.2525508	0.7288296
550	0.5975109	0.4105148	0.4214343	0.6935047	0.6495385
600	0.6759175	0.4017296	0.1738785	0.7387914	0.6519628
650	0.7072984	0.4310970	0.1601028	0.8102596	0.6716822
700	0.8083394	0.4159825	0.0597619	0.7325356	0.7539367
750	0.7542798	0.5104446	0.1047961	0.7702633	0.7116484
800	0.7394870	0.4557077	0.1146124	0.7789112	0.8656464
850	0.7735683	0.3440410	0.1486939	0.6555100	0.7521866
900	0.7806475	0.4931160	0.1742110	0.7930601	0.7936395
950	0.7716539	0.4422759	0.1696540	0.9844700	0.7390349
1000	0.8359659	0.4649668	0.1616990	0.8169078	0.7035698

0	0.7281944	0.4963211	0.1203457	0.7487369	0.7857949
50	0.7806526	0.4936883	0.0442986	0.8302742	0.9378287
100	0.6496507	0.4604335	0.0383820	0.7142853	0.7177502
150	0.5978605	0.4247573	0.0855707	0.6874633	0.7023850
200	0.5347275	0.4333985	0.0680451	0.9077069	0.6499495
250	0.4986354	0.3256222	0.0745759	0.6960015	0.5716683
300	0.4366129	0.2959123	0.1252640	0.7377989	0.6956322
350	0.4697098	0.3982092	0.0381927	0.7893585	0.6337648
400	0.4838235	0.3576104	0.0758853	0.6187178	0.7539068
450	0.6304681	0.4051707	0.0743941	0.5881364	0.6182885
500	0.4995606	0.3584383	0.0606061	0.6929805	0.5671845
550	0.7077328	0.3609488	0.1157223	0.6926554	0.6690947
600	0.7298097	0.3210493	0.1559971	0.7121036	0.6400498
650	0.7426374	0.4108050	0.1209501	0.8129736	0.6224581
700	0.8334732	0.3844056	0.1113714	0.8443784	0.7647019
750	0.6669328	0.4298515	0.1859870	0.8490573	0.6894293
800	0.6942968	0.4464028	0.1523285	0.7847041	0.6430506
850	0.7647759	0.3987379	0.1063379	0.8434008	0.6598310
900	0.7766186	0.3909366	0.1498086	0.8362206	0.9585673
950	0.6906317	0.5731732	0.1142587	0.9058905	0.6388616
1000	0.7946143	0.6311209	0.1155561	0.7915244	0.7448152

0	0.8607347	0.5073436	0.1010339	0.7375409	0.8278030
50	0.6321805	0.4323629	0.1288994	0.4870290	0.7779113
100	0.7319380	0.4084466	0.1706406	0.3934726	0.7511154
150	0.6674349	0.4125783	0.3250650	0.2589647	0.6541702
200	0.9102791	0.5301518	0.2833114	0.2621456	0.7621011
250	0.6460989	0.4089390	0.3697689	0.1995877	0.7502565
300	0.7228597	0.5123167	0.3166890	0.1813643	0.8733776
350	0.6299515	0.4389220	0.4390752	0.3072603	0.7576591
400	0.6854013	0.4262046	0.4080528	0.2056807	0.7187216
450	0.8460740	0.3791815	0.3578040	0.2248734	0.7202664
500	0.7683772	0.4431245	0.4296547	0.2387738	0.5813560
550	0.8161913	0.6200908	0.2820374	0.5045232	0.6264559
600	0.7421031	0.4736319	0.1969925	0.7627018	0.7518723
650	0.8412518	0.4685417	0.1764642	0.8167720	0.6959772
700	0.6968269	0.4428945	0.1219825	0.7821865	0.6755153
750	0.8696795	0.5405975	0.0980577	0.6193769	0.7995330
800	0.8525093	0.4706979	0.1069100	0.6912884	0.6934591
850	0.7971408	0.4849552	0.1039846	0.7890030	0.7180819
900	0.7184397	0.5103129	0.1767456	0.8033057	0.8403839
950	0.7994082	0.3860684	0.1201667	0.6879079	0.8900276
1000	0.7523887	0.3893170	0.1311791	0.7281662	0.7299994

0	0.7173473	0.6045180	0.1024149	0.7936367	0.6460101
50	0.8135673	0.4661551	0.1258607	0.7755972	0.9597593
100	0.7484588	0.5047306	0.1349534	0.7808737	0.7088463
150	0.8059209	0.4805583	0.1015191	0.8242326	0.5841286
200	0.7887975	0.4957119	0.1000391	0.6962744	0.6951735
